pt,en,es,fr,it,gl,ro
hostil,hostile,hostil,hostile,ostile,hostis,ostil
anseio,wish,desear,souhait,desiderio,desexo,dori
cetico,skeptical,esceptico,sceptique,scettico,esceptico,sceptic
legado,legacy,legado,heritage,eredita,legado,mostenire
hetero,straight,derecho,droit,dritto,recto,drept
pressa,hurry,apurarse,depechez-vous,fretta,presa,graba
gentil,gentle,amable,doux,gentile,manso,bland
alheio,alien,extraterrestre,extraterrestre,alieno,alleo,strain
nocivo,harmful,danino,nocif,dannoso,prexudicial,daunatoare
infame,infamous,infame,infame,infame,infame,infam
cliche,cliche,cliche,cliche,cliche,cliche,cliseu
paixao,passion,pasion,passion,passione,paixon,pasiune
eximio,excellent,excelente,excellent,eccellente,excelente,excelent
afavel,affable,afable,affable,affabile,afable,afabil
defina,define,definir,definir,definire,definir,defini
adorno,adornment,adorno,ornement,ornamento,adorno,podoaba
dadiva,gift,regalo,cadeau,regalo,agasallo,cadou
extase,ecstasy,extasis,extase,estasi,extase,extaz
sobrio,sober,sobrio,sobre,sobrio,sobrio,sobru
adesao,membership,afiliacion,adhesion,appartenenza,adhesion,calitatea de membru
larica,munchies,bocadillos,grignotines,munchies,empanadas,gustari
aferir,assess,evaluar,evaluer,valutare,avaliar,evalua
astuto,cunning,astuto,ruse,astuzia,astucia,viclean
tambem,too,tambien,aussi,pure,tamen,de asemenea
otario,sucker,ventosa,ventouse,ventosa,ventosa,fraier
sessao,session,sesion,session,sessione,sesion,sesiune
limiar,threshold,limite,seuil,soglia,limite,prag
solene,solemn,solemne,solennel,solenne,solemne,solemn
julgar,to judge,juzgar,juger,giudicare,para xulgar,a judeca
gloria,glory,gloria,gloire,gloria,gloria,glorie
labaro,labaro,labaro,labaro,labaro,labaro,labaro
formal,formal,formal,officiel,formale,formais,formal
habito,habit,habito,habitude,abitudine,habito,obicei
apreco,appreciation,apreciacion,appreciation,apprezzamento,aprecio,apreciere
embora,although,a pesar de,bien que,sebbene,ainda que,cu toate ca
ensejo,opportunity,oportunidad,opportunite,opportunita,oportunidade,oportunitate
impeto,momentum,impulso,elan,quantita di moto,impulso,impuls
outrem,someone else,alguien mas,quelqu'un d'autre,qualcun altro,alguen mais,altcineva
eficaz,effective,eficaz,efficace,efficace,eficaz,efectiv
ocioso,idle,inactivo,inactif,oziare,ocioso,inactiv
jubilo,jubilation,jubilo,jubilation,giubilo,xubilo,jubilare
dispor,dispose,disponer,disposer,smaltire,dispor,dispune
difuso,diffuse,difuso,diffuser,diffondere,difusa,difuz
alento,breath,aliento,haleine,respiro,alento,suflare
perene,evergreen,hojas perennes,a feuilles persistantes,sempreverde,perenne,vesnic verde
nuance,nuance,matiz,nuancer,sfumatura,matiz,nuanta
faccao,faction,faccion,faction,fazione,faccion,factiune
escusa,excuse,disculpar,excuse,scusa,escusa,scuza
exilio,exile,exilio,exile,esilio,exilio,exil
cessao,assignment,asignacion,affectation,incarico,asignacion,misiune
ludico,playful,jugueton,espiegle,giocoso,xogueton,jucaus
abster,abstain,abstenerse,abstention,astenersi,absterse,se abtine
ilacao,inference,inferencia,inference,inferenza,conclusion,deducere
alcada,jurisdiction,jurisdiccion,juridiction,giurisdizione,xurisdiccion,jurisdictie
objeto,object,objeto,objet,oggetto,obxecto,obiect
acesso,access,acceso,acceder,accesso,acceso,acces
acento,accent,acento,accent,accento,acento,accent
desejo,desire,deseo,desir,desiderio,desexo,dorinta
axioma,axiom,axioma,axiome,assioma,axioma,axioma
sancao,sanction,sancion,sanction,sanzione,sancion,sanctiune
isento,free,gratis,gratuit,gratuito,gratuito,gratuit
tacito,tacit,tacito,tacite,tacito,tacito,tacit
etereo,ethereal,etereo,ethere,etereo,etereo,eteric
buscar,search,buscar,recherche,ricerca,buscar,cautare
mulher,woman,mujer,femme,donna,muller,femeie
cortes,courteous,cortes,courtois,cortese,cortes,politicos
cobica,greed,codicia,avidite,avidita,cobiza,lacomie
mazela,ailment,enfermedad,maladie,malattia,doenza,boala
sisudo,serious,grave,serieux,serio,grave,serios
penhor,pledge,promesa,gage,impegno,prenda,angajament
eximir,exempt,eximir,exempter,esonerare,exentos,scuti
avidez,greed,codicia,avidite,avidita,cobiza,lacomie
receio,fear,miedo,peur,paura,medo,frica
vulgar,vulgar,vulgar,vulgaire,volgare,vulgar,vulgar
remoto,remote,remoto,telecommande,a distanza,remoto,la distanta
prazer,pleasure,placer,plaisir,piacere,pracer,placere
fatico,factual,factual,factuel,effettivo,factual,faptice
quando,when,cuando,quand,quando,cando,cand
sempre,ever,alguna vez,jamais,mai,nunca,vreodata
nomade,do not give me,no me des,ne me donne pas,non darmi,non me deas,nu-mi da
asseio,cleanliness,limpieza,proprete,pulizia,limpeza,curatenie
empatia,empathy,empatia,empathie,empatia,empatia,empatie
aurelio,aurelio,aurelio,aurelio,aurelio,aurelio,aurelio
conjuge,spouse,conyuge,conjoint,sposa,conxuxe,sotie
embuste,scam,estafa,arnaque,truffa,estafa,inselatorie
excecao,exception,excepcion,exception,eccezione,excepcion,exceptie
carater,character,personaje,personnage,carattere,personaxe,caracter
efemero,ephemeral,efimero,ephemere,effimero,efemero,efemer
prolixo,long-winded,prolijo,verbeux,prolisso,longo vento,prelungit
verbete,entry,entrada,entree,iscrizione,entrada,intrare
idilico,idyllic,idilico,idyllique,idilliaco,idilico,idilic
analogo,analogue,termino analogo,analogue,analogico,analoxico,analogic
genuino,genuine,genuino,authentique,genuino,xenuino,autentic
estoria,story,historia,histoire,storia,historia,poveste
sublime,sublime,sublime,sublime,sublime,sublime,sublim
familia,family,familia,famille,famiglia,familia,familie
pesames,condolences,condolencias,condoleances,condoglianze,condolencias,condoleante
inferir,infer,inferir,deduire,dedurre,inferir,deduce
apatico,apathetic,apatico,apathique,apatico,apatico,apatic
sucinto,succinct,sucinto,succinct,conciso,sucinto,succint
acepcao,meaning,significado,signification,senso,significado,sens
redimir,to redeem,para redimir,de racheter,riscattare,para redimir,a rascumpara
astucia,cunning,astuto,ruse,astuzia,astucia,viclean
prodigo,prodigal,prodigo,prodigue,prodigo,prodigo,risipitor
cultura,culture,cultura,culture,cultura,cultura,cultura
audacia,audacity,audacia,audace,audacia,audacia,indrazneala
estigma,stigma,estigma,stigmate,stigma,estigma,stigmatizarea
recesso,recess,receso,recreation,recesso,recreo,pauza
virtude,virtue,virtud,vertu,virtu,virtude,virtute
refutar,refute,refutar,refuter,confutare,refutar,respinge
iconico,iconic,iconico,iconique,iconico,iconico,simbolic
soberba,superb,magnifico,superbe,superbo,xenial,superb
cinismo,cynicism,cinismo,cynisme,cinismo,cinismo,cinism
estavel,stable,estable,ecurie,stabile,estable,grajd
exortar,urge,urgir,exhorter,sollecitare,urxe,indemn
morbido,morbid,morbido,morbide,morboso,morboso,morbid
trivial,trivial,trivial,banal,banale,trivial,banal
mitigar,mitigate,mitigar,attenuer,mitigare,mitigar,atenua
sintese,synthesis,sintesis,la synthese,sintesi,sintese,sinteza
aspecto,aspect,aspecto,aspect,aspetto,aspecto,aspect
luxuria,lust,lujuria,luxure,lussuria,luxuria,pofta
cordial,friendly,amigable,amical,amichevole,amigable,prietenos
sucesso,success,exito,succes,successo,exito,succes
alegria,happiness,felicidad,bonheur,felicita,felicidade,fericire
imputar,impute,imputar,imputer,imputare,imputar,imputa
escoria,scum,escoria,ecume,feccia,escoria,gunoi
emergir,emerge,surgir,emerger,emergere,xurdir,apar
anatema,anathema,anatema,anatheme,anatema,anatema,anatema
ademais,in addition,ademas,en outre,inoltre,ademais,in plus
candura,candor,candor,candeur,candore,candor,candoare
deboche,debauchery,libertinaje,debauche,dissolutezza,libertinaxe,depravare
orgulho,pride,orgullo,fierte,orgoglio,orgullo,mandrie
excerto,excerpt,extracto,extrait,estratto,extracto,extras
litigio,litigation,litigio,litige,contenzioso,litixio,litigii
almejar,to crave,ansiar,mourir d'envie,bramare,anhelar,a pofti
atraves,through,a traves de,a travers,attraverso,a traves,prin
contudo,however,sin embargo,cependant,tuttavia,con todo,in orice caz
frivolo,frivolous,frivolo,frivole,frivolo,frivolo,frivol
coragem,courage,coraje,courage,coraggio,coraxe,curaj
saudade,longing,anhelo,desir,desiderio,saudade,dor
oriundo,native,nativo,indigene,nativo,nativo,nativ
alcunha,nickname,apodo,surnom,soprannome,alcume,porecla
ambiguo,ambiguous,ambiguo,ambigue,ambiguo,ambiguo,ambiguu
salutar,wholesome,sano,sain,sano,saudable,sanatos
austero,austere,austero,austere,austero,austero,auster
escroto,scrotum,escroto,scrotum,scroto,escroto,scrot
amizade,friendship,amistad,amitie,amicizia,amizade,prietenie
sensato,sensible,sensitivo,sensible,sensato,sensato,sensibil
quimera,chimera,quimera,chimere,chimera,quimera,himera
ambicao,ambition,ambicion,ambition,ambizione,ambicion,ambitie
excesso,excess,exceso,exces,eccesso,exceso,exces
racismo,racism,racismo,racisme,razzismo,racismo,rasism
relacao,relationship,relacion,relation,relazione,relacion,relatie
fomento,promotion,promocion,promotion,promozione,promocion,promovare
erudito,erudite,erudito,erudit,erudito,erudito,erudit
imersao,immersion,inmersion,immersion,immersione,inmersion,imersiune
modesto,modest,modesto,modeste,modesto,modesto,modest
parcial,partial,parcial,partiel,parziale,parcial,partial
colosso,colossus,coloso,colosse,colosso,coloso,colos
demanda,demand,demanda,demande,richiesta,demanda,cerere
exotico,exotic,exotico,exotique,esotico,exotico,exotic
conciso,concise,conciso,concis,conciso,conciso,concis
ciencia,science,ciencia,science,scienza,ciencia,stiinta
piedade,piety,piedad,piete,pieta,piedade,pietate
volatil,volatile,volatil,volatil,volatile,volatil,volatil
notorio,notorious,notorio,celebre,famigerato,notorio,notoriu
bizarro,bizarre,extrano,bizarre,bizzarro,estrano,bizar
isencao,exemption,exencion,exemption,esenzione,exencion,scutire
vigente,current,actual,actuel,attuale,actual,actual
padecer,suffer,sufrir,souffrir,soffrire,sufrir,suferi
hibrido,hybrid,hibrido,hybride,ibrido,hibrido,hibrid
auferir,earn,ganar,gagner,guadagnare,ganar,castiga
intenso,intense,intenso,intense,intenso,intenso,intens
inercia,inertia,inercia,inertie,inerzia,inercia,inertie
emotivo,emotional,emocional,emotionnel,emotivo,emocional,emotional
ansioso,anxious,ansioso,anxieux,ansioso,ansioso,nerabdator
despota,despot,despota,despote,despota,despota,despot
sentido,sense,sentido,sens,senso,sentido,sens
limpido,clear,claro,clair,chiaro,claro,clar
profano,profane,profano,profane,profano,profano,profan
difusao,diffusion,difusion,la diffusion,diffusione,difusion,difuziune
inerente,inherent,inherente,inherent,inerente,inherente,inerent
respeito,respect,respeto,respect,rispetto,respecto,respect
peculiar,peculiar,peculiar,particulier,peculiare,peculiar,ciudat
denegrir,denigrate,denigrar,denigrer,denigrare,denigrar,denigra
genocida,genocidal,genocida,genocidaire,genocida,xenocida,genocid
anuencia,consent,consentir,consentement,consenso,consentimento,consimtamant
deferido,deferred,diferido,differe,differito,aprazado,amanata
equidade,equity,equidad,equite,equita,equidade,capitaluri proprii
prudente,prudent,prudente,prudent,prudente,prudente,prudent
pandemia,pandemic,pandemia,pandemie,pandemia,pandemia,pandemic
iminente,imminent,inminente,imminent,imminente,inminente,iminent
essencia,essence,esencia,essence,essenza,esencia,esenta
misogino,misogynist,misogino,misogyne,misogino,misoxina,misogin
desgraca,disgrace,desgracia,disgrace,disgrazia,deshonra,rusine
invasivo,invasive,invasor,envahissant,invasivo,invasivo,invaziv
alienado,alienated,alienado,aliene,alienato,alienado,instrainat
eminente,eminent,eminente,eminent,eminente,eminente,eminent
abstrato,abstract,abstracto,abstrait,astratto,abstracto,abstract
premissa,premise,premisa,premisse,premessa,premisa,premisa
extensao,extension,extension,extension,estensione,extension,extensie
empirico,empirical,empirico,empirique,empirico,empirico,empiric
conceito,concept,concepto,concept,concetto,concepto,concept
talarico,talaric,talarico,talarique,talarico,talarico,talaric
ardiloso,cunning,astuto,ruse,astuzia,astucia,viclean
ascensao,rise,elevar,augmenter,salita,subir,crestere
rapariga,girl,chica,fille,ragazza,rapaza,fata
reiterar,reiterate,reiterar,reiterer,ribadire,reiterar,reitereaza
lascivia,lust,lujuria,luxure,lussuria,luxuria,pofta
