pt,en,es,fr,it,gl,ro
crer,believe,creer,croire,credere,crer,crede
interseccao,intersection,interseccion,intersection,intersezione,interseccion,intersectie
analogo,analogue,termino analogo,analogue,analogico,analoxico,analogic
enclausurado,cloistered,conventual,cloitre,clausura,claustral,claustrala
endemico,endemic,endemico,endemique,endemico,endemica,endemice
paciencia,patience,paciencia,patience,pazienza,paciencia,rabdare
analogia,analogy,analogia,analogie,analogia,analoxia,analogie
proporcionar,provide,proporcionar,fournir,fornire,proporcionar,oferi
libertinagem,debauchery,libertinaje,debauche,dissolutezza,libertinaxe,depravare
intolerancia,intolerance,intolerancia,intolerance,intolleranza,intolerancia,intoleranta
jus,jus,jus,jus,giusto,xus,jus
sagacidade,wit,ingenio,esprit,spirito,enxeno,spirit
area,area,area,zone,la zona,area,zona
mister,mister,senor,monsieur,signore,senor,domnule
perspicacia,insight,conocimiento,apercu,intuizione,perspicacia,perspicacitate
intermediario,intermediary,intermediario,intermediaire,procacciatore d'affari,intermediario,intermediar
lei,law,ley,loi,legge,lei,lege
coxo,lame,aburrido,boiteux,zoppo,coxo,schiop
modestia,modesty,modestia,modestie,modestia,modestia,modestie
exilio,exile,exilio,exile,esilio,exilio,exil
ensejo,opportunity,oportunidad,opportunite,opportunita,oportunidade,oportunitate
amar,love,amar,amour,amore,amor,dragoste
carater,character,personaje,personnage,carattere,personaxe,caracter
