fr,ro,Alignment Score
valeur,in valoare de,0.37777777777777777
dense,dens,0.033333333333333326
sauf,cu exceptia,0.7666666666666666
cynique,cinic,0.40000000000000013
approprie,potrivit,0.45833333333333337
portee,domeniul de aplicare,0.6
pas(c)membre,nu(c)membre,0.16363636363636358
nature,natura,0.15555555555555556
monsieur,domnule,0.5142857142857143
chemin,cale,0.4833333333333334
apogee,ziua de glorie,0.5333333333333333
inoffensif,inofensiv,0.11851851851851858
costumes,costume,0.01904761904761898
utopie,utopie,0.0
sadique,sadic,0.21333333333333337
portee,domeniul de aplicare,0.6
accent,accent,0.0
idiot,idiot,0.0
occasionnel,casual,0.3555555555555556
merite,merit,0.026666666666666727
allusion,aluzie,0.34444444444444455
hostile,ostil,0.053333333333333344
souhait,dori,0.5333333333333334
sceptique,sceptic,0.1523809523809524
heritage,mostenire,0.5416666666666667
droit,drept,0.34666666666666657
depechez-vous,graba,0.9333333333333333
doux,bland,0.6500000000000001
extraterrestre,strain,0.5222222222222223
nocif,daunatoare,0.6
infame,infam,0.026666666666666727
cliche,cliseu,0.30000000000000016
passion,pasiune,0.2666666666666667
excellent,excelent,0.016666666666666607
affable,afabil,0.1777777777777778
definir,defini,0.022222222222222143
ornement,podoaba,0.7238095238095238
cadeau,cadou,0.19999999999999996
extase,extaz,0.19999999999999996
sobre,sobru,0.18666666666666676
adhesion,calitatea de membru,0.6333333333333333
grignotines,gustari,0.5142857142857143
evaluer,evalua,0.16666666666666663
ruse,viclean,0.7
aussi,de asemenea,0.6133333333333333
ventouse,fraier,0.7222222222222223
session,sesiune,0.2666666666666667
seuil,prag,0.85
solennel,solemn,0.1777777777777777
juger,a judeca,0.42666666666666664
gloire,glorie,0.15555555555555556
labaro,labaro,0.0
officiel,formal,0.5888888888888889
habitude,obicei,0.47777777777777775
appreciation,apreciere,0.311111111111111
bien que,cu toate ca,0.6583333333333334
opportunite,oportunitate,0.09090909090909083
elan,impuls,0.7
quelqu'un d'autre,altcineva,0.6370370370370371
efficace,efectiv,0.4857142857142859
inactif,inactiv,0.13333333333333341
jubilation,jubilare,0.23333333333333328
disposer,dispune,0.2666666666666667
diffuser,difuz,0.2400000000000001
haleine,suflare,0.6095238095238096
a feuilles persistantes,vesnic verde,0.5055555555555556
nuancer,nuanta,0.30000000000000016
faction,factiune,0.1523809523809525
excuse,scuza,0.5466666666666666
exile,exil,0.033333333333333326
affectation,misiune,0.6571428571428573
espiegle,jucaus,0.7222222222222222
abstention,se abtine,0.3925925925925926
inference,deducere,0.5333333333333334
juridiction,jurisdictie,0.16363636363636347
objet,obiect,0.21333333333333326
acceder,acces,0.21333333333333337
accent,accent,0.0
desir,dorinta,0.5466666666666666
axiome,axioma,0.15555555555555556
sanction,sanctiune,0.13333333333333341
gratuit,gratuit,0.0
tacite,tacit,0.026666666666666727
ethere,eteric,0.30000000000000016
recherche,cautare,0.5142857142857143
femme,femeie,0.19999999999999996
courtois,politicos,0.45833333333333337
avidite,lacomie,0.49523809523809526
maladie,boala,0.3866666666666667
serieux,serios,0.30000000000000016
gage,angajament,0.3666666666666667
exempter,scuti,0.7333333333333334
avidite,lacomie,0.49523809523809526
peur,frica,0.6666666666666667
vulgaire,vulgar,0.04444444444444451
telecommande,la distanta,0.6121212121212121
plaisir,placere,0.37142857142857144
factuel,faptice,0.37142857142857144
quand,cand,0.25
jamais,vreodata,0.6111111111111112
ne me donne pas,nu-mi da,0.4083333333333333
proprete,curatenie,0.55
empathie,empatie,0.01904761904761898
aurelio,aurelio,0.0
conjoint,sotie,0.5733333333333334
arnaque,inselatorie,0.5333333333333333
exception,exceptie,0.125
personnage,caracter,0.5666666666666667
ephemere,efemer,0.18888888888888888
verbeux,prelungit,0.5333333333333334
entree,intrare,0.3222222222222223
idyllique,idilic,0.34444444444444455
analogue,analogic,0.21666666666666667
authentique,autentic,0.15000000000000002
histoire,poveste,0.49523809523809526
sublime,sublim,0.022222222222222143
famille,familie,0.13333333333333341
condoleances,condoleante,0.09696969696969682
deduire,deduce,0.16666666666666663
apathique,apatic,0.19999999999999996
succinct,succint,0.01904761904761898
signification,sens,0.6000000000000001
de racheter,a rascumpara,0.4787878787878789
ruse,viclean,0.7
prodigue,risipitor,0.6333333333333333
culture,cultura,0.13333333333333341
audace,indrazneala,0.5222222222222223
stigmate,stigmatizarea,0.05833333333333324
recreation,pauza,0.7466666666666667
vertu,virtute,0.2266666666666668
refuter,respinge,0.49523809523809526
iconique,simbolic,0.5583333333333333
superbe,superb,0.022222222222222143
cynisme,cinism,0.1777777777777778
ecurie,grajd,0.7066666666666668
exhorter,indemn,0.7222222222222222
morbide,morbid,0.022222222222222143
banal,banal,0.0
attenuer,atenua,0.18888888888888888
la synthese,sinteza,0.4285714285714286
aspect,aspect,0.0
luxure,pofta,0.8400000000000001
amical,prietenos,0.7444444444444445
succes,succes,0.0
bonheur,fericire,0.6190476190476191
imputer,imputa,0.16666666666666663
ecume,gunoi,0.6933333333333334
emerger,apar,0.6833333333333333
anatheme,anatema,0.1523809523809525
en outre,in plus,0.5238095238095238
candeur,candoare,0.2571428571428571
debauche,depravare,0.44166666666666676
fierte,mandrie,0.5777777777777777
extrait,extras,0.16666666666666663
litige,litigii,0.16666666666666663
mourir d'envie,a pofti,0.6857142857142857
a travers,prin,0.75
cependant,in orice caz,0.5925925925925926
frivole,frivol,0.022222222222222143
courage,curaj,0.2266666666666668
desir,dor,0.3555555555555556
indigene,nativ,0.5866666666666667
surnom,porecla,0.7222222222222222
ambigue,ambiguu,0.13333333333333341
sain,sanatos,0.28333333333333355
austere,auster,0.022222222222222143
scrotum,scrot,0.039999999999999925
amitie,prietenie,0.34444444444444444
sensible,sensibil,0.1166666666666667
chimere,himera,0.1777777777777778
ambition,ambitie,0.1428571428571429
exces,exces,0.0
racisme,rasism,0.1777777777777778
relation,relatie,0.1428571428571429
promotion,promovare,0.37037037037037024
erudit,erudit,0.0
immersion,imersiune,0.20740740740740748
modeste,modest,0.022222222222222143
partiel,partial,0.13333333333333341
colosse,colos,0.039999999999999925
demande,cerere,0.5888888888888889
exotique,exotic,0.1777777777777777
concis,concis,0.0
science,stiinta,0.5047619047619049
piete,pietate,0.04000000000000015
volatil,volatil,0.0
celebre,notoriu,0.7238095238095238
bizarre,bizar,0.039999999999999925
exemption,scutire,0.6285714285714286
actuel,actual,0.15555555555555556
souffrir,suferi,0.20000000000000007
hybride,hibrid,0.1777777777777778
gagner,castiga,0.5666666666666667
intense,intens,0.022222222222222143
inertie,inertie,0.0
emotionnel,emotional,0.11111111111111116
anxieux,nerabdator,0.638095238095238
despote,despot,0.022222222222222143
sens,sens,0.0
clair,clar,0.033333333333333326
profane,profan,0.022222222222222143
la diffusion,difuziune,0.3407407407407409
inherent,inerent,0.01904761904761898
respect,respect,0.0
particulier,ciudat,0.6333333333333333
denigrer,denigra,0.1428571428571429
genocidaire,genocid,0.04761904761904767
consentement,consimtamant,0.30000000000000016
differe,amanata,0.8190476190476191
equite,capitaluri proprii,0.711111111111111
prudent,prudent,0.0
pandemie,pandemic,0.1166666666666667
imminent,iminent,0.01904761904761898
essence,esenta,0.3111111111111112
misogyne,misogin,0.1523809523809525
disgrace,rusine,0.5888888888888889
envahissant,invaziv,0.4380952380952382
aliene,instrainat,0.5
eminent,eminent,0.0
abstrait,abstract,0.1166666666666667
premisse,premisa,0.1428571428571429
extension,extensie,0.125
empirique,empiric,0.1523809523809524
concept,concept,0.0
talarique,talaric,0.1523809523809524
ruse,viclean,0.7
augmenter,crestere,0.45000000000000007
fille,fata,0.6499999999999999
reiterer,reitereaza,0.1333333333333333
luxure,pofta,0.8400000000000001
reve,visarea cu ochii deschisi,0.6166666666666667
relatif,relativ,0.13333333333333341
prodige,minune,0.5888888888888889
passable,acceptabil,0.45833333333333337
reparation,reparatie,0.11111111111111116
gratitude,recunostinta,0.5111111111111111
analogie,analogie,0.0
insertion,inserare,0.32499999999999984
modestie,modestie,0.0
excuses,scuze,0.41333333333333333
activiste,activist,0.016666666666666607
remise,iertare,0.5666666666666667
inhospitalier,neospitalier,0.08888888888888902
donc,prin urmare,0.7833333333333333
mediocre,mediocru,0.1166666666666667
monotone,monoton,0.01904761904761898
depit,ciuda,0.6799999999999999
fomenter,fomenteaza,0.1333333333333333
ineffable,inefabil,0.13333333333333341
soutien,a sustine,0.2952380952380953
rhetorique,retorica,0.24166666666666659
preoccupations,preocupari,0.1333333333333333
fondation,fundatie,0.2416666666666667
synonyme,sinonim,0.2857142857142858
proceder,continua,0.7250000000000001
methodique,metodic,0.17142857142857149
primaute,primatul,0.22499999999999998
perfidie,perfidie,0.0
rejeter,respinge,0.49523809523809526
histoire,istorie,0.1523809523809525
donc,prin urmare,0.7833333333333333
demagogue,demagog,0.028571428571428692
complexe,complex,0.01904761904761898
il consiste,consta,0.2333333333333334
critere,criteriu,0.1428571428571429
notivago,nuivago,0.1428571428571429
distinct,distinct,0.0
spectre,spectru,0.13333333333333341
succomber,sucomba,0.16190476190476188
desinteresse,altruista,0.6074074074074074
amalgame,amalgam,0.01904761904761898
resultat,rezultat,0.1166666666666667
singulier,singular,0.125
susciter,trezi,0.56
paradoxe,paradox,0.01904761904761898
moquerie,bataie de joc,0.6666666666666667
contexte,context,0.01904761904761898
processus,proces,0.04444444444444429
admissible,eligibil,0.4666666666666667
communion,comuniune,0.20740740740740748
mot,cuvant,0.6444444444444444
but,poarta,0.6666666666666667
refleter,reflectati,0.24166666666666659
intrepide,neinfricat,0.49629629629629635
la maitrise,maiestrie,0.2148148148148148
neanmoins,cu toate acestea,0.6296296296296297
endemique,endemice,0.125
conception,proiecta,0.575
legal,legale,0.026666666666666727
probleme,problema,0.1166666666666667
utile,util,0.033333333333333326
susciter,instiga,0.6190476190476191
incroyable,incredibil,0.3466666666666668
epiphanie,epifanie,0.125
rachat,rascumparare,0.38888888888888906
a travers,prin,0.75
parallele,paralel,0.03809523809523818
insipide,lipsit de gust,0.3916666666666667
resolu,hotarat,0.7111111111111111
immanent,imanent,0.01904761904761898
generique,generic,0.1523809523809524
sante mentale,sanatate psihica,0.405128205128205
perspicace,profund,0.6285714285714286
reciproque,reciproc,0.1333333333333333
concession,concesiune,0.18666666666666676
impression,imprimare,0.37777777777777777
scrupule,scrupul,0.01904761904761898
superflu,de prisos,0.6499999999999999
rectifier,rectifica,0.19259259259259254
paradigme,paradigma,0.10370370370370374
dichotomie,dihotomie,0.014814814814814725
but,scop,0.8666666666666667
presomption,prezumtie,0.31851851851851853
conception,proiecta,0.575
hypocrite,ipocrit,0.16190476190476188
ratifier,ratifica,0.21666666666666667
implicite,implicit,0.016666666666666607
plenitude,plenitudine,0.022222222222222254
essentiel,esential,0.13333333333333341
hegemonie,hegemonie,0.0
corollaire,corolar,0.05714285714285727
incident,incident,0.0
etrange,ciudat,0.7111111111111111
altruisme,altruism,0.016666666666666607
clochard,vagabond,0.6333333333333333
altruiste,altruist,0.016666666666666607
hermetique,ermetic,0.17142857142857149
aleatoire,aleatoriu,0.19999999999999996
espoir,speranta,0.4666666666666668
promiscuite,promiscuu,0.11851851851851847
persuader,convinge,0.7333333333333334
confiance,incredere,0.4666666666666667
volontaire,delibera,0.5666666666666667
sapience,intelepciune,0.4666666666666667
indelebile,de nesters,0.52
aussi,de asemenea,0.6133333333333333
petit,mic,0.6666666666666667
diligent,harnic,0.7333333333333334
impetueux,impetuos,0.22499999999999998
description,descriere,0.29629629629629617
rejouir,bucura,0.5888888888888889
resigne,demisionat,0.4380952380952382
inhabituel,neobisnuit,0.5133333333333334
eminence,eminenta,0.21666666666666667
compassion,compasiune,0.18666666666666676
prudence,prudenta,0.21666666666666667
pretention,pretensionare,0.11999999999999988
discretion,discretie,0.11111111111111116
analytique,analitic,0.25
explicite,explicit,0.016666666666666607
ordinaire,comun,0.5866666666666667
perception,perceptie,0.11111111111111116
realisable,fezabil,0.4285714285714286
nostalgie,nostalgie,0.0
subjectif,subiectiv,0.20740740740740748
autonomie,autonomie,0.0
autochtone,autohton,0.033333333333333326
resolution,rezolutie,0.2148148148148148
entreprise,companie,0.55
mepris,dispret,0.5777777777777777
digne de confiance,demn de incredere,0.3529411764705882
dissension,disensiuni,0.18666666666666676
expression,expresie,0.1416666666666666
constante,constant,0.016666666666666607
suppression,suprimare,0.3925925925925926
taciturne,taciturn,0.016666666666666607
impartial,impartial,0.0
authentique,autentic,0.15000000000000002
patience,rabdare,0.6190476190476191
ignorant,ignorant,0.0
arrogant,arogant,0.01904761904761898
execrable,execrabil,0.10370370370370374
sinon,in caz contrar,0.32000000000000006
discours,discurs,0.01904761904761898
restriction,restrictie,0.09999999999999987
humiliant,injositoare,0.5777777777777778
obstine,incapatanat,0.638095238095238
consonne,consoana,0.22499999999999998
se vanter,lauda,0.7333333333333334
cadre,cadru,0.18666666666666676
cognitif,cognitive,0.125
adjacent,adiacent,0.1166666666666667
eloquent,elocvent,0.21666666666666679
exemple,instanta,0.8285714285714286
interet,interes,0.13333333333333341
limite,la limita,0.20000000000000007
synthetique,sintetic,0.2666666666666666
imminence,iminenta,0.2333333333333334
soumission,supunere,0.55
presage,augur,0.56
pertinent,relevante,0.4740740740740741
irascible,irascibil,0.10370370370370374
obstacle,impiedicare,0.6583333333333334
super,grozav,0.6933333333333334
liberte,libertate,0.028571428571428692
tromper,insela,0.7222222222222222
acquisition,achizitie,0.32592592592592595
ambitieux,ambitios,0.22499999999999998
plausible,plauzibil,0.20740740740740748
humilite,umilinta,0.2333333333333334
conviction,condamnare,0.5000000000000001
premiers fruits,primele fructe,0.3238095238095239
dictionnaire,dictionar,0.0444444444444444
intrinseque,intrinsec,0.11851851851851847
faire sans,fa fara,0.4095238095238096
presomptueux,prezumtios,0.44666666666666677
diligence,diligenta,0.19259259259259254
corroborer,coroboreaza,0.18666666666666676
meteo,vreme,0.5066666666666666
detriment,in detriment,0.029629629629629672
maturite,maturitate,0.025000000000000022
parcimonie,parcimonie,0.0
reference,referinta,0.2962962962962963
inspiration,inspiratie,0.09999999999999987
inexorable,inexorabil,0.09333333333333327
pragmatique,pragmatic,0.11851851851851847
arrogant,arogant,0.01904761904761898
naissant,incipient,0.45000000000000007
perturbateur,perturbatoare,0.1499999999999999
sororite,sorority,0.1166666666666667
serenite,seninatate,0.2333333333333334
arbitraire,arbitrar,0.033333333333333326
indulgent,indulgent,0.0
de bon augure,de bun augur,0.08888888888888902
iniquite,nelegiuirea,0.3750000000000001
pertinent,relevante,0.4740740740740741
esprit,spirit,0.15555555555555556
demission,demisie,0.16190476190476188
hypocrisie,ipocrizie,0.2148148148148148
avocat,avocat,0.0
precedent,precedent,0.0
apercu,o privire,0.6111111111111112
incidence,incidenta,0.19259259259259254
flatte,flatat,0.15555555555555556
sensible,susceptibil,0.3666666666666667
neanmoins,cu toate acestea,0.6296296296296297
disposition,dispozitie,0.19333333333333336
excentrique,excentric,0.11851851851851847
sous-estimer,subestima,0.23703703703703694
preliminaire,preliminar,0.026666666666666616
tribulations,necazul,0.6476190476190476
deduire,deduce,0.16666666666666663
flegmatique,flegmatic,0.11851851851851847
anachronique,anacronic,0.13333333333333341
trompe,gresit,0.5777777777777777
examen minutieux,examinare,0.2592592592592593
retrograde,retrograd,0.014814814814814725
indolence,indolenta,0.19259259259259254
excellence,excelenta,0.20740740740740748
ingerence,interferenta,0.31851851851851853
democratie,democratie,0.0
malheur,ghinion,0.7238095238095238
compatissant,milos,0.4666666666666667
contempler,contempla,0.11111111111111116
important,important,0.0
pejoratif,peiorativ,0.20740740740740748
limiter,restrange,0.6285714285714286
synthetiser,sintetiza,0.31851851851851853
proposition,propozitie,0.19333333333333336
signataire,semnatar,0.25
primordial,primordial,0.0
situation,situatie,0.125
coercitif,coercitiv,0.10370370370370374
resolution,rezolutie,0.2148148148148148
intrinseque,intrinsec,0.11851851851851847
sous-jacent,subiacent,0.2148148148148148
but,poarta,0.6666666666666667
itineraire,itinerar,0.033333333333333326
splendide,splendid,0.016666666666666607
alterite,alteritate,0.025000000000000022
pecuniaire,pecuniara,0.11851851851851858
spontane,spontan,0.01904761904761898
designation,desemnare,0.4
passant,trecator,0.6190476190476191
necessaire,necesar,0.05714285714285727
constance,constanta,0.19259259259259254
sarcastique,sarcastic,0.11851851851851847
pusilC/nime,pusilC/nime,0.0
pertinence,adecvarea,0.5777777777777777
privilege,privilegiu,0.11111111111111116
depourvu,lipsit,0.7333333333333334
croyable,credibil,0.43333333333333335
pernostique,pernostic,0.11851851851851847
exacerbe,exacerbata,0.1333333333333333
bonheur,fericire,0.6190476190476191
pertinence,relevanta,0.5777777777777778
divergent,divergente,0.014814814814814725
discipline,disciplina,0.09333333333333327
inference,deducere,0.5333333333333334
pernicieux,pernicios,0.19999999999999996
disseminer,diseminati,0.2599999999999999
satisfaction,satisfactie,0.09090909090909083
meticuleux,meticulos,0.19999999999999996
reverberer,reverbera,0.11111111111111116
sporadique,sporadic,0.1333333333333333
influence,influenta,0.19259259259259254
militantisme,militantism,0.012121212121212088
retentissant,rasunator,0.49629629629629635
consolider,consolida,0.11111111111111116
fornication,curvie,0.6444444444444445
subversif,subversiv,0.10370370370370374
signification,sens,0.6000000000000001
perspective,perspectiva,0.08484848484848473
resilience,rezistenta,0.43333333333333335
deguise,deghizat,0.39047619047619064
vicissitudes,vicisitudine,0.1499999999999999
complaisant,multumit,0.475
emousse,bont,0.7166666666666668
peremptoire,peremptorie,0.08484848484848473
comorbidite,comorbiditate,0.018181818181817966
comprehension,intelegere,0.6799999999999999
apercu,perspicacitate,0.40000000000000013
attente,asteptare,0.2952380952380954
hypothese,presupunere,0.48888888888888893
beneplacito,beneplacito,0.0
subterfuge,subterfugiu,0.09999999999999987
prejuge,prejudecata,0.18095238095238086
experience,experienta,0.17333333333333334
indifferent,indiferent,0.013333333333333308
consonance,consonanta,0.17333333333333334
pretentieux,pretentios,0.17999999999999994
transcender,transcende,0.013333333333333308
incommensurable,nemasurata,0.3933333333333332
intensite,intensitate,0.022222222222222254
quota,cota,0.25
belligerant,beligerant,0.013333333333333308
eminent,proeminent,0.03809523809523818
besoin,nevoie,0.4666666666666667
superficiel,superficial,0.08484848484848473
concernant,cu privire la,0.6133333333333333
gentillesse,bunatate,0.5583333333333333
litige,litigii,0.16666666666666663
indicible,de nespus,0.6444444444444444
animosite,animozitate,0.12592592592592589
intervention,interventie,0.09090909090909083
tache,sarcina,0.5733333333333334
vocabulaire,vocabular,0.02962962962962956
antagonisme,antagonism,0.013333333333333308
salutation,salut,0.07999999999999985
resistance,rezistenta,0.34666666666666657
indifference,indiferenta,0.16969696969696957
reclamer,revendicare,0.3583333333333334
comprendre,a intelege,0.6666666666666667
