pt,gl,Alignment Score
apos,despois,0.29999999999999993
pois,enton,0.6833333333333333
vida,vida,0.0
casa,casa,0.0
auge,pico,0.8333333333333334
saga,saga,0.0
medo,medo,0.0
onus,ano,0.6000000000000001
ermo,deserto,0.29999999999999993
suma,suma,0.0
vovo,avoa,0.45000000000000007
mote,lema,0.6499999999999999
alem,mais alo,0.5166666666666666
tolo,parvo,0.6499999999999999
sina,destino,0.31666666666666676
idem,idem,0.0
urge,urxente,0.2833333333333333
crer,crer,0.0
pela,para o,0.4666666666666667
apto,encaixar,0.7166666666666668
zelo,celo,0.2333333333333334
veio,el veu,0.4833333333333333
pude,poderia,0.30000000000000016
tudo,todos,0.2666666666666667
mais,mais,0.0
ruim,malo,0.6333333333333333
area,area,0.0
amar,amor,0.2333333333333334
rude,groseiro,0.5333333333333334
coxo,coxo,0.0
cota,cota,0.0
para,para,0.0
soar,son,0.33333333333333337
ater,terra,0.25
sera,sera,0.0
fase,fase,0.0
ente,sendo,0.4666666666666667
auto,propio,0.6666666666666667
tras,detras,0.04999999999999993
doce,doce,0.0
voga,moda,0.4666666666666667
logo,en breve,0.9
onde,onde,0.0
rima,rime,0.2333333333333334
deus,deus,0.0
pelo,para o,0.4666666666666667
ante,antes,0.033333333333333326
cedo,cedo,0.0
jugo,xugo,0.2333333333333334
meio,bastante,0.7166666666666667
arte,art,0.04444444444444451
alma,alma,0.0
meta,obxectivo,0.5666666666666667
cujo,cuxo,0.2333333333333334
sela,sela,0.0
traz,trae,0.2333333333333334
numa,en,0.5333333333333334
cela,celula,0.04999999999999993
teor,contido,0.5166666666666666
sido,estivo,0.29999999999999993
noia,noia,0.0
face,cara,0.6499999999999999
asco,noxo,0.6333333333333333
nojo,noxo,0.2333333333333334
alvo,obxectivo,0.5166666666666666
foco,foco,0.0
isso,iso,0.04444444444444451
pose,pose,0.0
sair,sair,0.0
base,base,0.0
vale,ok,0.9333333333333333
odio,odio,0.0
agir,act,0.6000000000000001
teve,tina,0.6333333333333333
alto,alto,0.0
todo,todos,0.033333333333333326
ocio,lecer,0.6833333333333333
rito,rito,0.0
eita,caramba,0.6833333333333333
irao,vontade,0.7
novo,novo,0.0
agil,axil,0.2333333333333334
alva,amencer,0.6833333333333333
tese,tese,0.0
alta,alto,0.2333333333333334
bojo,bulto,0.45000000000000007
nexo,nexo,0.0
orla,costa,0.4666666666666667
sagaz,sagaz,0.0
amago,nucleo,0.6799999999999999
negro,negro,0.0
termo,termo,0.0
exito,exito,0.0
mexer,mesturar,0.3866666666666667
nobre,nobre,0.0
senso,sentido,0.21333333333333337
afeto,carino,0.5333333333333333
algoz,verdugo,0.5466666666666666
etica,etica,0.0
plena,cheo,0.6833333333333333
mutua,mutuo,0.18666666666666676
tenue,tenue,0.0
fazer,facer,0.18666666666666676
assim,como isto,0.7333333333333334
sutil,sutil,0.0
vigor,forza,0.52
aquem,aqui,0.25
porem,con todo,0.72
secao,seccion,0.2266666666666668
fosse,foron,0.5066666666666667
sanar,curar,0.5066666666666666
poder,poder,0.0
audaz,atrevido,0.5733333333333334
ideia,idea,0.033333333333333326
cerne,nucleo,0.5333333333333333
inato,innato,0.026666666666666727
moral,moral,0.0
sobre,sobre,0.0
desde,xa que,0.6799999999999999
muito,moi,0.3555555555555555
justo,xusto,0.18666666666666676
honra,honra,0.0
quica,quizais,0.2266666666666668
torpe,torpe,0.0
sonho,sono,0.033333333333333326
razao,razon,0.18666666666666676
futil,inutil,0.19999999999999996
etnia,etnia,0.0
icone,icona,0.18666666666666676
anexo,anexo,0.0
amigo,amigo,0.0
egide,exido,0.3733333333333334
tange,tanxe,0.18666666666666676
lapso,lapso,0.0
haver,ser,0.3555555555555556
expor,exponer,0.04000000000000015
mutuo,mutuo,0.0
dengo,dengo,0.0
tempo,tempo,0.0
casal,parella,0.56
entao,enton,0.18666666666666676
habil,habil,0.0
seara,colleita,0.5733333333333334
bocal,bocal,0.0
ardil,artimana,0.41333333333333344
avido,en directo,0.5866666666666667
pesar,a peso,0.3733333333333334
saber,saber,0.0
causa,causa,0.0
graca,graza,0.18666666666666676
dizer,dicir,0.34666666666666657
genro,xenero,0.21333333333333326
obice,obstaculo,0.42666666666666664
posse,posesion,0.2266666666666668
coser,coser,0.0
paria,paria,0.0
dever,deber,0.18666666666666676
brado,berrar,0.3733333333333334
tenaz,tenaz,0.0
prole,descendencia,0.7733333333333333
crivo,peneira,0.72
sendo,sendo,0.0
corja,curuxa,0.3866666666666667
comum,comun,0.18666666666666676
temor,medo,0.4666666666666667
detem,aguanta,0.72
ainda,ainda,0.0
animo,animo,0.0
apice,apex,0.25
ansia,afan,0.45000000000000007
ceder,deixa o paso,0.6133333333333333
estar,ser,0.3555555555555556
digno,digno,0.0
pauta,horario,0.7066666666666667
assaz,fermosa,0.5466666666666666
xibiu,xibiu,0.0
culto,culto,0.0
mundo,mundo,0.0
atroz,atroz,0.0
fugaz,fugaz,0.0
censo,censo,0.0
gleba,terra,0.5333333333333333
forte,forte,0.0
vicio,adiccion,0.2533333333333334
vulgo,tamen conecido como,0.8533333333333334
cozer,cocer,0.18666666666666676
valha,vale,0.25
denso,densa,0.18666666666666676
exceto,excepto,0.022222222222222143
cinico,cinico,0.0
idoneo,axeitado,0.4555555555555555
ambito,ambito,0.0
nescio,non e membro,0.5
indole,natureza,0.6000000000000001
mister,senor,0.3733333333333333
vereda,camino,0.7
apogeu,apoxeo,0.3111111111111112
inocuo,inocuo,0.0
convem,traxes,0.7111111111111111
utopia,utopia,0.0
sadico,sadico,0.0
escopo,ambito,0.6888888888888889
enfase,enfase,0.0
idiota,idiota,0.0
casual,casual,0.0
merito,merito,0.0
alusao,alusion,0.1777777777777778
hostil,hostis,0.15555555555555556
anseio,desexo,0.4444444444444444
cetico,esceptico,0.05555555555555558
legado,legado,0.0
hetero,recto,0.3866666666666667
pressa,presa,0.026666666666666727
gentil,manso,0.7066666666666668
alheio,alleo,0.21333333333333326
nocivo,prexudicial,0.6333333333333333
infame,infame,0.0
cliche,cliche,0.0
paixao,paixon,0.15555555555555556
eximio,excelente,0.5888888888888889
afavel,afable,0.30000000000000016
defina,definir,0.16666666666666663
adorno,adorno,0.0
dadiva,agasallo,0.6
extase,extase,0.0
sobrio,sobrio,0.0
adesao,adhesion,0.20000000000000007
larica,empanadas,0.6222222222222222
aferir,avaliar,0.4444444444444444
astuto,astucia,0.30000000000000016
tambem,tamen,0.21333333333333337
otario,ventosa,0.5888888888888889
sessao,sesion,0.30000000000000016
limiar,limite,0.288888888888889
solene,solemne,0.022222222222222143
julgar,para xulgar,0.21111111111111114
gloria,gloria,0.0
labaro,labaro,0.0
formal,formais,0.16666666666666663
habito,habito,0.0
apreco,aprecio,0.022222222222222143
embora,ainda que,0.7222222222222222
ensejo,oportunidade,0.6555555555555557
impeto,impulso,0.30000000000000016
outrem,alguen mais,0.5111111111111112
eficaz,eficaz,0.0
ocioso,ocioso,0.0
jubilo,xubilo,0.15555555555555556
dispor,dispor,0.0
difuso,difusa,0.15555555555555556
alento,alento,0.0
perene,perenne,0.022222222222222143
nuance,matiz,0.7066666666666668
faccao,faccion,0.1777777777777778
escusa,escusa,0.0
exilio,exilio,0.0
cessao,asignacion,0.5
ludico,xogueton,0.6111111111111112
abster,absterse,0.03333333333333344
ilacao,conclusion,0.6111111111111112
alcada,xurisdiccion,0.7777777777777778
objeto,obxecto,0.1777777777777777
acesso,acceso,0.15555555555555556
acento,acento,0.0
desejo,desexo,0.15555555555555556
axioma,axioma,0.0
sancao,sancion,0.1777777777777778
isento,gratuito,0.4444444444444444
tacito,tacito,0.0
etereo,etereo,0.0
buscar,buscar,0.0
mulher,muller,0.15555555555555556
cortes,cortes,0.0
cobica,cobiza,0.15555555555555556
mazela,doenza,0.5666666666666667
sisudo,grave,0.8400000000000001
penhor,prenda,0.43333333333333335
eximir,exentos,0.5666666666666667
avidez,cobiza,0.5777777777777777
receio,medo,0.5
vulgar,vulgar,0.0
remoto,remoto,0.0
prazer,pracer,0.15555555555555556
fatico,factual,0.4444444444444444
quando,cando,0.19999999999999996
sempre,nunca,0.8400000000000001
nomade,non me deas,0.2333333333333335
asseio,limpeza,0.7
empatia,empatia,0.0
aurelio,aurelio,0.0
conjuge,conxuxe,0.2666666666666667
embuste,estafa,0.4444444444444444
excecao,excepcion,0.17142857142857149
carater,personaxe,0.5333333333333334
efemero,efemero,0.0
prolixo,longo vento,0.638095238095238
verbete,entrada,0.6095238095238096
idilico,idilico,0.0
analogo,analoxico,0.1523809523809524
genuino,xenuino,0.13333333333333341
estoria,historia,0.1428571428571429
sublime,sublime,0.0
familia,familia,0.0
pesames,condolencias,0.5523809523809524
inferir,inferir,0.0
apatico,apatico,0.0
sucinto,sucinto,0.0
acepcao,significado,0.5238095238095238
redimir,para redimir,0.05714285714285716
astucia,astucia,0.0
prodigo,prodigo,0.0
cultura,cultura,0.0
audacia,audacia,0.0
estigma,estigma,0.0
recesso,recreo,0.16666666666666663
virtude,virtude,0.0
refutar,refutar,0.0
iconico,iconico,0.0
soberba,xenial,0.6000000000000001
cinismo,cinismo,0.0
estavel,estable,0.2571428571428571
exortar,urxe,0.6833333333333333
morbido,morboso,0.24761904761904763
trivial,trivial,0.0
mitigar,mitigar,0.0
sintese,sintese,0.0
aspecto,aspecto,0.0
luxuria,luxuria,0.0
cordial,amigable,0.5142857142857143
sucesso,exito,0.5466666666666666
alegria,felicidade,0.5333333333333334
imputar,imputar,0.0
escoria,escoria,0.0
emergir,xurdir,0.4555555555555555
anatema,anatema,0.0
ademais,ademais,0.0
candura,candor,0.1777777777777778
deboche,libertinaxe,0.6476190476190475
orgulho,orgullo,0.13333333333333341
excerto,extracto,0.25714285714285723
litigio,litixio,0.13333333333333341
almejar,anhelar,0.36190476190476184
atraves,a traves,0.01904761904761898
contudo,con todo,0.1523809523809525
frivolo,frivolo,0.0
coragem,coraxe,0.1777777777777778
saudade,saudade,0.0
oriundo,nativo,0.5777777777777777
alcunha,alcume,0.30000000000000016
ambiguo,ambiguo,0.0
salutar,saudable,0.40000000000000013
austero,austero,0.0
escroto,escroto,0.0
amizade,amizade,0.0
sensato,sensato,0.0
quimera,quimera,0.0
ambicao,ambicion,0.1523809523809525
excesso,exceso,0.022222222222222143
racismo,racismo,0.0
relacao,relacion,0.1523809523809525
fomento,promocion,0.5142857142857143
erudito,erudito,0.0
imersao,inmersion,0.17142857142857149
modesto,modesto,0.0
parcial,parcial,0.0
colosso,coloso,0.022222222222222143
demanda,demanda,0.0
exotico,exotico,0.0
conciso,conciso,0.0
ciencia,ciencia,0.0
piedade,piedade,0.0
volatil,volatil,0.0
notorio,notorio,0.0
bizarro,estrano,0.6
isencao,exencion,0.4
vigente,actual,0.7222222222222222
padecer,sufrir,0.7
hibrido,hibrido,0.0
auferir,ganar,0.5333333333333333
intenso,intenso,0.0
inercia,inercia,0.0
emotivo,emocional,0.2857142857142857
ansioso,ansioso,0.0
despota,despota,0.0
sentido,sentido,0.0
limpido,claro,0.5466666666666666
profano,profano,0.0
difusao,difusion,0.1523809523809525
inerente,inherente,0.016666666666666607
respeito,respecto,0.1166666666666667
peculiar,peculiar,0.0
denegrir,denigrar,0.2333333333333334
genocida,xenocida,0.1166666666666667
anuencia,consentimento,0.5083333333333333
deferido,aprazado,0.5333333333333334
equidade,equidade,0.0
prudente,prudente,0.0
pandemia,pandemia,0.0
iminente,inminente,0.016666666666666607
essencia,esencia,0.01904761904761898
misogino,misoxina,0.2333333333333334
desgraca,deshonra,0.32500000000000007
invasivo,invasivo,0.0
alienado,alienado,0.0
eminente,eminente,0.0
abstrato,abstracto,0.016666666666666607
premissa,premisa,0.01904761904761898
extensao,extension,0.13333333333333341
empirico,empirico,0.0
conceito,concepto,0.1166666666666667
talarico,talarico,0.0
ardiloso,astucia,0.6095238095238096
ascensao,subir,0.72
rapariga,rapaza,0.1777777777777778
reiterar,reiterar,0.0
lascivia,luxuria,0.48571428571428565
devaneio,sonar despierto,0.4916666666666667
relativo,achegada,0.6416666666666666
prodigio,prodixio,0.1166666666666667
passivel,transitable,0.4833333333333334
conserto,reparacion,0.5416666666666667
gratidao,gratitude,0.2333333333333334
analogia,analoxia,0.1166666666666667
insercao,insercion,0.13333333333333341
modestia,modestia,0.0
apologia,desculpas,0.6416666666666666
ativista,activista,0.016666666666666607
remissao,remision,0.22499999999999998
inospito,inhospito,0.016666666666666607
destarte,polo tanto,0.5666666666666667
mediocre,mediocres,0.016666666666666607
monotono,monotono,0.0
despeito,despecho,0.21666666666666667
fomentar,fomentar,0.0
inefavel,inefable,0.22499999999999998
respaldo,apoiar,0.6000000000000001
retorica,retorica,0.0
concerne,preocupacions,0.575
alicerce,fundacion,0.6416666666666666
sinonimo,sinonimo,0.0
proceder,proceder,0.0
metodico,metodico,0.0
primazia,primacia,0.1166666666666667
perfidia,perfidia,0.0
rechacar,rexeitar,0.41666666666666663
historia,historia,0.0
portanto,polo tanto,0.1333333333333333
demagogo,demagogo,0.0
complexo,complexo,0.0
consiste,consiste,0.0
criterio,criterio,0.0
notivago,nonivago,0.1166666666666667
distinto,distinto,0.0
espectro,espectro,0.0
sucumbir,sucumbir,0.0
abnegado,desinteresado,0.3833333333333333
amalgama,amalgama,0.0
desfecho,resultado,0.5416666666666667
singular,singular,0.0
suscitar,espertar,0.42499999999999993
paradoxo,paradoxo,0.0
escarnio,burla,0.72
contexto,contexto,0.0
processo,proceso,0.01904761904761898
elegivel,elixibles,0.44166666666666676
comunhao,comunon,0.1428571428571429
vocabulo,palabra,0.6190476190476191
objetivo,obxectivo,0.1333333333333333
refletir,reflexo,0.2571428571428571
impavido,sen medo,0.5333333333333334
maestria,mestria,0.01904761904761898
obstante,con todo,0.5416666666666667
endemico,endemica,0.1166666666666667
designio,deseno,0.188888888888889
juridico,legal,0.8666666666666667
problema,problema,0.0
solicito,util,0.7166666666666668
instigar,instigar,0.0
incrivel,incrible,0.22499999999999998
epifania,epifania,0.0
redencao,redencion,0.13333333333333341
mediante,a traves,0.5416666666666667
paralelo,paralelo,0.0
insipido,insipido,0.0
resoluto,resolto,0.01904761904761898
imanente,inmanente,0.016666666666666607
generico,xenerico,0.1166666666666667
sanidade,cordura,0.6190476190476191
perspicaz,perspicaz,0.0
reciproco,reciproco,0.0
concessao,concesion,0.19999999999999996
impressao,impresion,0.19999999999999996
escrupulo,escrupulo,0.0
superfluo,superfluo,0.0
retificar,rectificar,0.014814814814814725
paradigma,paradigma,0.0
dicotomia,dicotomia,0.0
proposito,proposito,0.0
presuncao,presuncion,0.11851851851851858
concepcao,deseno,0.6000000000000001
hipocrita,hipocrita,0.0
ratificar,ratificar,0.0
implicito,implicito,0.0
plenitude,plenitude,0.0
essencial,esencial,0.016666666666666607
hegemonia,hexemonia,0.10370370370370374
corolario,corolario,0.0
incidente,incidente,0.0
esdruxulo,estrano,0.4
altruismo,altruismo,0.0
vagabundo,vagabundo,0.0
altruista,altruista,0.0
hermetico,hermetico,0.0
aleatorio,aleatoria,0.10370370370370374
esperanca,esperanza,0.10370370370370374
promiscuo,promiscuo,0.0
persuadir,persuadir,0.0
confianca,confiar,0.1523809523809524
deliberar,deliberado,0.11111111111111116
sapiencia,sapiencia,0.0
indelevel,indeleble,0.19999999999999996
demasiado,tamen,0.7466666666666667
mesquinho,mesquino,0.016666666666666607
diligente,dilixente,0.10370370370370374
impetuoso,impetuoso,0.0
descricao,descricion,0.11851851851851858
regozijar,alegrarse,0.4814814814814815
resignado,dimitido,0.5333333333333334
inusitado,rara,0.7333333333333334
eminencia,eminencia,0.0
compaixao,compaixon,0.10370370370370374
prudencia,prudencia,0.0
pretensao,pretension,0.11851851851851858
discricao,discrecion,0.20740740740740748
analitico,analitico,0.0
explicito,explicito,0.0
ordinario,ordinario,0.0
percepcao,percepcion,0.11851851851851858
exequivel,factible,0.6499999999999999
nostalgia,nostalxia,0.10370370370370374
subjetivo,subxectivo,0.11851851851851858
autonomia,autonomia,0.0
autoctone,autoctona,0.10370370370370374
resolucao,resolucion,0.11851851851851858
companhia,empresa,0.5142857142857143
desdenhar,desprezo,0.43333333333333346
fidedigno,de confianza,0.5185185185185186
dissensao,disension,0.20740740740740748
expressao,expresion,0.19999999999999996
constante,constante,0.0
supressao,supresion,0.19999999999999996
taciturno,taciturno,0.0
imparcial,imparcial,0.0
autentico,autentico,0.0
paciencia,paciencia,0.0
ignorante,ignorante,0.0
arrogante,arrogante,0.0
execravel,execrable,0.19999999999999996
outrossim,en caso contrario,0.5407407407407407
discorrer,discurso,0.32499999999999984
restricao,restricion,0.11851851851851858
desumilde,degradante,0.4740740740740741
obstinado,obstinado,0.0
consoante,consoante,0.0
jactancia,presumir,0.7416666666666667
arcabouco,marco,0.2400000000000001
cognitivo,cognitivo,0.0
adjacente,adxacentes,0.11851851851851858
eloquente,elocuente,0.10370370370370374
instancia,instancia,0.0
interesse,interese,0.016666666666666607
limitrofe,limite,0.04444444444444429
sintetico,sintetica,0.10370370370370374
iminencia,inminencia,0.014814814814814725
submissao,presentacion,0.5925925925925926
pressagio,presaxio,0.13333333333333341
relevante,relevantes,0.014814814814814725
irascivel,irascible,0.19999999999999996
empecilho,atranco,0.6190476190476191
excelente,xenial,0.47777777777777786
liberdade,liberdade,0.0
ludibriar,enganar,0.6095238095238096
aquisicao,adquisicion,0.13333333333333341
ambicioso,ambicioso,0.0
plausivel,plausible,0.19999999999999996
humildade,humildade,0.0
conviccao,conviccion,0.11851851851851858
primicias,primicias,0.0
dicionario,dicionario,0.0
intrinseco,intrinseca,0.09333333333333327
prescindir,prescindir,0.0
presuncoso,presuntuoso,0.09999999999999998
diligencia,dilixencia,0.09333333333333338
corroborar,corroborar,0.0
intemperie,tempo,0.2666666666666667
detrimento,prexuizo,0.5583333333333333
maturidade,madurez,0.2952380952380953
parcimonia,parsimonia,0.09333333333333338
referencia,referencia,0.0
inspiracao,inspiracion,0.10666666666666669
inexoravel,inexorable,0.17999999999999994
pragmatico,pragmatico,0.0
prepotente,arrogante,0.4
incipiente,incipiente,0.0
disruptivo,perturbador,0.6
sororidade,irmandade,0.37777777777777777
serenidade,serenidade,0.0
arbitrario,arbitrario,0.0
indulgente,indulxente,0.09333333333333338
auspicioso,auspicioso,0.0
iniquidade,iniquidade,0.0
pertinente,relevantes,0.42666666666666664
sagacidade,enxeno,0.7333333333333334
resignacao,dimision,0.55
hipocrisia,hipocrisia,0.0
preconizar,avogado,0.6571428571428573
precedente,precedente,0.0
vislumbrar,albiscar,0.45000000000000007
incidencia,incidencia,0.0
lisonjeado,halagado,0.44166666666666676
suscetivel,susceptibles,0.19999999999999996
entretanto,con todo,0.55
disposicao,disposicion,0.10666666666666669
excentrico,excentrico,0.0
subestimar,subestimar,0.0
preliminar,preliminar,0.0
tribulacao,tribulacion,0.10666666666666669
depreender,deducir,0.40000000000000013
fleumatico,flematico,0.014814814814814725
anacronico,anacronico,0.0
equivocado,equivocado,0.0
escrutinio,escrutinio,0.0
retrogrado,retrogrado,0.0
indolencia,indolencia,0.0
excelencia,excelencia,0.0
ingerencia,interferencia,0.11333333333333329
democracia,democracia,0.0
infortunio,desgraza,0.75
compassivo,compasivo,0.014814814814814725
contemplar,contemplar,0.0
importante,importante,0.0
pejorativo,pexorativo,0.09333333333333338
restringir,restrinxir,0.09333333333333338
sintetizar,sintetizar,0.0
proposicao,proposicion,0.10666666666666669
signatario,asinante,0.3583333333333334
primordial,primordial,0.0
conjuntura,situacion,0.562962962962963
coercitivo,coercitivo,0.0
dissolucao,resolucion,0.3533333333333334
intrinseca,intrinseca,0.0
subjacente,subxacente,0.09333333333333338
finalidade,obxectivo,0.7407407407407407
itinerario,itinerario,0.0
esplendido,esplendido,0.0
alteridade,alteridade,0.0
pecuniaria,pecuniario,0.09333333333333327
espontaneo,espontanea,0.09333333333333327
designacao,designacion,0.10666666666666669
transeunte,transeunte,0.0
necessario,necesario,0.014814814814814725
constancia,constancia,0.0
sarcastico,sarcastico,0.0
pusilanime,pusilC/nime,0.09999999999999998
idoneidade,idoneidade,0.0
privilegio,privilexio,0.09333333333333338
desprovido,carente,0.7428571428571429
verossimil,crible,0.5
pernostico,pernostico,0.0
exacerbado,exacerbado,0.0
felicidade,felicidade,0.0
relevancia,relevancia,0.0
divergente,diverxente,0.09333333333333338
disciplina,disciplina,0.0
inferencia,conclusion,0.5933333333333334
pernicioso,perniciosa,0.09333333333333327
disseminar,difundir,0.44166666666666676
satisfacao,satisfaccion,0.11333333333333329
meticuloso,meticuloso,0.0
reverberar,reverberar,0.0
esporadico,esporadicos,0.013333333333333308
influencia,influencia,0.0
militancia,militancia,0.0
retumbante,rotundo,0.4190476190476191
consolidar,consolidar,0.0
fornicacao,fornicacion,0.10666666666666669
subversivo,subversivo,0.0
significado,significado,0.0
perspectiva,perspectiva,0.0
resiliencia,resiliencia,0.0
dissimulado,disfrazado,0.3400000000000001
vicissitude,vicisitude,0.013333333333333308
complacente,compracente,0.08484848484848484
contundente,contundente,0.0
peremptorio,perentorio,0.09999999999999998
comorbidade,comorbilidade,0.018181818181818188
compreensao,comprension,0.1696969696969698
perspicacia,perspicacia,0.0
expectativa,expectativa,0.0
pressuposto,suposicion,0.3533333333333334
beneplacito,beneplacito,0.0
subterfugio,subterfuxio,0.08484848484848484
preconceito,prexuizo,0.3583333333333334
experiencia,experiencia,0.0
indiferente,indiferente,0.0
consonancia,consonancia,0.0
pretensioso,pretencioso,0.08484848484848484
transcender,transcender,0.0
imensuravel,inconmensurable,0.19393939393939386
intensidade,intensidade,0.0
contingente,cota,0.3666666666666668
beligerante,belixerante,0.08484848484848484
proeminente,destacado,0.6814814814814816
necessidade,necesidade,0.013333333333333308
superficial,superficial,0.0
concernente,referente,0.3037037037037037
benignidade,bondade,0.18095238095238098
contencioso,litixio,0.5428571428571429
inenarravel,indicible,0.5629629629629631
animosidade,animosidade,0.0
intervencao,intervencion,0.09696969696969682
incumbencia,tarefa,0.6333333333333333
vocabulario,vocabulario,0.0
antagonismo,antagonismo,0.0
cumprimento,saudo,0.6133333333333333
resistencia,resistencia,0.0
indiferenca,indiferenza,0.08484848484848473
reivindicar,reclamacion,0.5333333333333334
compreender,entender,0.2416666666666667
supracitado,mencionado anteriormente,0.5454545454545456
subsequente,posterior,0.5703703703703704
estereotipo,estereotipo,0.0
integridade,integridade,0.0
diversidade,diversidade,0.0
ambiguidade,ambiguidade,0.0
deliberacao,liberar,0.18095238095238086
especulacao,especulacion,0.09696969696969682
indulgencia,indulxencia,0.08484848484848484
proveniente,orixinaria,0.6066666666666667
divergencia,diverxencia,0.08484848484848484
elucubracao,elucubracion,0.09696969696969682
indubitavel,indubidable,0.24848484848484853
austeridade,austeridade,0.0
prognostico,prognostico,0.0
importancia,importancia,0.0
heterogeneo,heteroxeneo,0.08484848484848484
tergiversar,cabreo,0.6333333333333333
benevolente,benevolente,0.0
displicente,descoidado,0.6000000000000001
negligencia,neglixencia,0.08484848484848484
oportunista,oportunista,0.0
identificar,identificar,0.0
estabelecer,establecer,0.013333333333333308
conveniente,conveniente,0.0
redundancia,redundancia,0.0
congruencia,congruencia,0.0
discriminar,discriminar,0.0
consciencia,consciencia,0.0
substantivo,substantivo,0.0
pragmatismo,pragmatismo,0.0
providencia,providencia,0.0
excepcional,excepcional,0.0
admoestacao,advertencia,0.4121212121212121
conferencia,conferencia,0.0
facultativo,opcional,0.5666666666666667
sistematico,sistematico,0.0
compulsorio,obrigatoria,0.5333333333333334
verborragia,verborrea,0.11851851851851847
comprimento,lonxitude,0.5925925925925926
interseccao,interseccion,0.09696969696969682
subordinado,subordinado,0.0
intelectual,intelectual,0.0
melancolico,melancolia,0.09999999999999987
contradicao,contradicion,0.09696969696969682
generalizar,xeneralizar,0.08484848484848484
relativizar,relativizar,0.0
desenvolver,desenvolver,0.0
substancial,substancial,0.0
honestidade,honestidade,0.0
dificuldade,dificultade,0.08484848484848484
retificacao,rectificacion,0.1090909090909089
conservador,conservador,0.0
procedencia,orixe,0.6133333333333333
autoritario,autoritario,0.0
determinado,determinado,0.0
amabilidade,bondade,0.2952380952380952
antagonista,antagonista,0.0
perseveranca,perseveranza,0.07777777777777772
condolencias,condolencias,0.0
remanescente,restante,0.2583333333333334
prerrogativa,prerrogativa,0.0
extrovertido,extrovertido,0.0
complacencia,compracencia,0.07777777777777772
procrastinar,procrastinar,0.0
discrepancia,discrepancia,0.0
determinacao,determinacion,0.0888888888888888
independente,independente,0.0
consequencia,consecuencia,0.07777777777777772
intermitente,intermitente,0.0
conveniencia,conveniencia,0.0
benevolencia,benevolencia,0.0
compartilhar,compartir,0.02962962962962956
eclesiastico,estilo eclesial,0.3666666666666666
contingencia,continxencia,0.07777777777777772
transgressao,transgresion,0.1499999999999999
felicitacoes,parabens,0.575
consideracao,consideracion,0.0888888888888888
