pt,it,Alignment Score
amor,amore,0.033333333333333326
fato,fatto,0.033333333333333326
mito,mito,0.0
vies,pregiudizio,0.7833333333333333
voce,voi,0.33333333333333337
como,come,0.2333333333333334
caos,caos,0.0
esmo,a casaccio,0.5666666666666667
brio,brio,0.0
vide,vedere,0.2833333333333333
acao,azione,0.4833333333333334
sede,sete,0.2333333333333334
apos,dopo,0.45000000000000007
pois,poi,0.04444444444444451
vida,vita,0.2333333333333334
casa,casa,0.0
auge,picco,0.85
saga,saga,0.0
medo,paura,0.85
onus,ano,0.6000000000000001
ermo,natura selvaggia,0.85
suma,somma,0.25
vovo,nonna,0.6666666666666667
mote,motto,0.25
alem,al di la,0.5
tolo,scemo,0.6499999999999999
sina,destino,0.31666666666666676
idem,idem,0.0
urge,urgente,0.06666666666666676
crer,credere,0.08333333333333337
pela,per il,0.2666666666666667
apto,adatto,0.2666666666666666
zelo,zelo,0.0
veio,lui venne,0.5333333333333334
pude,potrei,0.4833333333333334
tudo,tutto,0.25
mais,di piu,0.7
ruim,cattivo,0.7166666666666668
area,la zona,0.5
amar,amore,0.2666666666666666
rude,maleducato,0.75
coxo,zoppo,0.4833333333333334
cota,quota,0.25
para,per,0.3555555555555556
soar,suono,0.45000000000000007
ater,terra,0.25
sera,sara,0.2333333333333334
fase,fase,0.0
ente,essendo,0.5
auto,se stesso,0.5333333333333334
tras,dietro,0.4833333333333333
doce,dolce,0.033333333333333326
voga,voga,0.0
logo,presto,0.6666666666666667
onde,dove,0.43333333333333335
rima,brina,0.2666666666666666
deus,dio,0.6000000000000001
pelo,per il,0.2666666666666667
ante,prima,0.6500000000000001
cedo,presto,0.5
jugo,giogo,0.45000000000000007
meio,abbastanza,0.9333333333333333
arte,arte,0.0
alma,anima,0.25
meta,obiettivo,0.55
cujo,di chi,0.6833333333333333
sela,sella,0.033333333333333326
traz,porta,0.4666666666666667
numa,in,0.5333333333333334
cela,cellula,0.06666666666666676
teor,contenuto,0.33333333333333337
sido,stato,0.45000000000000007
noia,noia,0.0
face,viso,0.8333333333333334
asco,disgusto,0.5333333333333334
nojo,disgusto,0.7
alvo,bersaglio,0.35
foco,messa a fuoco,0.18333333333333324
isso,quello,0.6666666666666667
pose,posa,0.2333333333333334
sair,uscire,0.30000000000000016
base,base,0.0
vale,ok,0.9333333333333333
odio,odio,0.0
agir,atto,0.6333333333333333
teve,lui aveva,0.5333333333333334
alto,alto,0.0
todo,tutto,0.45000000000000007
ocio,tempo libero,0.4
rito,rito,0.0
eita,cavolo,0.6833333333333333
irao,volere,0.6833333333333333
novo,nuovo,0.033333333333333326
agil,agile,0.033333333333333326
alva,alba,0.2333333333333334
tese,tesi,0.2333333333333334
alta,alto,0.2333333333333334
bojo,rigonfiamento,0.6166666666666667
nexo,nesso,0.25
orla,costa,0.4666666666666667
sagaz,sagace,0.19999999999999996
amago,nucleo,0.6799999999999999
negro,nero,0.033333333333333326
termo,termine,0.21333333333333337
exito,successo,0.56
mexer,mescolare,0.41333333333333344
nobre,nobile,0.19999999999999996
senso,senso,0.0
afeto,affetto,0.053333333333333344
algoz,boia,0.6499999999999999
etica,etica,0.0
plena,pieno,0.3733333333333334
mutua,reciproco,0.88
tenue,tenue,0.0
fazer,fare,0.25
assim,come questo,0.76
sutil,impercettibile,0.4933333333333334
vigor,forza,0.52
aquem,qui,0.37777777777777777
porem,tuttavia,0.8666666666666667
secao,sezione,0.3866666666666667
fosse,erano,0.6666666666666667
sanar,guarire,0.5466666666666666
poder,energia,0.5466666666666666
audaz,audace,0.19999999999999996
ideia,idea,0.033333333333333326
cerne,nucleo,0.5333333333333333
inato,innato,0.026666666666666727
moral,morale,0.026666666666666727
sobre,di,0.9666666666666667
desde,da,0.5666666666666667
muito,molto,0.34666666666666657
justo,giusto,0.19999999999999996
honra,onore,0.3733333333333334
quica,forse,0.8266666666666667
torpe,goffo,0.6799999999999999
sonho,sogno,0.18666666666666676
razao,motivo,0.6799999999999999
futil,inutile,0.22666666666666668
etnia,etnia,0.0
icone,icona,0.18666666666666676
anexo,attaccamento,0.45333333333333337
amigo,amico,0.18666666666666676
egide,egida,0.18666666666666676
tange,tangente,0.05333333333333323
lapso,periodo,0.5466666666666666
haver,essere,0.5333333333333333
expor,esporre,0.2266666666666668
mutuo,reciproco,0.72
dengo,dengo,0.0
tempo,tempo,0.0
casal,coppia,0.52
entao,poi,0.6444444444444445
habil,abile,0.18666666666666676
seara,raccolto,0.5466666666666666
bocal,bocal,0.0
ardil,stratagemma,0.7466666666666666
avido,vivere,0.5333333333333334
pesar,pesare,0.026666666666666727
saber,sapere,0.21333333333333326
causa,causa,0.0
graca,adornare,0.5733333333333334
dizer,dire,0.25
genro,genere,0.21333333333333337
obice,ostacolo,0.5733333333333334
posse,possesso,0.05333333333333323
coser,cucire,0.5333333333333333
paria,paria,0.0
dever,dovere,0.21333333333333337
brado,gridare,0.5733333333333334
tenaz,tenace,0.19999999999999996
prole,prole,0.0
crivo,setaccio,0.4
sendo,essendo,0.039999999999999925
corja,gufo,0.6666666666666667
comum,comune,0.19999999999999996
temor,paura,0.6799999999999999
detem,tiene,0.52
ainda,ancora,0.3733333333333334
animo,allegria,0.5733333333333334
apice,apice,0.0
ansia,entusiasmo,0.28
ceder,far passare,0.76
estar,essere,0.3733333333333334
digno,degno,0.18666666666666676
pauta,programma,0.41333333333333333
assaz,bello,0.8266666666666667
xibiu,xibiu,0.0
culto,culto,0.0
mundo,mondo,0.18666666666666676
atroz,atroce,0.19999999999999996
fugaz,fugace,0.19999999999999996
censo,censimento,0.08000000000000007
gleba,terra,0.5333333333333333
forte,forte,0.0
vicio,dipendenza,0.76
vulgo,ovvero,0.5333333333333333
cozer,cottura al forno,0.5066666666666666
valha,di valore,0.41333333333333344
denso,denso,0.0
exceto,tranne,0.6888888888888889
cinico,cinico,0.0
idoneo,adatto,0.5777777777777777
ambito,scopo,0.6799999999999999
nescio,non(c)membro,0.5
indole,natura,0.7
mister,signore,0.5888888888888889
vereda,sentiero,0.6000000000000001
apogeu,periodo d'oro,0.6444444444444445
inocuo,innocuo,0.022222222222222143
convem,abiti,0.8400000000000001
utopia,utopia,0.0
sadico,sadico,0.0
escopo,scopo,0.026666666666666727
enfase,enfasi,0.15555555555555556
idiota,idiota,0.0
casual,casuale,0.022222222222222143
merito,merito,0.0
alusao,allusione,0.21111111111111114
hostil,ostile,0.15555555555555556
anseio,desiderio,0.34444444444444444
cetico,scettico,0.04444444444444451
legado,eredita,0.5888888888888889
hetero,dritto,0.5666666666666667
pressa,fretta,0.4444444444444444
gentil,gentile,0.022222222222222143
alheio,alieno,0.28888888888888886
nocivo,dannoso,0.4444444444444444
infame,infame,0.0
cliche,cliche,0.0
paixao,passione,0.3222222222222223
eximio,eccellente,0.7333333333333334
afavel,affabile,0.3333333333333335
defina,definire,0.1777777777777777
adorno,ornamento,0.3222222222222223
dadiva,regalo,0.7
extase,estasi,0.3111111111111112
sobrio,sobrio,0.0
adesao,appartenenza,0.5222222222222223
larica,munchies,0.7333333333333334
aferir,valutare,0.5888888888888889
astuto,astuzia,0.30000000000000016
tambem,pure,0.6833333333333333
otario,ventosa,0.5888888888888889
sessao,sessione,0.18888888888888888
limiar,soglia,0.43333333333333335
solene,solenne,0.022222222222222143
julgar,giudicare,0.4666666666666667
gloria,gloria,0.0
labaro,labaro,0.0
formal,formale,0.022222222222222143
habito,abitudine,0.3333333333333335
apreco,apprezzamento,0.24444444444444458
embora,sebbene,0.5888888888888889
ensejo,opportunita,0.7444444444444445
impeto,quantita di moto,0.42222222222222217
outrem,qualcun altro,0.5333333333333333
eficaz,efficace,0.18888888888888888
ocioso,oziare,0.5777777777777777
jubilo,giubilo,0.16666666666666663
dispor,smaltire,0.6000000000000001
difuso,diffondere,0.34444444444444455
alento,respiro,0.5888888888888889
perene,sempreverde,0.3666666666666667
nuance,sfumatura,0.6111111111111112
faccao,fazione,0.4444444444444444
escusa,scusa,0.026666666666666727
exilio,esilio,0.15555555555555556
cessao,incarico,0.4555555555555555
ludico,giocoso,0.4555555555555555
abster,astenersi,0.19999999999999996
ilacao,inferenza,0.6
alcada,giurisdizione,0.788888888888889
objeto,oggetto,0.3111111111111111
acesso,accesso,0.022222222222222143
acento,accento,0.022222222222222143
desejo,desiderio,0.20000000000000007
axioma,assioma,0.16666666666666663
sancao,sanzione,0.3222222222222223
isento,gratuito,0.4444444444444444
tacito,tacito,0.0
etereo,etereo,0.0
buscar,ricerca,0.5777777777777777
mulher,donna,0.8400000000000001
cortes,cortese,0.022222222222222143
cobica,avidita,0.5888888888888888
mazela,malattia,0.3111111111111112
sisudo,serio,0.36
penhor,impegno,0.3222222222222223
eximir,esonerare,0.6
avidez,avidita,0.30000000000000016
receio,paura,0.6933333333333334
vulgar,volgare,0.1777777777777778
remoto,a distanza,0.7555555555555555
prazer,piacere,0.33333333333333337
fatico,effettivo,0.3555555555555556
quando,quando,0.0
sempre,mai,0.6666666666666667
nomade,non darmi,0.4666666666666668
asseio,pulizia,0.7
empatia,empatia,0.0
aurelio,aurelio,0.0
conjuge,sposa,0.72
embuste,truffa,0.711111111111111
excecao,eccezione,0.4095238095238096
carater,carattere,0.03809523809523818
efemero,effimero,0.1428571428571429
prolixo,prolisso,0.1428571428571429
verbete,iscrizione,0.638095238095238
idilico,idilliaco,0.03809523809523818
analogo,analogico,0.028571428571428692
genuino,genuino,0.0
estoria,storia,0.022222222222222143
sublime,sublime,0.0
familia,famiglia,0.01904761904761898
pesames,condoglianze,0.6666666666666667
inferir,dedurre,0.5047619047619047
apatico,apatico,0.0
sucinto,conciso,0.49523809523809526
acepcao,senso,0.56
redimir,riscattare,0.5142857142857143
astucia,astuzia,0.13333333333333341
prodigo,prodigo,0.0
cultura,cultura,0.0
audacia,audacia,0.0
estigma,stigma,0.022222222222222143
recesso,recesso,0.0
virtude,virtu,0.039999999999999925
refutar,confutare,0.2761904761904762
iconico,iconico,0.0
soberba,superbo,0.38095238095238093
cinismo,cinismo,0.0
estavel,stabile,0.38095238095238104
exortar,sollecitare,0.4190476190476191
morbido,morboso,0.24761904761904763
trivial,banale,0.5777777777777777
mitigar,mitigare,0.01904761904761898
sintese,sintesi,0.13333333333333341
aspecto,aspetto,0.13333333333333341
luxuria,lussuria,0.1428571428571429
cordial,amichevole,0.5238095238095238
sucesso,successo,0.01904761904761898
alegria,felicita,0.5047619047619049
imputar,imputare,0.01904761904761898
escoria,feccia,0.3222222222222223
emergir,emergere,0.1523809523809525
anatema,anatema,0.0
ademais,inoltre,0.7142857142857143
candura,candore,0.2666666666666667
deboche,dissolutezza,0.5523809523809524
orgulho,orgoglio,0.2761904761904762
excerto,estratto,0.38095238095238093
litigio,contenzioso,0.5428571428571429
almejar,bramare,0.38095238095238093
atraves,attraverso,0.05714285714285727
contudo,tuttavia,0.6095238095238096
frivolo,frivolo,0.0
coragem,coraggio,0.2571428571428571
saudade,desiderio,0.5142857142857143
oriundo,nativo,0.5777777777777777
alcunha,soprannome,0.638095238095238
ambiguo,ambiguo,0.0
salutar,sano,0.4833333333333334
austero,austero,0.0
escroto,scroto,0.022222222222222143
amizade,amicizia,0.2666666666666666
sensato,sensato,0.0
quimera,chimera,0.24761904761904763
ambicao,ambizione,0.2761904761904762
excesso,eccesso,0.13333333333333341
racismo,razzismo,0.1428571428571429
relacao,relazione,0.2761904761904762
fomento,promozione,0.5238095238095238
erudito,erudito,0.0
imersao,immersione,0.18095238095238098
modesto,modesto,0.0
parcial,parziale,0.1523809523809525
colosso,colosso,0.0
demanda,richiesta,0.6285714285714286
exotico,esotico,0.13333333333333341
conciso,conciso,0.0
ciencia,scienza,0.25714285714285723
piedade,pieta,0.2266666666666668
volatil,volatile,0.01904761904761898
notorio,famigerato,0.6285714285714286
bizarro,bizzarro,0.01904761904761898
isencao,esenzione,0.4095238095238096
vigente,attuale,0.6
padecer,soffrire,0.7238095238095238
hibrido,ibrido,0.022222222222222143
auferir,guadagnare,0.6285714285714286
intenso,intenso,0.0
inercia,inerzia,0.13333333333333341
emotivo,emotivo,0.0
ansioso,ansioso,0.0
despota,despota,0.0
sentido,senso,0.21333333333333337
limpido,chiaro,0.5888888888888889
profano,profano,0.0
difusao,diffusione,0.18095238095238098
inerente,inerente,0.0
respeito,rispetto,0.2333333333333334
peculiar,peculiare,0.016666666666666607
denegrir,denigrare,0.25
genocida,genocida,0.0
anuencia,consenso,0.55
deferido,differito,0.2416666666666667
equidade,equita,0.18888888888888888
prudente,prudente,0.0
pandemia,pandemia,0.0
iminente,imminente,0.016666666666666607
essencia,essenza,0.1428571428571429
misogino,misogino,0.0
desgraca,disgrazia,0.2416666666666667
invasivo,invasivo,0.0
alienado,alienato,0.1166666666666667
eminente,eminente,0.0
abstrato,astratto,0.1166666666666667
premissa,premessa,0.1166666666666667
extensao,estensione,0.2583333333333334
empirico,empirico,0.0
conceito,concetto,0.1166666666666667
talarico,talarico,0.0
ardiloso,astuzia,0.6095238095238096
ascensao,salita,0.5888888888888888
rapariga,ragazza,0.37142857142857144
reiterar,ribadire,0.44166666666666676
lascivia,lussuria,0.43333333333333335
devaneio,sognare ad occhi aperti,0.5833333333333333
relativo,parente,0.5142857142857143
prodigio,prodigio,0.0
passivel,accettabile,0.5666666666666667
conserto,riparazione,0.5583333333333333
gratidao,gratitudine,0.25
analogia,analogia,0.0
insercao,inserimento,0.24166666666666659
modestia,modestia,0.0
apologia,scuse,0.8666666666666667
ativista,attivista,0.016666666666666607
remissao,remissione,0.1416666666666666
inospito,inospitale,0.1333333333333333
destarte,percio,0.6111111111111112
mediocre,mediocre,0.0
monotono,monotono,0.0
despeito,dispetto,0.2333333333333334
fomentar,fomentare,0.016666666666666607
inefavel,ineffabile,0.25
respaldo,supporto,0.5333333333333334
retorica,retorica,0.0
concerne,preoccupazioni,0.5833333333333333
alicerce,fondazione,0.5583333333333333
sinonimo,sinonimo,0.0
proceder,procedere,0.016666666666666607
metodico,metodico,0.0
primazia,primato,0.2571428571428571
perfidia,perfidia,0.0
rechacar,rifiutare,0.5333333333333334
historia,storia,0.03333333333333344
portanto,percio,0.4666666666666667
demagogo,demagogo,0.0
complexo,complesso,0.125
consiste,consiste,0.0
criterio,criterio,0.0
notivago,notivago,0.0
distinto,distinto,0.0
espectro,spettro,0.1523809523809525
sucumbir,soccombere,0.375
abnegado,altruista,0.6333333333333333
amalgama,amalgama,0.0
desfecho,risultato,0.6416666666666666
singular,singolare,0.13333333333333341
suscitar,suscitare,0.016666666666666607
paradoxo,paradosso,0.125
escarnio,beffa,0.5733333333333334
contexto,contesto,0.1166666666666667
processo,processi,0.1166666666666667
elegivel,idoneo,0.6111111111111112
comunhao,comunione,0.2333333333333334
vocabulo,parola,0.6111111111111112
objetivo,obiettivo,0.1333333333333333
refletir,riflettere,0.2583333333333334
impavido,impavido,0.0
maestria,padronanza,0.5666666666666667
obstante,tuttavia,0.625
endemico,endemico,0.0
designio,progetto,0.6333333333333333
juridico,legale,0.8444444444444446
problema,problema,0.0
solicito,utile,0.7333333333333334
instigar,istigare,0.1166666666666667
incrivel,incredibile,0.25
epifania,epifania,0.0
redencao,redenzione,0.24166666666666659
mediante,attraverso,0.55
paralelo,parallelo,0.016666666666666607
insipido,insapore,0.3333333333333335
resoluto,risoluto,0.1166666666666667
imanente,immanente,0.016666666666666607
generico,generico,0.0
sanidade,sanita mentale,0.2833333333333332
perspicaz,perspicace,0.11111111111111116
reciproco,reciproco,0.0
concessao,concessione,0.12592592592592589
impressao,stampa,0.47777777777777775
escrupulo,scrupolo,0.13333333333333341
superfluo,superfluo,0.0
retificar,rettificare,0.02962962962962956
paradigma,paradigma,0.0
dicotomia,dicotomia,0.0
proposito,scopo,0.41333333333333333
presuncao,presunzione,0.21481481481481468
concepcao,progetto,0.5583333333333333
hipocrita,ipocrita,0.016666666666666607
ratificar,ratificare,0.014814814814814725
implicito,implicito,0.0
plenitude,pienezza,0.44166666666666676
essencial,essenziale,0.11851851851851858
hegemonia,egemonia,0.016666666666666607
corolario,corollario,0.014814814814814725
incidente,incidente,0.0
esdruxulo,strano,0.48888888888888893
altruismo,altruismo,0.0
vagabundo,vagabondo,0.10370370370370374
altruista,altruistico,0.11851851851851847
hermetico,ermetico,0.016666666666666607
aleatorio,casuale,0.49523809523809537
esperanca,speranza,0.13333333333333341
promiscuo,promiscuo,0.0
persuadir,persuadere,0.11851851851851858
confianca,fiducia,0.4
deliberar,deliberato,0.11111111111111116
sapiencia,sapienza,0.125
indelevel,indelebile,0.20740740740740748
demasiado,pure,0.7333333333333334
mesquinho,trascurabile,0.6074074074074074
diligente,diligente,0.0
impetuoso,impetuoso,0.0
descricao,descrizione,0.21481481481481468
regozijar,rallegrarsi,0.4
resignado,rassegnato,0.3037037037037038
inusitado,insolito,0.2333333333333334
eminencia,eminenza,0.125
compaixao,compassione,0.21481481481481468
prudencia,prudenza,0.125
pretensao,pretesa,0.03809523809523818
discricao,riservatezza,0.5185185185185186
analitico,analitico,0.0
explicito,esplicito,0.10370370370370374
ordinario,ordinario,0.0
percepcao,percezione,0.2962962962962963
exequivel,fattibile,0.6518518518518519
nostalgia,nostalgia,0.0
subjetivo,soggettivo,0.2962962962962963
autonomia,autonomia,0.0
autoctone,autoctono,0.10370370370370374
resolucao,risoluzione,0.31851851851851853
companhia,azienda,0.5142857142857143
desdenhar,disprezzo,0.5703703703703704
fidedigno,affidabile,0.4740740740740741
dissensao,dissenso,0.016666666666666607
expressao,espressione,0.22962962962962974
constante,costante,0.016666666666666607
supressao,soppressione,0.23703703703703694
taciturno,taciturno,0.0
imparcial,imparziale,0.11851851851851858
autentico,autentico,0.0
paciencia,pazienza,0.2416666666666667
ignorante,ignorante,0.0
arrogante,arrogante,0.0
execravel,esecrabile,0.311111111111111
outrossim,altrimenti,0.4814814814814815
discorrer,discorso,0.22499999999999998
restricao,restrizione,0.21481481481481468
desumilde,umiliante,0.3777777777777779
obstinado,ostinato,0.13333333333333341
consoante,consonante,0.014814814814814725
jactancia,vantarsi,0.4666666666666667
arcabouco,struttura,0.6518518518518519
cognitivo,cognitivo,0.0
adjacente,adiacente,0.10370370370370374
eloquente,eloquente,0.0
instancia,esempio,0.6476190476190476
interesse,interesse,0.0
limitrofe,borderline,0.5629629629629629
sintetico,sintetico,0.0
iminencia,imminenza,0.19999999999999996
submissao,sottomissione,0.33333333333333337
pressagio,presagio,0.016666666666666607
relevante,pertinente,0.3851851851851852
irascivel,irascibile,0.20740740740740748
empecilho,ostacolo,0.55
excelente,grande,0.6111111111111112
liberdade,liberta,0.16190476190476188
ludibriar,ingannare,0.5555555555555556
aquisicao,acquisizione,0.22962962962962963
ambicioso,ambizioso,0.10370370370370374
plausivel,plausibile,0.20740740740740748
humildade,umilta,0.21111111111111114
conviccao,convinzione,0.3037037037037036
primicias,primizie,0.2416666666666667
dicionario,dizionario,0.09333333333333338
intrinseco,intrinseco,0.0
prescindir,fare senza,0.5266666666666666
presuncoso,presuntuoso,0.09999999999999998
diligencia,diligenza,0.11111111111111116
corroborar,corroborare,0.013333333333333308
intemperie,tempo atmosferico,0.31333333333333335
detrimento,danno,0.42666666666666664
maturidade,scadenza,0.5416666666666667
parcimonia,parsimonia,0.09333333333333338
referencia,riferimento,0.36
inspiracao,ispirazione,0.2733333333333333
inexoravel,inesorabile,0.2799999999999999
pragmatico,pragmatico,0.0
prepotente,arrogante,0.4
incipiente,nascente,0.2416666666666667
disruptivo,dirompente,0.44000000000000006
sororidade,sorellanza,0.4933333333333334
serenidade,serenita,0.1416666666666666
arbitrario,arbitrario,0.0
indulgente,indulgente,0.0
auspicioso,di buon auspicio,0.21333333333333326
iniquidade,iniquita,0.1416666666666666
pertinente,pertinente,0.0
sagacidade,spirito,0.638095238095238
resignacao,dimissioni,0.5866666666666667
hipocrisia,ipocrisia,0.014814814814814725
preconizar,avvocato,0.6499999999999999
precedente,precedente,0.0
vislumbrar,occhiata,0.6583333333333334
incidencia,incidenza,0.11111111111111116
lisonjeado,lusingato,0.40740740740740744
suscetivel,suscettibile,0.19333333333333325
entretanto,cio nonostante,0.4666666666666667
disposicao,disposizione,0.19333333333333325
excentrico,eccentrico,0.09333333333333338
subestimar,sottovalutare,0.44666666666666666
preliminar,preliminare,0.013333333333333308
tribulacao,tribolazione,0.28666666666666674
depreender,dedurre,0.40000000000000013
fleumatico,flemmatico,0.09333333333333338
anacronico,anacronistico,0.026666666666666616
equivocado,sbagliato,0.5777777777777777
escrutinio,scrutinio,0.014814814814814725
retrogrado,retrogrado,0.0
indolencia,indolenza,0.11111111111111116
excelencia,eccellenza,0.27333333333333343
ingerencia,interferenza,0.2799999999999999
democracia,democrazia,0.09333333333333338
infortunio,sfortuna,0.25
compassivo,compassionevole,0.04666666666666652
contemplar,contemplare,0.013333333333333308
importante,importante,0.0
pejorativo,peggiorativo,0.10666666666666669
restringir,limitare,0.5666666666666667
sintetizar,sintetizzare,0.026666666666666616
proposicao,proposizione,0.19333333333333325
signatario,firmatario,0.2666666666666667
primordial,primordiale,0.013333333333333308
conjuntura,situazione,0.5866666666666667
coercitivo,coercitivo,0.0
dissolucao,risoluzione,0.3666666666666667
intrinseca,intrinseco,0.09333333333333327
subjacente,sottostante,0.42666666666666664
finalidade,obiettivo,0.6592592592592592
itinerario,itinerario,0.0
esplendido,splendida,0.11851851851851858
alteridade,alterita,0.1416666666666666
pecuniaria,pecuniario,0.09333333333333327
espontaneo,spontaneo,0.014814814814814725
designacao,designazione,0.19333333333333325
transeunte,passante,0.3583333333333334
necessario,necessario,0.0
constancia,costanza,0.1416666666666666
sarcastico,sarcastico,0.0
pusilanime,pusilC/nime,0.09999999999999998
idoneidade,adeguatezza,0.54
privilegio,privilegio,0.0
desprovido,privo,0.2799999999999999
verossimil,credibile,0.5037037037037038
pernostico,pernostico,0.0
exacerbado,esasperato,0.3666666666666667
felicidade,felicita,0.1416666666666666
relevancia,pertinenza,0.5133333333333334
divergente,divergente,0.0
disciplina,disciplina,0.0
inferencia,inferenza,0.11111111111111116
pernicioso,pernicioso,0.0
disseminar,diffondere,0.5066666666666667
satisfacao,soddisfazione,0.3733333333333334
meticuloso,meticoloso,0.09333333333333338
reverberar,riverberare,0.10666666666666669
esporadico,sporadico,0.014814814814814725
influencia,influenza,0.11111111111111116
militancia,militanza,0.11111111111111116
retumbante,clamoroso,0.7407407407407407
consolidar,consolidare,0.013333333333333308
fornicacao,fornicazione,0.19333333333333325
subversivo,sovversivo,0.17333333333333334
significado,senso,0.45333333333333337
perspectiva,prospettiva,0.1696969696969698
resiliencia,resilienza,0.09999999999999998
dissimulado,mascherato,0.5933333333333334
vicissitude,vicenda,0.40000000000000013
complacente,compiacente,0.08484848484848484
contundente,smussare,0.6583333333333334
peremptorio,perentorio,0.09999999999999998
comorbidade,comorbilita,0.23636363636363633
compreensao,comprensione,0.17575757575757578
perspicacia,intuizione,0.6799999999999999
expectativa,aspettativa,0.24242424242424243
pressuposto,assunzione,0.52
beneplacito,beneplacito,0.0
subterfugio,sotterfugio,0.1575757575757576
preconceito,pregiudizio,0.4545454545454547
experiencia,esperienza,0.19333333333333336
indiferente,indifferente,0.012121212121212088
consonancia,consonanza,0.09999999999999998
pretensioso,pretenzioso,0.08484848484848484
transcender,trascendere,0.08484848484848473
imensuravel,incommensurabile,0.20000000000000007
intensidade,intensita,0.12592592592592589
contingente,quota,0.6266666666666667
beligerante,belligerante,0.012121212121212088
proeminente,prominente,0.013333333333333308
necessidade,bisogno,0.7523809523809524
superficial,superficiale,0.012121212121212088
concernente,riguardante,0.5272727272727273
benignidade,gentilezza,0.5266666666666666
contencioso,contenzioso,0.08484848484848484
inenarravel,indicibile,0.5800000000000001
animosidade,animosita,0.12592592592592589
intervencao,intervento,0.09999999999999998
incumbencia,compito,0.5619047619047619
vocabulario,vocabolario,0.08484848484848484
antagonismo,antagonismo,0.0
cumprimento,saluto,0.48888888888888893
resistencia,resistenza,0.09999999999999998
indiferenca,indifferenza,0.09696969696969682
reivindicar,reclamo,0.4190476190476191
compreender,capire,0.3666666666666667
supracitado,suddetto,0.44166666666666676
subsequente,successivo,0.5866666666666667
estereotipo,stereotipo,0.013333333333333308
integridade,integrita,0.12592592592592589
diversidade,diversita,0.12592592592592589
ambiguidade,ambiguita,0.12592592592592589
deliberacao,pubblicazione,0.47878787878787876
especulacao,speculazione,0.24848484848484842
indulgencia,indulgenza,0.09999999999999998
proveniente,originario,0.6066666666666667
divergencia,divergenza,0.09999999999999998
elucubracao,elucubrazione,0.17575757575757567
indubitavel,indubitabile,0.16969696969696968
austeridade,austerita,0.12592592592592589
prognostico,prognosi,0.04166666666666663
importancia,importanza,0.09999999999999998
heterogeneo,eterogeneo,0.013333333333333308
tergiversar,cavillare,0.5851851851851853
