it,ro,Alignment Score
se stesso,de sine,0.4095238095238096
dietro,in spate,0.5888888888888889
dolce,dulce,0.18666666666666676
voga,voga,0.0
presto,curand,0.7111111111111111
dove,unde,0.43333333333333335
brina,bruma,0.34666666666666657
dio,dumnezeu,0.6888888888888889
per il,pentru,0.43333333333333335
prima,inainte de,0.6
presto,din timp,0.7111111111111111
giogo,jug,0.6222222222222222
abbastanza,destul de,0.6592592592592592
arte,arta,0.2333333333333334
anima,suflet,0.8400000000000001
obiettivo,poarta,0.6222222222222222
di chi,a caror,0.5888888888888888
sella,sa,0.1333333333333333
porta,aduce,0.6666666666666667
in,in,0.0
cellula,celula,0.022222222222222143
contenuto,continut,0.13333333333333341
stato,fost,0.45000000000000007
noia,noia,0.0
viso,fata,0.8333333333333334
disgusto,dezgust,0.2666666666666666
disgusto,dezgust,0.2666666666666666
bersaglio,tinta,0.7333333333333334
messa a fuoco,se concentreze,0.5846153846153846
quello,acea,0.7
posa,poza,0.2333333333333334
uscire,a iesi afara,0.5333333333333333
base,baza,0.43333333333333335
ok,bine,0.9333333333333333
odio,ura,0.8666666666666667
atto,act,0.33333333333333337
lui aveva,el a avut,0.4814814814814815
alto,inalt,0.25
tutto,toate,0.5066666666666666
tempo libero,agrement,0.575
rito,rit,0.04444444444444451
cavolo,naiba,0.6933333333333334
volere,voi,0.37777777777777777
nuovo,nou,0.3555555555555555
agile,agil,0.033333333333333326
alba,zorii,0.85
tesi,teza,0.43333333333333335
alto,inalt,0.25
rigonfiamento,umflatura,0.6148148148148148
nesso,legatura,0.7333333333333334
costa,tarm,0.45000000000000007
sagace,sagace,0.0
nucleo,miez,0.7
nero,negru,0.2666666666666667
termine,termen,0.16666666666666674
successo,succes,0.03333333333333344
mescolare,a amesteca,0.3925925925925926
nobile,nobil,0.026666666666666727
senso,sens,0.033333333333333326
affetto,afectiune,0.40000000000000013
boia,calau,0.6666666666666667
etica,etica,0.0
pieno,deplin,0.3866666666666667
reciproco,reciproc,0.016666666666666607
tenue,tenue,0.0
fare,a face,0.2833333333333333
come questo,ca aceasta,0.45333333333333337
impercettibile,subtil,0.5333333333333333
forza,forta,0.18666666666666676
qui,aici,0.6000000000000001
tuttavia,in orice caz,0.6583333333333334
sezione,sectiune,0.2761904761904762
erano,au fost,0.56
guarire,vindeca,0.6190476190476191
energia,putere,0.5888888888888888
audace,indraznet,0.5
idea,idee,0.2333333333333334
nucleo,miez,0.7
innato,innascut,0.1777777777777778
morale,morala,0.15555555555555556
di,despre,0.6000000000000001
da,de cand,0.2333333333333334
molto,foarte,0.5733333333333334
giusto,corect,0.7
onore,onora,0.18666666666666676
forse,poate,0.5333333333333333
goffo,neindemanatic,0.9333333333333333
sogno,vis,0.6222222222222222
motivo,motiv,0.026666666666666727
inutile,zadarnic,0.6285714285714286
etnia,etnie,0.18666666666666676
icona,pictograma,0.28
attaccamento,atasament,0.14074074074074094
amico,prieten,0.72
egida,egida,0.0
tangente,tange,0.05333333333333323
periodo,interval,0.6190476190476191
essere,fi,1.0
esporre,expune,0.4555555555555555
reciproco,reciproc,0.016666666666666607
dengo,dengo,0.0
tempo,timp,0.2666666666666667
coppia,cuplu,0.5466666666666666
poi,apoi,0.04444444444444451
abile,abil,0.033333333333333326
raccolto,recolta,0.2761904761904762
bocal,bocal,0.0
stratagemma,siretlic,0.5666666666666667
vivere,trai,0.6833333333333333
pesare,a cantari,0.6111111111111112
sapere,a sti,0.6933333333333334
causa,cauza,0.18666666666666676
adornare,gratie,0.47777777777777786
dire,a zice,0.5
genere,gen,0.08888888888888902
ostacolo,obstacol,0.1166666666666667
possesso,detinere,0.7250000000000001
cucire,a coase,0.5777777777777777
paria,paria,0.0
dovere,datorie,0.3111111111111112
gridare,strigat,0.5142857142857143
tenace,tenace,0.0
prole,descendenti,0.76
setaccio,sita,0.31666666666666676
essendo,fiind,0.5466666666666666
gufo,bufnita,0.5166666666666666
comune,uzual,0.6933333333333334
paura,frica,0.52
tiene,tine,0.033333333333333326
ancora,inca,0.2833333333333333
allegria,ridica moralul,0.575
apice,apex,0.25
entusiasmo,nerabdare,0.6666666666666667
far passare,ceda,0.7666666666666666
essere,fi,1.0
degno,vrednic,0.56
programma,programa,0.016666666666666607
bello,frumos,0.6933333333333334
xibiu,xibiu,0.0
culto,cult,0.033333333333333326
mondo,lume,0.6666666666666667
atroce,atroce,0.0
fugace,trecatoare,0.6111111111111112
censimento,recensamant,0.28666666666666674
terra,teren,0.3466666666666668
forte,puternic,0.56
dipendenza,dependenta,0.18666666666666676
ovvero,aka,0.9111111111111111
cottura al forno,coace,0.5066666666666668
di valore,in valoare de,0.14814814814814814
denso,dens,0.033333333333333326
tranne,cu exceptia,0.6333333333333333
cinico,cinic,0.026666666666666727
adatto,potrivit,0.6000000000000001
scopo,domeniul de aplicare,0.7466666666666667
non(c)membro,nu(c)membre,0.17575757575757567
natura,natura,0.0
signore,domnule,0.6095238095238096
sentiero,cale,0.7166666666666667
periodo d'oro,ziua de glorie,0.5384615384615384
innocuo,inofensiv,0.49523809523809537
abiti,costume,0.72
utopia,utopie,0.15555555555555556
sadico,sadic,0.026666666666666727
scopo,domeniul de aplicare,0.7466666666666667
enfasi,accent,0.5666666666666667
idiota,idiot,0.026666666666666727
casuale,casual,0.022222222222222143
merito,merit,0.026666666666666727
allusione,aluzie,0.21111111111111114
ostile,ostil,0.026666666666666727
desiderio,dori,0.33333333333333337
scettico,sceptic,0.1523809523809525
eredita,mostenire,0.5047619047619049
dritto,drept,0.3733333333333334
fretta,graba,0.5466666666666666
gentile,bland,0.72
alieno,strain,0.4444444444444444
dannoso,daunatoare,0.4095238095238096
infame,infam,0.026666666666666727
cliche,cliseu,0.30000000000000016
passione,pasiune,0.1523809523809525
eccellente,excelent,0.15000000000000002
affabile,afabil,0.04444444444444451
definire,defini,0.03333333333333344
ornamento,podoaba,0.6285714285714286
regalo,cadou,0.56
estasi,extaz,0.3866666666666667
sobrio,sobru,0.19999999999999996
appartenenza,calitatea de membru,0.538888888888889
munchies,gustari,0.6190476190476191
valutare,evalua,0.18888888888888888
astuzia,viclean,0.6095238095238096
pure,de asemenea,0.7666666666666667
ventosa,fraier,0.711111111111111
sessione,sesiune,0.1523809523809525
soglia,prag,0.6833333333333333
solenne,solemn,0.16666666666666663
giudicare,a judeca,0.45000000000000007
gloria,glorie,0.15555555555555556
labaro,labaro,0.0
formale,formal,0.022222222222222143
abitudine,obicei,0.48888888888888893
apprezzamento,apreciere,0.41481481481481497
sebbene,cu toate ca,0.7523809523809525
opportunita,oportunitate,0.09090909090909083
quantita di moto,impuls,0.6888888888888889
qualcun altro,altcineva,0.4370370370370371
efficace,efectiv,0.4857142857142859
oziare,inactiv,0.5888888888888888
giubilo,jubilare,0.39047619047619053
smaltire,dispune,0.6095238095238096
diffondere,difuz,0.41333333333333344
respiro,suflare,0.5904761904761905
sempreverde,vesnic verde,0.38787878787878793
sfumatura,nuanta,0.3555555555555556
fazione,factiune,0.2761904761904762
scusa,scuza,0.18666666666666676
esilio,exil,0.28333333333333355
incarico,misiune,0.6190476190476191
giocoso,jucaus,0.6000000000000001
astenersi,se abtine,0.4740740740740741
inferenza,deducere,0.5333333333333334
giurisdizione,jurisdictie,0.2606060606060606
oggetto,obiect,0.4555555555555555
accesso,acces,0.039999999999999925
accento,accent,0.022222222222222143
desiderio,dorinta,0.5142857142857143
assioma,axioma,0.16666666666666663
sanzione,sanctiune,0.2416666666666667
gratuito,gratuit,0.01904761904761898
tacito,tacit,0.026666666666666727
etereo,eteric,0.288888888888889
ricerca,cautare,0.5904761904761905
donna,femeie,0.8400000000000001
cortese,politicos,0.5047619047619047
avidita,lacomie,0.6190476190476191
malattia,boala,0.4
serio,serios,0.026666666666666727
impegno,angajament,0.5428571428571429
esonerare,scuti,0.7333333333333334
avidita,lacomie,0.6190476190476191
paura,frica,0.52
volgare,vulgar,0.1777777777777778
a distanza,la distanta,0.1066666666666668
piacere,placere,0.13333333333333341
effettivo,faptice,0.5238095238095238
quando,cand,0.2833333333333333
mai,vreodata,0.711111111111111
non darmi,nu-mi da,0.43333333333333335
pulizia,curatenie,0.638095238095238
empatia,empatie,0.13333333333333341
aurelio,aurelio,0.0
sposa,sotie,0.52
truffa,inselatorie,0.6333333333333333
eccezione,exceptie,0.3500000000000001
carattere,caracter,0.13333333333333341
effimero,efemer,0.18888888888888888
prolisso,prelungit,0.45000000000000007
iscrizione,intrare,0.5047619047619047
idilliaco,idilic,0.06666666666666687
analogico,analogic,0.016666666666666607
genuino,autentic,0.5238095238095238
storia,poveste,0.5777777777777777
sublime,sublim,0.022222222222222143
famiglia,familie,0.1523809523809525
condoglianze,condoleante,0.18181818181818177
dedurre,deduce,0.16666666666666663
apatico,apatic,0.022222222222222143
conciso,succint,0.49523809523809526
senso,sens,0.033333333333333326
riscattare,a rascumpara,0.4600000000000002
astuzia,viclean,0.6095238095238096
prodigo,risipitor,0.5238095238095238
cultura,cultura,0.0
audacia,indrazneala,0.5428571428571429
stigma,stigmatizarea,0.08888888888888857
recesso,pauza,0.8533333333333334
virtu,virtute,0.039999999999999925
confutare,respinge,0.625
iconico,simbolic,0.4095238095238096
superbo,superb,0.022222222222222143
cinismo,cinism,0.022222222222222143
stabile,grajd,0.72
sollecitare,indemn,0.6333333333333333
morboso,morbid,0.30000000000000016
banale,banal,0.026666666666666727
mitigare,atenua,0.6
sintesi,sinteza,0.24761904761904763
aspetto,aspect,0.16666666666666663
lussuria,pofta,0.7066666666666668
amichevole,prietenos,0.5851851851851853
successo,succes,0.03333333333333344
felicita,fericire,0.33333333333333337
imputare,imputa,0.03333333333333344
feccia,gunoi,0.6933333333333334
emergere,apar,0.7166666666666667
anatema,anatema,0.0
inoltre,in plus,0.49523809523809526
candore,candoare,0.01904761904761898
dissolutezza,depravare,0.5851851851851853
orgoglio,mandrie,0.6285714285714286
estratto,extras,0.3333333333333335
contenzioso,litigii,0.6571428571428573
bramare,a pofti,0.7142857142857143
attraverso,prin,0.7666666666666667
tuttavia,in orice caz,0.6583333333333334
frivolo,frivol,0.022222222222222143
coraggio,curaj,0.41333333333333344
desiderio,dor,0.4444444444444444
nativo,nativ,0.026666666666666727
soprannome,porecla,0.5238095238095238
ambiguo,ambiguu,0.13333333333333341
sano,sanatos,0.08333333333333337
austero,auster,0.022222222222222143
scroto,scrot,0.026666666666666727
amicizia,prietenie,0.6583333333333334
sensato,sensibil,0.37142857142857144
chimera,himera,0.022222222222222143
ambizione,ambitie,0.16190476190476188
eccesso,exces,0.2266666666666668
razzismo,rasism,0.18888888888888888
relazione,relatie,0.16190476190476188
promozione,promovare,0.28888888888888875
erudito,erudit,0.022222222222222143
immersione,imersiune,0.11851851851851858
modesto,modest,0.022222222222222143
parziale,partial,0.1523809523809525
colosso,colos,0.039999999999999925
richiesta,cerere,0.6000000000000001
esotico,exotic,0.1777777777777778
conciso,concis,0.022222222222222143
scienza,stiinta,0.39047619047619053
pieta,pietate,0.039999999999999925
volatile,volatil,0.01904761904761898
famigerato,notoriu,0.6285714285714286
bizzarro,bizar,0.06666666666666665
esenzione,scutire,0.5238095238095238
attuale,actual,0.1777777777777778
soffrire,suferi,0.33333333333333337
ibrido,hibrid,0.15555555555555556
guadagnare,castiga,0.5333333333333334
intenso,intens,0.022222222222222143
inerzia,inertie,0.2666666666666667
emotivo,emotional,0.1523809523809524
ansioso,nerabdator,0.638095238095238
despota,despot,0.022222222222222143
senso,sens,0.033333333333333326
chiaro,clar,0.2833333333333333
profano,profan,0.022222222222222143
diffusione,difuziune,0.2222222222222222
inerente,inerent,0.01904761904761898
rispetto,respect,0.2761904761904762
peculiare,ciudat,0.48888888888888893
denigrare,denigra,0.028571428571428692
genocida,genocid,0.01904761904761898
consenso,consimtamant,0.3666666666666667
differito,amanata,0.7428571428571429
equita,capitaluri proprii,0.5666666666666667
prudente,prudent,0.01904761904761898
pandemia,pandemic,0.1166666666666667
imminente,iminent,0.03809523809523818
essenza,esenta,0.1777777777777778
misogino,misogin,0.01904761904761898
disgrazia,rusine,0.6222222222222222
invasivo,invaziv,0.1523809523809525
alienato,instrainat,0.35
eminente,eminent,0.01904761904761898
astratto,abstract,0.22499999999999998
premessa,premisa,0.1428571428571429
estensione,extensie,0.1416666666666666
empirico,empiric,0.01904761904761898
concetto,concept,0.1428571428571429
talarico,talaric,0.01904761904761898
astuzia,viclean,0.6095238095238096
salita,crestere,0.6000000000000001
ragazza,fata,0.5166666666666666
ribadire,reitereaza,0.45000000000000007
lussuria,pofta,0.7066666666666668
sognare ad occhi aperti,visarea cu ochii deschisi,0.38550724637681144
parente,relativ,0.5047619047619047
prodigio,minune,0.7333333333333334
accettabile,acceptabil,0.10666666666666669
riparazione,reparatie,0.22962962962962974
gratitudine,recunostinta,0.5515151515151515
analogia,analogie,0.1166666666666667
inserimento,inserare,0.25
modestia,modestie,0.1166666666666667
scuse,scuze,0.18666666666666676
attivista,activist,0.13333333333333341
remissione,iertare,0.6190476190476191
inospitale,neospitalier,0.12
percio,prin urmare,0.5000000000000001
mediocre,mediocru,0.1166666666666667
monotono,monoton,0.01904761904761898
dispetto,ciuda,0.72
fomentare,fomenteaza,0.19999999999999996
ineffabile,inefabil,0.033333333333333326
supporto,a sustine,0.55
retorica,retorica,0.0
preoccupazioni,preocupari,0.1266666666666666
fondazione,fundatie,0.2583333333333334
sinonimo,sinonim,0.01904761904761898
procedere,continua,0.7333333333333334
metodico,metodic,0.01904761904761898
primato,primatul,0.1428571428571429
perfidia,perfidie,0.1166666666666667
rifiutare,respinge,0.5333333333333334
storia,istorie,0.1777777777777778
percio,prin urmare,0.5000000000000001
demagogo,demagog,0.01904761904761898
complesso,complex,0.1523809523809524
consiste,consta,0.188888888888889
criterio,criteriu,0.1166666666666667
notivago,nuivago,0.1428571428571429
distinto,distinct,0.1166666666666667
spettro,spectru,0.2666666666666667
soccombere,sucomba,0.2952380952380952
altruista,altruista,0.0
amalgama,amalgam,0.01904761904761898
risultato,rezultat,0.2333333333333334
singolare,singular,0.13333333333333341
suscitare,trezi,0.41333333333333333
paradosso,paradox,0.1523809523809524
beffa,bataie de joc,0.6133333333333333
contesto,context,0.1523809523809525
processi,proces,0.03333333333333344
idoneo,eligibil,0.7222222222222222
comunione,comuniune,0.10370370370370374
parola,cuvant,0.7
obiettivo,poarta,0.6222222222222222
riflettere,reflectati,0.36
impavido,neinfricat,0.6583333333333334
padronanza,maiestrie,0.674074074074074
tuttavia,cu toate acestea,0.42500000000000004
endemico,endemice,0.1166666666666667
progetto,proiecta,0.3416666666666667
legale,legale,0.0
problema,problema,0.0
utile,util,0.033333333333333326
istigare,instiga,0.1428571428571429
incredibile,incredibil,0.013333333333333308
epifania,epifanie,0.1166666666666667
redenzione,rascumparare,0.6666666666666667
attraverso,prin,0.7666666666666667
parallelo,paralel,0.03809523809523818
insapore,lipsit de gust,0.5916666666666666
risoluto,hotarat,0.6190476190476191
immanente,imanent,0.03809523809523818
generico,generic,0.01904761904761898
sanita mentale,sanatate psihica,0.43333333333333324
perspicace,profund,0.6285714285714286
reciproco,reciproc,0.016666666666666607
concessione,concesiune,0.1066666666666668
stampa,imprimare,0.47777777777777775
scrupolo,scrupul,0.1523809523809525
superfluo,de prisos,0.5777777777777777
rettificare,rectifica,0.12592592592592589
paradigma,paradigma,0.0
dicotomia,dihotomie,0.20740740740740748
scopo,scop,0.033333333333333326
presunzione,prezumtie,0.3037037037037038
progetto,proiecta,0.3416666666666667
ipocrita,ipocrit,0.01904761904761898
ratificare,ratifica,0.025000000000000022
implicito,implicit,0.016666666666666607
pienezza,plenitudine,0.45000000000000007
essenziale,esential,0.15000000000000002
egemonia,hegemonie,0.13333333333333341
corollario,corolar,0.04761904761904767
incidente,incident,0.016666666666666607
strano,ciudat,0.7
altruismo,altruism,0.016666666666666607
vagabondo,vagabond,0.016666666666666607
altruistico,altruist,0.033333333333333215
ermetico,ermetic,0.01904761904761898
casuale,aleatoriu,0.49523809523809537
speranza,speranta,0.1166666666666667
promiscuo,promiscuu,0.10370370370370374
persuadere,convinge,0.7333333333333334
fiducia,incredere,0.6285714285714286
deliberato,delibera,0.025000000000000022
sapienza,intelepciune,0.575
indelebile,de nesters,0.52
pure,de asemenea,0.7666666666666667
trascurabile,mic,0.8
diligente,harnic,0.7444444444444445
impetuoso,impetuos,0.016666666666666607
descrizione,descriere,0.20740740740740737
rallegrarsi,bucura,0.6111111111111112
rassegnato,demisionat,0.5133333333333334
insolito,neobisnuit,0.45833333333333337
eminenza,eminenta,0.1166666666666667
compassione,compasiune,0.1066666666666668
prudenza,prudenta,0.1166666666666667
pretesa,pretensionare,0.08571428571428563
riservatezza,discretie,0.4222222222222223
analitico,analitic,0.016666666666666607
esplicito,explicit,0.13333333333333341
ordinario,comun,0.5866666666666667
percezione,perceptie,0.20740740740740748
fattibile,fezabil,0.2761904761904762
nostalgia,nostalgie,0.10370370370370374
soggettivo,subiectiv,0.4
autonomia,autonomie,0.10370370370370374
autoctono,autohton,0.13333333333333341
risoluzione,rezolutie,0.31851851851851853
azienda,companie,0.5047619047619049
disprezzo,dispret,0.1523809523809524
affidabile,demn de incredere,0.64
dissenso,disensiuni,0.24166666666666659
espressione,expresie,0.15833333333333333
costante,constant,0.1166666666666667
soppressione,suprimare,0.41481481481481497
taciturno,taciturn,0.016666666666666607
imparziale,impartial,0.11851851851851858
autentico,autentic,0.016666666666666607
pazienza,rabdare,0.6285714285714286
ignorante,ignorant,0.016666666666666607
arrogante,arogant,0.03809523809523818
esecrabile,execrabil,0.11851851851851858
altrimenti,in caz contrar,0.62
discorso,discurs,0.1523809523809525
restrizione,restrictie,0.18666666666666676
umiliante,injositoare,0.48888888888888893
ostinato,incapatanat,0.45000000000000007
consonante,consoana,0.1333333333333333
vantarsi,lauda,0.5866666666666667
struttura,cadru,0.5733333333333333
cognitivo,cognitive,0.10370370370370374
adiacente,adiacent,0.016666666666666607
eloquente,elocvent,0.2333333333333334
esempio,instanta,0.7238095238095238
interesse,interes,0.028571428571428692
borderline,la limita,0.6592592592592592
sintetico,sintetic,0.016666666666666607
imminenza,iminenta,0.13333333333333341
sottomissione,supunere,0.5666666666666667
presagio,augur,0.5733333333333334
pertinente,relevante,0.3851851851851852
irascibile,irascibil,0.014814814814814725
ostacolo,impiedicare,0.7583333333333334
grande,grozav,0.43333333333333335
liberta,libertate,0.028571428571428692
ingannare,insela,0.4666666666666667
acquisizione,achizitie,0.31851851851851853
ambizioso,ambitios,0.13333333333333341
plausibile,plauzibil,0.11851851851851858
umilta,umilinta,0.03333333333333344
convinzione,condamnare,0.42666666666666686
primizie,primele fructe,0.3666666666666666
dizionario,dictionar,0.20740740740740748
intrinseco,intrinsec,0.014814814814814725
fare senza,fa fara,0.39047619047619053
presuntuoso,prezumtios,0.29333333333333345
diligenza,diligenta,0.10370370370370374
corroborare,coroboreaza,0.23636363636363633
tempo atmosferico,vreme,0.5333333333333333
danno,in detriment,0.64
scadenza,maturitate,0.6583333333333334
parsimonia,parcimonie,0.18666666666666676
riferimento,referinta,0.22962962962962974
ispirazione,inspiratie,0.19333333333333336
inesorabile,inexorabil,0.10666666666666669
pragmatico,pragmatic,0.014814814814814725
arrogante,arogant,0.03809523809523818
nascente,incipient,0.3416666666666667
dirompente,perturbatoare,0.5266666666666666
sorellanza,sorority,0.5333333333333334
serenita,seninatate,0.24166666666666659
arbitrario,arbitrar,0.025000000000000022
indulgente,indulgent,0.014814814814814725
di buon auspicio,de bun augur,0.31666666666666665
iniquita,nelegiuirea,0.3666666666666667
pertinente,relevante,0.3851851851851852
spirito,spirit,0.022222222222222143
dimissioni,demisie,0.2952380952380953
ipocrisia,ipocrizie,0.20740740740740748
avvocato,avocat,0.04444444444444451
precedente,precedent,0.014814814814814725
occhiata,o privire,0.6416666666666666
incidenza,incidenta,0.10370370370370374
lusingato,flatat,0.47777777777777775
suscettibile,susceptibil,0.09696969696969693
cio nonostante,cu toate acestea,0.4571428571428572
disposizione,dispozitie,0.19333333333333325
eccentrico,excentric,0.11851851851851858
sottovalutare,subestima,0.5037037037037038
preliminare,preliminar,0.013333333333333308
tribolazione,necazul,0.638095238095238
dedurre,deduce,0.16666666666666663
flemmatico,flegmatic,0.11851851851851858
anacronistico,anacronic,0.04444444444444429
sbagliato,gresit,0.47777777777777775
scrutinio,examinare,0.6518518518518519
retrogrado,retrograd,0.014814814814814725
indolenza,indolenta,0.10370370370370374
eccellenza,excelenta,0.2222222222222222
interferenza,interferenta,0.07777777777777772
democrazia,democratie,0.18666666666666676
sfortuna,ghinion,0.6190476190476191
compassionevole,milos,0.52
contemplare,contempla,0.022222222222222143
importante,important,0.014814814814814725
peggiorativo,peiorativ,0.03703703703703709
limitare,restrange,0.5416666666666667
sintetizzare,sintetiza,0.03703703703703687
proposizione,propozitie,0.19333333333333325
firmatario,semnatar,0.3500000000000001
primordiale,primordial,0.013333333333333308
situazione,situatie,0.1416666666666666
coercitivo,coercitiv,0.014814814814814725
risoluzione,rezolutie,0.31851851851851853
intrinseco,intrinsec,0.014814814814814725
sottostante,subiacent,0.4888888888888888
obiettivo,poarta,0.6222222222222222
itinerario,itinerar,0.025000000000000022
splendida,splendid,0.016666666666666607
alterita,alteritate,0.025000000000000022
pecuniario,pecuniara,0.11111111111111116
spontaneo,spontan,0.028571428571428692
designazione,desemnare,0.31851851851851853
passante,trecator,0.625
necessario,necesar,0.04761904761904767
costanza,constanta,0.13333333333333341
sarcastico,sarcastic,0.014814814814814725
pusilC/nime,pusilC/nime,0.0
adeguatezza,adecvarea,0.31851851851851853
privilegio,privilegiu,0.09333333333333327
privo,lipsit,0.56
credibile,credibil,0.016666666666666607
pernostico,pernostic,0.014814814814814725
esasperato,exacerbata,0.3666666666666667
felicita,fericire,0.33333333333333337
pertinenza,relevanta,0.4888888888888888
divergente,divergente,0.0
disciplina,disciplina,0.0
inferenza,deducere,0.5333333333333334
pernicioso,pernicios,0.014814814814814725
diffondere,diseminati,0.5800000000000001
soddisfazione,satisfactie,0.33333333333333337
meticoloso,meticulos,0.11851851851851858
riverberare,reverbera,0.12592592592592589
sporadico,sporadic,0.016666666666666607
influenza,influenta,0.10370370370370374
militanza,militantism,0.20740740740740737
clamoroso,rasunator,0.5703703703703704
consolidare,consolida,0.022222222222222143
fornicazione,curvie,0.5111111111111111
sovversivo,subversiv,0.20740740740740748
senso,sens,0.033333333333333326
prospettiva,perspectiva,0.1696969696969698
resilienza,rezistenta,0.3533333333333334
mascherato,deghizat,0.5583333333333333
vicenda,vicisitudine,0.4095238095238096
compiacente,multumit,0.5666666666666667
smussare,bont,0.9
perentorio,peremptorie,0.19333333333333336
comorbilita,comorbiditate,0.10303030303030303
comprensione,intelegere,0.5933333333333334
intuizione,perspicacitate,0.6133333333333333
aspettativa,asteptare,0.3999999999999999
assunzione,presupunere,0.52
beneplacito,beneplacito,0.0
sotterfugio,subterfugiu,0.24242424242424243
pregiudizio,prejudecata,0.4606060606060606
esperienza,experienta,0.18666666666666676
indifferente,indiferent,0.026666666666666616
consonanza,consonanta,0.09333333333333338
pretenzioso,pretentios,0.10666666666666669
trascendere,transcende,0.09999999999999987
incommensurabile,nemasurata,0.4
intensita,intensitate,0.022222222222222143
