fr,gl,Alignment Score
sadique,sadico,0.30000000000000016
portee,ambito,0.7
accent,enfase,0.5666666666666667
idiot,idiota,0.026666666666666727
occasionnel,casual,0.3555555555555556
merite,merito,0.15555555555555556
allusion,alusion,0.01904761904761898
hostile,hostis,0.16666666666666663
souhait,desexo,0.5777777777777777
sceptique,esceptico,0.28888888888888875
heritage,legado,0.6111111111111112
droit,recto,0.52
depechez-vous,presa,0.48
doux,manso,0.6666666666666667
extraterrestre,alleo,0.6533333333333333
nocif,prexudicial,0.6133333333333333
infame,infame,0.0
cliche,cliche,0.0
passion,paixon,0.16666666666666663
excellent,excelente,0.10370370370370374
affable,afable,0.022222222222222143
definir,definir,0.0
ornement,adorno,0.4555555555555556
cadeau,agasallo,0.6111111111111112
extase,extase,0.0
sobre,sobrio,0.19999999999999996
adhesion,adhesion,0.0
grignotines,empanadas,0.6518518518518519
evaluer,avaliar,0.38095238095238104
ruse,astucia,0.7166666666666668
aussi,tamen,0.6799999999999999
ventouse,ventosa,0.1523809523809525
session,sesion,0.022222222222222143
seuil,limite,0.6799999999999999
solennel,solemne,0.1523809523809525
juger,para xulgar,0.4666666666666667
gloire,gloria,0.30000000000000016
labaro,labaro,0.0
officiel,formais,0.6190476190476191
habitude,habito,0.1777777777777777
appreciation,aprecio,0.07619047619047625
bien que,ainda que,0.2416666666666667
opportunite,oportunidade,0.1696969696969698
elan,impulso,0.7166666666666668
quelqu'un d'autre,alguen mais,0.5151515151515152
efficace,eficaz,0.18888888888888888
inactif,ocioso,0.6000000000000001
jubilation,xubilo,0.22222222222222232
disposer,dispor,0.03333333333333344
diffuser,difusa,0.18888888888888888
haleine,alento,0.3222222222222223
a feuilles persistantes,perenne,0.4285714285714286
nuancer,matiz,0.72
faction,faccion,0.13333333333333341
excuse,escusa,0.3111111111111112
exile,exilio,0.19999999999999996
affectation,asignacion,0.42666666666666664
espiegle,xogueton,0.6416666666666666
abstention,absterse,0.33333333333333315
inference,conclusion,0.6518518518518519
juridiction,xurisdiccion,0.18181818181818177
objet,obxecto,0.2400000000000001
acceder,acceso,0.30000000000000016
accent,acento,0.15555555555555556
desir,desexo,0.3600000000000001
axiome,axioma,0.15555555555555556
sanction,sancion,0.01904761904761898
gratuit,gratuito,0.01904761904761898
tacite,tacito,0.15555555555555556
ethere,etereo,0.15555555555555556
recherche,buscar,0.6222222222222222
femme,muller,0.5333333333333333
courtois,cortes,0.188888888888889
avidite,cobiza,0.7
maladie,doenza,0.5888888888888889
serieux,grave,0.5733333333333334
gage,prenda,0.6833333333333333
exempter,exentos,0.39047619047619064
avidite,cobiza,0.7
peur,medo,0.6666666666666667
vulgaire,vulgar,0.04444444444444451
telecommande,remoto,0.6333333333333333
plaisir,pracer,0.4555555555555555
factuel,factual,0.13333333333333341
quand,cando,0.36
jamais,nunca,0.6933333333333334
ne me donne pas,non me deas,0.19393939393939386
proprete,limpeza,0.6095238095238096
empathie,empatia,0.1523809523809525
aurelio,aurelio,0.0
conjoint,conxuxe,0.4857142857142859
arnaque,estafa,0.5888888888888889
exception,excepcion,0.10370370370370374
personnage,personaxe,0.11851851851851858
ephemere,efemero,0.2761904761904762
verbeux,longo vento,0.638095238095238
entree,entrada,0.30000000000000016
idyllique,idilico,0.40000000000000013
analogue,analoxico,0.32499999999999984
authentique,xenuino,0.5428571428571429
histoire,historia,0.22499999999999998
sublime,sublime,0.0
famille,familia,0.24761904761904763
condoleances,condolencias,0.1499999999999999
deduire,inferir,0.5047619047619047
apathique,apatico,0.2761904761904761
succinct,sucinto,0.1523809523809525
signification,significado,0.10303030303030292
de racheter,para redimir,0.5393939393939394
ruse,astucia,0.7166666666666668
prodigue,prodigo,0.1428571428571429
culture,cultura,0.13333333333333341
audace,audacia,0.16666666666666663
stigmate,estigma,0.1428571428571429
recreation,recreo,0.06666666666666665
vertu,virtude,0.2266666666666668
refuter,refutar,0.13333333333333341
iconique,iconico,0.2571428571428571
superbe,xenial,0.711111111111111
cynisme,cinismo,0.2666666666666667
ecurie,estable,0.5666666666666667
exhorter,urxe,0.5333333333333334
morbide,morboso,0.36190476190476195
banal,trivial,0.5333333333333333
attenuer,mitigar,0.6
la synthese,sintese,0.19047619047619047
aspect,aspecto,0.022222222222222143
luxure,luxuria,0.16666666666666663
amical,amigable,0.20000000000000007
succes,exito,0.6933333333333334
bonheur,felicidade,0.7428571428571429
imputer,imputar,0.13333333333333341
ecume,escoria,0.5466666666666667
emerger,xurdir,0.5888888888888889
anatheme,anatema,0.1523809523809525
en outre,ademais,0.7238095238095238
candeur,candor,0.16666666666666663
debauche,libertinaxe,0.5666666666666667
fierte,orgullo,0.7222222222222222
extrait,extracto,0.1523809523809525
litige,litixio,0.30000000000000016
mourir d'envie,anhelar,0.6857142857142857
a travers,a traves,0.016666666666666607
cependant,con todo,0.5416666666666667
frivole,frivolo,0.13333333333333341
courage,coraxe,0.1777777777777778
desir,saudade,0.5333333333333333
indigene,nativo,0.6111111111111112
surnom,alcume,0.5777777777777777
ambigue,ambiguo,0.13333333333333341
sain,saudable,0.5
austere,austero,0.13333333333333341
scrotum,escroto,0.2571428571428571
amitie,amizade,0.30000000000000004
sensible,sensato,0.37142857142857144
chimere,quimera,0.38095238095238093
ambition,ambicion,0.1166666666666667
exces,exceso,0.026666666666666727
racisme,racismo,0.13333333333333341
relation,relacion,0.1166666666666667
promotion,promocion,0.10370370370370374
erudit,erudito,0.022222222222222143
immersion,inmersion,0.10370370370370374
modeste,modesto,0.13333333333333341
partiel,parcial,0.2666666666666667
colosse,coloso,0.16666666666666663
demande,demanda,0.13333333333333341
exotique,exotico,0.2571428571428571
concis,conciso,0.022222222222222143
science,ciencia,0.2571428571428571
piete,piedade,0.21333333333333337
volatil,volatil,0.0
celebre,notorio,0.7238095238095238
bizarre,estrano,0.7047619047619048
exemption,exencion,0.2250000000000001
actuel,actual,0.15555555555555556
souffrir,sufrir,0.04444444444444451
hybride,hibrido,0.2666666666666667
gagner,ganar,0.21333333333333337
intense,intenso,0.13333333333333341
inertie,inercia,0.2666666666666667
emotionnel,emocional,0.2148148148148148
anxieux,ansioso,0.49523809523809526
despote,despota,0.13333333333333341
sens,sentido,0.28333333333333355
clair,claro,0.18666666666666676
profane,profano,0.13333333333333341
la diffusion,difusion,0.04999999999999993
inherent,inherente,0.016666666666666607
respect,respecto,0.01904761904761898
particulier,peculiar,0.2583333333333334
denigrer,denigrar,0.1166666666666667
genocidaire,xenocida,0.15000000000000002
consentement,consentimento,0.08888888888888902
differe,aprazado,0.7238095238095238
equite,equidade,0.1777777777777778
prudent,prudente,0.01904761904761898
pandemie,pandemia,0.1166666666666667
imminent,inminente,0.13333333333333341
essence,esencia,0.2571428571428571
misogyne,misoxina,0.33333333333333337
disgrace,deshonra,0.44166666666666676
envahissant,invasivo,0.4666666666666668
aliene,alienado,0.1777777777777777
eminent,eminente,0.01904761904761898
abstrait,abstracto,0.13333333333333341
premisse,premisa,0.1428571428571429
extension,extension,0.0
empirique,empirico,0.22499999999999998
concept,concepto,0.01904761904761898
talarique,talarico,0.22499999999999998
ruse,astucia,0.7166666666666668
augmenter,subir,0.5866666666666667
fille,rapaza,0.8400000000000001
reiterer,reiterar,0.1166666666666667
luxure,luxuria,0.16666666666666663
reve,sonar despierto,0.4666666666666668
relatif,achegada,0.6285714285714286
prodige,prodixio,0.2571428571428571
passable,transitable,0.2666666666666666
reparation,reparacion,0.09333333333333338
gratitude,gratitude,0.0
analogie,analoxia,0.2333333333333334
insertion,insercion,0.10370370370370374
modestie,modestia,0.1166666666666667
excuses,desculpas,0.4095238095238096
activiste,activista,0.10370370370370374
remise,remision,0.1777777777777777
inhospitalier,inhospito,0.1333333333333333
donc,polo tanto,0.5833333333333333
mediocre,mediocres,0.016666666666666607
monotone,monotono,0.1166666666666667
depit,despecho,0.40000000000000013
fomenter,fomentar,0.1166666666666667
ineffable,inefable,0.016666666666666607
soutien,apoiar,0.6000000000000001
rhetorique,retorica,0.24166666666666659
preoccupations,preocupacions,0.08205128205128209
fondation,fundacion,0.20740740740740748
synonyme,sinonimo,0.3500000000000001
proceder,proceder,0.0
methodique,metodico,0.24166666666666659
primaute,primacia,0.31666666666666654
perfidie,perfidia,0.1166666666666667
rejeter,rexeitar,0.2857142857142857
histoire,historia,0.22499999999999998
donc,polo tanto,0.5833333333333333
demagogue,demagogo,0.125
complexe,complexo,0.1166666666666667
il consiste,consiste,0.033333333333333326
critere,criterio,0.1428571428571429
notivago,nonivago,0.1166666666666667
distinct,distinto,0.1166666666666667
spectre,espectro,0.1523809523809525
succomber,sucumbir,0.2416666666666667
desinteresse,desinteresado,0.1499999999999999
amalgame,amalgama,0.1166666666666667
resultat,resultado,0.125
singulier,singular,0.125
susciter,espertar,0.5333333333333334
paradoxe,paradoxo,0.1166666666666667
moquerie,burla,0.5866666666666667
contexte,contexto,0.1166666666666667
processus,proceso,0.1523809523809524
admissible,elixibles,0.4
communion,comunon,0.03809523809523818
mot,palabra,0.9333333333333333
but,obxectivo,0.48888888888888893
refleter,reflexo,0.2571428571428571
intrepide,sen medo,0.5666666666666667
la maitrise,mestria,0.4285714285714286
neanmoins,con todo,0.6416666666666666
endemique,endemica,0.22499999999999998
conception,deseno,0.6222222222222222
legal,legal,0.0
probleme,problema,0.1166666666666667
utile,util,0.033333333333333326
susciter,instigar,0.5333333333333334
incroyable,incrible,0.13333333333333341
epiphanie,epifania,0.2416666666666667
rachat,redencion,0.6111111111111112
a travers,a traves,0.016666666666666607
parallele,paralelo,0.13333333333333341
insipide,insipido,0.1166666666666667
resolu,resolto,0.16666666666666663
immanent,inmanente,0.13333333333333341
generique,xenerico,0.3416666666666667
sante mentale,cordura,0.7714285714285714
perspicace,perspicaz,0.11111111111111116
reciproque,reciproco,0.19999999999999996
concession,concesion,0.014814814814814725
impression,impresion,0.014814814814814725
scrupule,escrupulo,0.13333333333333341
superflu,superfluo,0.016666666666666607
rectifier,rectificar,0.11111111111111116
paradigme,paradigma,0.10370370370370374
dichotomie,dicotomia,0.11851851851851858
but,proposito,0.7333333333333334
presomption,presuncion,0.26
conception,deseno,0.6222222222222222
hypocrite,hipocrita,0.20740740740740748
ratifier,ratificar,0.125
implicite,implicito,0.10370370370370374
plenitude,plenitude,0.0
essentiel,esencial,0.25
hegemonie,hexemonia,0.20740740740740748
corollaire,corolario,0.2148148148148148
incident,incidente,0.016666666666666607
etrange,estrano,0.2571428571428571
altruisme,altruismo,0.10370370370370374
clochard,vagabundo,0.6499999999999999
altruiste,altruista,0.10370370370370374
hermetique,hermetico,0.19999999999999996
aleatoire,aleatoria,0.19999999999999996
espoir,esperanza,0.3333333333333335
promiscuite,promiscuo,0.11851851851851847
persuader,persuadir,0.10370370370370374
confiance,confiar,0.1523809523809524
volontaire,deliberado,0.6
sapience,sapiencia,0.125
indelebile,indeleble,0.014814814814814725
aussi,tamen,0.6799999999999999
petit,mesquino,0.6000000000000001
diligent,dilixente,0.13333333333333341
impetueux,impetuoso,0.28148148148148144
description,descricion,0.09999999999999998
rejouir,alegrarse,0.6190476190476191
resigne,dimitido,0.7333333333333334
inhabituel,rara,0.75
eminence,eminencia,0.125
compassion,compaixon,0.11111111111111116
prudence,prudencia,0.125
pretention,pretension,0.09333333333333338
discretion,discrecion,0.09333333333333338
analytique,analitico,0.3037037037037037
explicite,explicito,0.10370370370370374
ordinaire,ordinario,0.19999999999999996
perception,percepcion,0.09333333333333338
realisable,factible,0.3583333333333334
nostalgie,nostalxia,0.20740740740740748
subjectif,subxectivo,0.2148148148148148
autonomie,autonomia,0.10370370370370374
autochtone,autoctona,0.11851851851851858
resolution,resolucion,0.09333333333333338
entreprise,empresa,0.4095238095238096
mepris,desprezo,0.47777777777777786
digne de confiance,de confianza,0.18333333333333313
dissension,disension,0.014814814814814725
expression,expresion,0.014814814814814725
constante,constante,0.0
suppression,supresion,0.029629629629629672
taciturne,taciturno,0.10370370370370374
impartial,imparcial,0.10370370370370374
authentique,autentico,0.21481481481481468
patience,paciencia,0.2416666666666667
ignorant,ignorante,0.016666666666666607
arrogant,arrogante,0.016666666666666607
execrable,execrable,0.0
sinon,en caso contrario,0.5333333333333333
discours,discurso,0.1166666666666667
restriction,restricion,0.013333333333333308
humiliant,degradante,0.562962962962963
obstine,obstinado,0.1523809523809524
consonne,consoante,0.13333333333333341
se vanter,presumir,0.6333333333333333
cadre,marco,0.5466666666666666
cognitif,cognitivo,0.125
adjacent,adxacentes,0.1416666666666666
eloquent,elocuente,0.13333333333333341
exemple,instancia,0.8380952380952381
interet,interese,0.1428571428571429
limite,limite,0.0
synthetique,sintetica,0.31851851851851853
imminence,inminencia,0.2148148148148148
soumission,presentacion,0.5133333333333334
presage,presaxio,0.2571428571428571
pertinent,relevantes,0.4814814814814815
irascible,irascible,0.0
obstacle,atranco,0.5238095238095238
super,xenial,0.7066666666666668
liberte,liberdade,0.1523809523809524
tromper,enganar,0.5904761904761905
acquisition,adquisicion,0.1696969696969698
ambitieux,ambicioso,0.3851851851851852
plausible,plausible,0.0
humilite,humildade,0.22499999999999998
conviction,conviccion,0.09333333333333338
premiers fruits,primicias,0.3555555555555556
dictionnaire,dicionario,0.20666666666666678
intrinseque,intrinseca,0.17999999999999994
faire sans,prescindir,0.5266666666666666
presomptueux,presuntuoso,0.3939393939393939
diligence,dilixencia,0.2148148148148148
corroborer,corroborar,0.09333333333333338
meteo,tempo,0.34666666666666657
detriment,prexuizo,0.6499999999999999
maturite,madurez,0.2761904761904762
parcimonie,parsimonia,0.18666666666666676
reference,referencia,0.11111111111111116
inspiration,inspiracion,0.08484848484848484
inexorable,inexorable,0.0
pragmatique,pragmatico,0.17999999999999994
arrogant,arrogante,0.016666666666666607
naissant,incipiente,0.4666666666666667
perturbateur,perturbador,0.16363636363636358
sororite,irmandade,0.6333333333333333
serenite,serenidade,0.1333333333333333
arbitraire,arbitrario,0.17999999999999994
indulgent,indulxente,0.11851851851851858
de bon augure,auspicioso,0.6799999999999999
iniquite,iniquidade,0.1333333333333333
pertinent,relevantes,0.4814814814814815
esprit,enxeno,0.6888888888888889
demission,dimision,0.13333333333333341
hypocrisie,hipocrisia,0.18666666666666676
avocat,avogado,0.3222222222222223
precedent,precedente,0.014814814814814725
apercu,albiscar,0.5888888888888888
incidence,incidencia,0.11111111111111116
flatte,halagado,0.6000000000000001
sensible,susceptibles,0.2666666666666666
neanmoins,con todo,0.6416666666666666
disposition,disposicion,0.08484848484848484
excentrique,excentrico,0.17999999999999994
sous-estimer,subestimar,0.20666666666666678
preliminaire,preliminar,0.026666666666666616
tribulations,tribulacion,0.09696969696969693
deduire,deducir,0.13333333333333341
flegmatique,flematico,0.21481481481481468
anachronique,anacronico,0.19333333333333325
trompe,equivocado,0.7333333333333334
examen minutieux,escrutinio,0.5466666666666666
retrograde,retrogrado,0.09333333333333327
indolence,indolencia,0.11111111111111116
excellence,excelencia,0.17999999999999994
ingerence,interferencia,0.23703703703703694
democratie,democracia,0.18666666666666676
malheur,desgraza,0.6285714285714286
compatissant,compasivo,0.311111111111111
contempler,contemplar,0.09333333333333338
important,importante,0.014814814814814725
pejoratif,pexorativo,0.2148148148148148
limiter,restrinxir,0.5333333333333333
synthetiser,sintetizar,0.2799999999999999
proposition,proposicion,0.08484848484848484
signataire,asinante,0.25
primordial,primordial,0.0
situation,situacion,0.10370370370370374
coercitif,coercitivo,0.11111111111111116
resolution,resolucion,0.09333333333333338
intrinseque,intrinseca,0.17999999999999994
sous-jacent,subxacente,0.27333333333333343
but,obxectivo,0.48888888888888893
itineraire,itinerario,0.17999999999999994
splendide,esplendido,0.11851851851851858
alterite,alteridade,0.1333333333333333
pecuniaire,pecuniario,0.17999999999999994
spontane,espontanea,0.033333333333333326
designation,designacion,0.08484848484848484
passant,transeunte,0.4285714285714286
necessaire,necesario,0.2148148148148148
constance,constancia,0.11111111111111116
sarcastique,sarcastico,0.17999999999999994
pusilC/nime,pusilC/nime,0.0
pertinence,idoneidade,0.5066666666666667
privilege,privilexio,0.19999999999999996
depourvu,carente,0.7238095238095238
croyable,crible,0.1777777777777777
pernostique,pernostico,0.17999999999999994
exacerbe,exacerbado,0.1333333333333333
bonheur,felicidade,0.7428571428571429
pertinence,relevancia,0.5133333333333334
divergent,diverxente,0.11851851851851858
discipline,disciplina,0.09333333333333327
inference,conclusion,0.6518518518518519
pernicieux,perniciosa,0.2533333333333333
disseminer,difundir,0.44166666666666676
satisfaction,satisfaccion,0.07777777777777772
meticuleux,meticuloso,0.2533333333333333
reverberer,reverberar,0.09333333333333338
sporadique,esporadicos,0.2666666666666667
influence,influencia,0.11111111111111116
militantisme,militancia,0.19999999999999996
retentissant,rotundo,0.5619047619047619
consolider,consolidar,0.09333333333333338
fornication,fornicacion,0.08484848484848484
subversif,subversivo,0.11111111111111116
signification,significado,0.10303030303030292
perspective,perspectiva,0.08484848484848473
resilience,resiliencia,0.09999999999999987
deguise,disfrazado,0.5142857142857143
vicissitudes,vicisitude,0.026666666666666616
complaisant,compracente,0.3151515151515153
emousse,contundente,0.5428571428571429
peremptoire,perentorio,0.2799999999999999
comorbidite,comorbilidade,0.16969696969696968
comprehension,comprension,0.018181818181818188
apercu,perspicacia,0.3666666666666667
attente,expectativa,0.638095238095238
hypothese,suposicion,0.5777777777777778
beneplacito,beneplacito,0.0
subterfuge,subterfuxio,0.17999999999999994
prejuge,prexuizo,0.39047619047619064
experience,experiencia,0.09999999999999987
indifferent,indiferente,0.08484848484848473
consonance,consonancia,0.09999999999999987
pretentieux,pretencioso,0.31515151515151507
transcender,transcender,0.0
incommensurable,inconmensurable,0.06222222222222218
intensite,intensidade,0.11851851851851847
quota,cota,0.25
belligerant,belixerante,0.1696969696969698
eminent,destacado,0.6285714285714286
besoin,necesidade,0.5
superficiel,superficial,0.08484848484848473
concernant,referente,0.4888888888888888
gentillesse,bondade,0.6476190476190475
litige,litixio,0.30000000000000016
indicible,indicible,0.0
animosite,animosidade,0.11851851851851847
intervention,intervencion,0.07777777777777772
tache,tarefa,0.3733333333333334
vocabulaire,vocabulario,0.16363636363636347
antagonisme,antagonismo,0.08484848484848473
salutation,saudo,0.28000000000000014
resistance,resistencia,0.19333333333333336
indifference,indiferenza,0.16969696969696957
reclamer,reclamacion,0.24166666666666659
comprendre,entender,0.45000000000000007
susmentionne,mencionado anteriormente,0.36111111111111094
