it,gl,Alignment Score
esilio,exilio,0.15555555555555556
incarico,asignacion,0.3666666666666667
giocoso,xogueton,0.6190476190476191
astenersi,absterse,0.2416666666666667
inferenza,conclusion,0.6518518518518519
giurisdizione,xurisdiccion,0.23333333333333328
oggetto,obxecto,0.38095238095238093
accesso,acceso,0.022222222222222143
accento,acento,0.022222222222222143
desiderio,desexo,0.20000000000000007
assioma,axioma,0.16666666666666663
sanzione,sancion,0.1523809523809525
gratuito,gratuito,0.0
tacito,tacito,0.0
etereo,etereo,0.0
ricerca,buscar,0.5777777777777777
donna,muller,0.8400000000000001
cortese,cortes,0.022222222222222143
avidita,cobiza,0.5888888888888888
malattia,doenza,0.7111111111111111
serio,grave,0.6799999999999999
impegno,prenda,0.4666666666666667
esonerare,exentos,0.6095238095238096
avidita,cobiza,0.5888888888888888
paura,medo,0.85
volgare,vulgar,0.1777777777777778
a distanza,remoto,0.7555555555555555
piacere,pracer,0.1777777777777778
effettivo,factual,0.638095238095238
quando,cando,0.19999999999999996
mai,nunca,0.6444444444444445
non darmi,non me deas,0.311111111111111
pulizia,limpeza,0.37142857142857144
empatia,empatia,0.0
aurelio,aurelio,0.0
sposa,conxuxe,0.72
truffa,estafa,0.43333333333333335
eccezione,excepcion,0.2962962962962963
carattere,personaxe,0.5555555555555556
effimero,efemero,0.1428571428571429
prolisso,longo vento,0.6499999999999999
iscrizione,entrada,0.7333333333333334
idilliaco,idilico,0.03809523809523818
analogico,analoxico,0.10370370370370374
genuino,xenuino,0.13333333333333341
storia,historia,0.03333333333333344
sublime,sublime,0.0
famiglia,familia,0.01904761904761898
condoglianze,condolencias,0.28888888888888886
dedurre,inferir,0.5047619047619047
apatico,apatico,0.0
conciso,sucinto,0.49523809523809526
senso,significado,0.45333333333333337
riscattare,para redimir,0.52
astuzia,astucia,0.13333333333333341
prodigo,prodigo,0.0
cultura,cultura,0.0
audacia,audacia,0.0
stigma,estigma,0.022222222222222143
recesso,recreo,0.16666666666666663
virtu,virtude,0.039999999999999925
confutare,refutar,0.2761904761904762
iconico,iconico,0.0
superbo,xenial,0.7222222222222222
cinismo,cinismo,0.0
stabile,estable,0.13333333333333341
sollecitare,urxe,0.5666666666666667
morboso,morboso,0.0
banale,trivial,0.5777777777777777
mitigare,mitigar,0.01904761904761898
sintesi,sintese,0.13333333333333341
aspetto,aspecto,0.13333333333333341
lussuria,luxuria,0.1428571428571429
amichevole,amigable,0.33333333333333337
successo,exito,0.56
felicita,felicidade,0.1416666666666666
imputare,imputar,0.01904761904761898
feccia,escoria,0.3222222222222223
emergere,xurdir,0.6111111111111112
anatema,anatema,0.0
inoltre,ademais,0.7142857142857143
candore,candor,0.022222222222222143
dissolutezza,libertinaxe,0.6181818181818182
orgoglio,orgullo,0.2666666666666667
estratto,extracto,0.2333333333333334
contenzioso,litixio,0.5428571428571429
bramare,anhelar,0.49523809523809526
attraverso,a traves,0.15000000000000002
tuttavia,con todo,0.7250000000000001
frivolo,frivolo,0.0
coraggio,coraxe,0.3111111111111112
desiderio,saudade,0.5142857142857143
nativo,nativo,0.0
soprannome,alcume,0.47777777777777786
ambiguo,ambiguo,0.0
sano,saudable,0.5
austero,austero,0.0
scroto,escroto,0.022222222222222143
amicizia,amizade,0.2666666666666666
sensato,sensato,0.0
chimera,quimera,0.24761904761904763
ambizione,ambicion,0.13333333333333341
eccesso,exceso,0.1777777777777778
razzismo,racismo,0.1428571428571429
relazione,relacion,0.13333333333333341
promozione,promocion,0.11851851851851858
erudito,erudito,0.0
immersione,inmersion,0.11851851851851858
modesto,modesto,0.0
parziale,parcial,0.1523809523809525
colosso,coloso,0.022222222222222143
richiesta,demanda,0.6285714285714286
esotico,exotico,0.13333333333333341
conciso,conciso,0.0
scienza,ciencia,0.25714285714285723
pieta,piedade,0.2266666666666668
volatile,volatil,0.01904761904761898
famigerato,notorio,0.6285714285714286
bizzarro,estrano,0.6095238095238096
esenzione,exencion,0.25
attuale,actual,0.1777777777777778
soffrire,sufrir,0.18888888888888888
ibrido,hibrido,0.022222222222222143
guadagnare,ganar,0.10666666666666669
intenso,intenso,0.0
inerzia,inercia,0.13333333333333341
emotivo,emocional,0.2857142857142857
ansioso,ansioso,0.0
despota,despota,0.0
senso,sentido,0.21333333333333337
chiaro,claro,0.19999999999999996
profano,profano,0.0
diffusione,difusion,0.033333333333333326
inerente,inherente,0.016666666666666607
rispetto,respecto,0.2333333333333334
peculiare,peculiar,0.016666666666666607
denigrare,denigrar,0.016666666666666607
genocida,xenocida,0.1166666666666667
consenso,consentimento,0.15833333333333321
differito,aprazado,0.625
equita,equidade,0.18888888888888888
prudente,prudente,0.0
pandemia,pandemia,0.0
imminente,inminente,0.10370370370370374
essenza,esencia,0.25714285714285723
misogino,misoxina,0.2333333333333334
disgrazia,deshonra,0.45000000000000007
invasivo,invasivo,0.0
alienato,alienado,0.1166666666666667
eminente,eminente,0.0
astratto,abstracto,0.13333333333333341
premessa,premisa,0.1428571428571429
estensione,extension,0.11851851851851858
empirico,empirico,0.0
concetto,concepto,0.1166666666666667
talarico,talarico,0.0
astuzia,astucia,0.13333333333333341
salita,subir,0.5466666666666666
ragazza,rapaza,0.1777777777777777
ribadire,reiterar,0.44166666666666676
lussuria,luxuria,0.1428571428571429
sognare ad occhi aperti,sonar despierto,0.2844444444444444
parente,achegada,0.6190476190476191
prodigio,prodixio,0.1166666666666667
accettabile,transitable,0.38181818181818183
riparazione,reparacion,0.19999999999999996
gratitudine,gratitude,0.022222222222222254
analogia,analoxia,0.1166666666666667
inserimento,insercion,0.21481481481481468
modestia,modestia,0.0
scuse,desculpas,0.2533333333333334
attivista,activista,0.10370370370370374
remissione,remision,0.033333333333333326
inospitale,inhospito,0.20740740740740748
percio,polo tanto,0.6
mediocre,mediocres,0.016666666666666607
monotono,monotono,0.0
dispetto,despecho,0.33333333333333337
fomentare,fomentar,0.016666666666666607
ineffabile,inefable,0.033333333333333326
supporto,apoiar,0.4666666666666667
retorica,retorica,0.0
preoccupazioni,preocupacions,0.15384615384615385
fondazione,fundacion,0.2222222222222222
sinonimo,sinonimo,0.0
procedere,proceder,0.016666666666666607
metodico,metodico,0.0
primato,primacia,0.2571428571428571
perfidia,perfidia,0.0
rifiutare,rexeitar,0.33333333333333337
storia,historia,0.03333333333333344
percio,polo tanto,0.6
demagogo,demagogo,0.0
complesso,complexo,0.125
consiste,consiste,0.0
criterio,criterio,0.0
notivago,nonivago,0.1166666666666667
distinto,distinto,0.0
spettro,espectro,0.1523809523809525
soccombere,sucumbir,0.375
altruista,desinteresado,0.5259259259259259
amalgama,amalgama,0.0
risultato,resultado,0.20740740740740748
singolare,singular,0.13333333333333341
suscitare,espertar,0.44166666666666676
paradosso,paradoxo,0.125
beffa,burla,0.5066666666666666
contesto,contexto,0.1166666666666667
processi,proceso,0.1428571428571429
idoneo,elixibles,0.6222222222222222
comunione,comunon,0.03809523809523818
parola,palabra,0.30000000000000004
obiettivo,obxectivo,0.20740740740740748
riflettere,reflexo,0.4095238095238096
impavido,sen medo,0.5333333333333334
padronanza,mestria,0.638095238095238
tuttavia,con todo,0.7250000000000001
endemico,endemica,0.1166666666666667
progetto,deseno,0.6000000000000001
legale,legal,0.026666666666666727
problema,problema,0.0
utile,util,0.033333333333333326
istigare,instigar,0.1166666666666667
incredibile,incrible,0.04166666666666663
epifania,epifania,0.0
redenzione,redencion,0.11851851851851858
attraverso,a traves,0.15000000000000002
parallelo,paralelo,0.016666666666666607
insapore,insipido,0.3333333333333335
risoluto,resolto,0.1523809523809525
immanente,inmanente,0.10370370370370374
generico,xenerico,0.1166666666666667
sanita mentale,cordura,0.780952380952381
perspicace,perspicaz,0.11111111111111116
reciproco,reciproco,0.0
concessione,concesion,0.02962962962962956
stampa,impresion,0.6111111111111112
scrupolo,escrupulo,0.13333333333333341
superfluo,superfluo,0.0
rettificare,rectificar,0.10666666666666669
paradigma,paradigma,0.0
dicotomia,dicotomia,0.0
scopo,proposito,0.41333333333333333
presunzione,presuncion,0.10666666666666669
progetto,deseno,0.6000000000000001
ipocrita,hipocrita,0.016666666666666607
ratificare,ratificar,0.014814814814814725
implicito,implicito,0.0
pienezza,plenitude,0.44166666666666676
essenziale,esencial,0.15000000000000002
egemonia,hexemonia,0.1333333333333333
corollario,corolario,0.014814814814814725
incidente,incidente,0.0
strano,estrano,0.022222222222222143
altruismo,altruismo,0.0
vagabondo,vagabundo,0.10370370370370374
altruistico,altruista,0.11851851851851847
ermetico,hermetico,0.016666666666666607
casuale,aleatoria,0.49523809523809537
speranza,esperanza,0.016666666666666607
promiscuo,promiscuo,0.0
persuadere,persuadir,0.11851851851851858
fiducia,confiar,0.48571428571428577
deliberato,deliberado,0.09333333333333338
sapienza,sapiencia,0.125
indelebile,indeleble,0.014814814814814725
pure,tamen,0.6666666666666667
trascurabile,mesquino,0.5916666666666666
diligente,dilixente,0.10370370370370374
impetuoso,impetuoso,0.0
descrizione,descricion,0.10666666666666669
rallegrarsi,alegrarse,0.13333333333333341
rassegnato,dimitido,0.6416666666666666
insolito,rara,0.9
eminenza,eminencia,0.125
compassione,compaixon,0.12592592592592589
prudenza,prudencia,0.125
pretesa,pretension,0.17142857142857149
riservatezza,discrecion,0.54
analitico,analitico,0.0
esplicito,explicito,0.10370370370370374
ordinario,ordinario,0.0
percezione,percepcion,0.17999999999999994
fattibile,factible,0.13333333333333341
nostalgia,nostalxia,0.10370370370370374
soggettivo,subxectivo,0.34666666666666657
autonomia,autonomia,0.0
autoctono,autoctona,0.10370370370370374
risoluzione,resolucion,0.19999999999999996
azienda,empresa,0.6
disprezzo,desprezo,0.13333333333333341
affidabile,de confianza,0.6066666666666667
dissenso,disension,0.13333333333333341
espressione,expresion,0.13333333333333341
costante,constante,0.016666666666666607
soppressione,supresion,0.14074074074074072
taciturno,taciturno,0.0
imparziale,imparcial,0.11851851851851858
autentico,autentico,0.0
pazienza,paciencia,0.2416666666666667
ignorante,ignorante,0.0
arrogante,arrogante,0.0
esecrabile,execrable,0.11851851851851858
altrimenti,en caso contrario,0.5533333333333333
discorso,discurso,0.1166666666666667
restrizione,restricion,0.10666666666666669
umiliante,degradante,0.4666666666666667
ostinato,obstinado,0.13333333333333341
consonante,consoante,0.014814814814814725
vantarsi,presumir,0.5416666666666667
struttura,marco,0.7333333333333334
cognitivo,cognitivo,0.0
adiacente,adxacentes,0.11851851851851858
eloquente,elocuente,0.10370370370370374
esempio,instancia,0.6476190476190476
interesse,interese,0.016666666666666607
borderline,limite,0.47777777777777786
sintetico,sintetica,0.10370370370370374
imminenza,inminencia,0.2148148148148148
sottomissione,presentacion,0.5055555555555556
presagio,presaxio,0.1166666666666667
pertinente,relevantes,0.42666666666666664
irascibile,irascible,0.014814814814814725
ostacolo,atranco,0.4
grande,xenial,0.7
liberta,liberdade,0.16190476190476188
ingannare,enganar,0.17142857142857149
acquisizione,adquisicion,0.18181818181818177
ambizioso,ambicioso,0.10370370370370374
plausibile,plausible,0.014814814814814725
umilta,humildade,0.21111111111111114
convinzione,conviccion,0.18666666666666676
primizie,primicias,0.2416666666666667
dizionario,dicionario,0.09333333333333338
intrinseco,intrinseca,0.09333333333333327
fare senza,prescindir,0.5266666666666666
presuntuoso,presuntuoso,0.0
diligenza,dilixencia,0.2148148148148148
corroborare,corroborar,0.013333333333333308
tempo atmosferico,tempo,0.173333333333333
danno,prexuizo,0.7066666666666668
scadenza,madurez,0.4
parsimonia,parsimonia,0.0
riferimento,referencia,0.36
ispirazione,inspiracion,0.1696969696969698
inesorabile,inexorable,0.1066666666666668
pragmatico,pragmatico,0.0
arrogante,arrogante,0.0
nascente,incipiente,0.2416666666666667
dirompente,perturbador,0.6
sorellanza,irmandade,0.5037037037037038
serenita,serenidade,0.1416666666666666
arbitrario,arbitrario,0.0
indulgente,indulxente,0.09333333333333338
di buon auspicio,auspicioso,0.21333333333333326
iniquita,iniquidade,0.1416666666666666
pertinente,relevantes,0.42666666666666664
spirito,enxeno,0.7
dimissioni,dimision,0.033333333333333326
ipocrisia,hipocrisia,0.014814814814814725
avvocato,avogado,0.2857142857142858
precedente,precedente,0.0
occhiata,albiscar,0.6333333333333333
incidenza,incidencia,0.11111111111111116
lusingato,halagado,0.45000000000000007
suscettibile,susceptibles,0.15555555555555556
cio nonostante,con todo,0.40000000000000013
disposizione,disposicion,0.09696969696969693
eccentrico,excentrico,0.09333333333333338
sottovalutare,subestimar,0.44666666666666666
preliminare,preliminar,0.013333333333333308
tribolazione,tribulacion,0.18181818181818177
dedurre,deducir,0.24761904761904763
flemmatico,flematico,0.014814814814814725
anacronistico,anacronico,0.026666666666666616
sbagliato,equivocado,0.5777777777777777
scrutinio,escrutinio,0.014814814814814725
retrogrado,retrogrado,0.0
indolenza,indolencia,0.11111111111111116
eccellenza,excelencia,0.27333333333333343
interferenza,interferencia,0.08333333333333337
democrazia,democracia,0.09333333333333338
sfortuna,desgraza,0.5416666666666667
compassionevole,compasivo,0.06666666666666654
contemplare,contemplar,0.013333333333333308
importante,importante,0.0
peggiorativo,pexorativo,0.10666666666666669
limitare,restrinxir,0.5666666666666667
sintetizzare,sintetizar,0.026666666666666616
proposizione,proposicion,0.09696969696969693
firmatario,asinante,0.575
primordiale,primordial,0.013333333333333308
situazione,situacion,0.11851851851851858
coercitivo,coercitivo,0.0
risoluzione,resolucion,0.19999999999999996
intrinseco,intrinseca,0.09333333333333327
sottostante,subxacente,0.42666666666666664
obiettivo,obxectivo,0.20740740740740748
itinerario,itinerario,0.0
splendida,esplendido,0.11851851851851858
alterita,alteridade,0.1416666666666666
pecuniario,pecuniario,0.0
spontaneo,espontanea,0.11851851851851858
designazione,designacion,0.09696969696969693
passante,transeunte,0.3583333333333334
necessario,necesario,0.014814814814814725
costanza,constancia,0.1416666666666666
sarcastico,sarcastico,0.0
pusilC/nime,pusilC/nime,0.0
adeguatezza,idoneidade,0.54
privilegio,privilexio,0.09333333333333338
privo,carente,0.72
credibile,crible,0.05555555555555558
pernostico,pernostico,0.0
esasperato,exacerbado,0.3666666666666667
felicita,felicidade,0.1416666666666666
pertinenza,relevancia,0.5133333333333334
divergente,diverxente,0.09333333333333338
disciplina,disciplina,0.0
inferenza,conclusion,0.6518518518518519
pernicioso,perniciosa,0.09333333333333327
diffondere,difundir,0.2583333333333334
soddisfazione,satisfaccion,0.30000000000000016
meticoloso,meticuloso,0.09333333333333338
riverberare,reverberar,0.10666666666666669
sporadico,esporadicos,0.02962962962962956
influenza,influencia,0.11111111111111116
militanza,militancia,0.11111111111111116
clamoroso,rotundo,0.5047619047619047
consolidare,consolidar,0.013333333333333308
fornicazione,fornicacion,0.09696969696969693
sovversivo,subversivo,0.17333333333333334
senso,significado,0.45333333333333337
prospettiva,perspectiva,0.1696969696969698
resilienza,resiliencia,0.09999999999999998
mascherato,disfrazado,0.52
vicenda,vicisitude,0.39047619047619064
compiacente,compracente,0.08484848484848484
smussare,contundente,0.6583333333333334
perentorio,perentorio,0.0
comorbilita,comorbilidade,0.10303030303030292
comprensione,comprension,0.012121212121212088
intuizione,perspicacia,0.6799999999999999
aspettativa,expectativa,0.24242424242424243
assunzione,suposicion,0.42666666666666664
beneplacito,beneplacito,0.0
sotterfugio,subterfuxio,0.24242424242424243
pregiudizio,prexuizo,0.15833333333333355
esperienza,experiencia,0.19333333333333336
indifferente,indiferente,0.012121212121212088
consonanza,consonancia,0.09999999999999998
pretenzioso,pretencioso,0.08484848484848484
trascendere,transcender,0.08484848484848473
incommensurabile,inconmensurable,0.07111111111111112
intensita,intensidade,0.12592592592592589
quota,cota,0.25
belligerante,belixerante,0.09696969696969704
prominente,destacado,0.674074074074074
bisogno,necesidade,0.7428571428571429
superficiale,superficial,0.012121212121212088
riguardante,referente,0.4
gentilezza,bondade,0.6476190476190476
contenzioso,litixio,0.5428571428571429
indicibile,indicible,0.014814814814814725
animosita,animosidade,0.12592592592592589
intervento,intervencion,0.11333333333333329
compito,tarefa,0.711111111111111
vocabolario,vocabulario,0.08484848484848484
antagonismo,antagonismo,0.0
saluto,saudo,0.21333333333333337
resistenza,resistencia,0.09999999999999998
indifferenza,indiferenza,0.012121212121212088
reclamo,reclamacion,0.05714285714285716
capire,entender,0.711111111111111
suddetto,mencionado anteriormente,0.6833333333333333
successivo,posterior,0.5037037037037038
stereotipo,estereotipo,0.013333333333333308
integrita,integridade,0.12592592592592589
diversita,diversidade,0.12592592592592589
ambiguita,ambiguidade,0.12592592592592589
pubblicazione,liberar,0.5523809523809524
speculazione,especulacion,0.15555555555555556
indulgenza,indulxencia,0.19333333333333336
originario,orixinaria,0.18666666666666676
divergenza,diverxencia,0.19333333333333336
