es,ro,Alignment Score
a traves de,prin intermediul,0.5212121212121212
sonido,sunet,0.5466666666666666
barco,nava,0.6666666666666667
si,da,0.8666666666666667
amo,iubesc,0.9111111111111111
rey,rege,0.33333333333333337
el tiene,el are,0.3111111111111112
bien,bun,0.33333333333333337
pero,dar,0.6222222222222222
usar,utilizare,0.33333333333333337
mes,luna,0.8666666666666667
desaparecido,plecat,0.5222222222222223
mentiras,minciuni,0.5333333333333334
ala,aripa,0.3555555555555556
alguno,niste,0.6933333333333334
a el,-l,0.5333333333333334
eco,ecou,0.04444444444444451
camarada,prietene,0.7333333333333334
clan,clan,0.0
amar,dragoste,0.7166666666666668
hecho,fapt,0.85
mito,mit,0.04444444444444451
inclinacion,partinire,0.5777777777777778
tu,tu,0.0
como,la fel de,0.9166666666666667
caos,haos,0.2333333333333334
al azar,la intamplare,0.34285714285714286
estilo,pompon,0.7
ver,vedea,0.3555555555555556
accion,actiune,0.33333333333333337
sed,sete,0.33333333333333337
despues,dupa,0.5
entonces,apoi,0.7333333333333334
vida,viata,0.25
casa,casa,0.0
cima,varf,0.6500000000000001
saga,saga,0.0
miedo,frica,0.6933333333333334
ano,anus,0.33333333333333337
desierto,pustie,0.4666666666666667
suma,suma,0.0
abuela,bunica,0.43333333333333335
lema,motto,0.6666666666666667
mas alla de,dincolo,0.7523809523809524
tonto,prost,0.5466666666666666
destino,soarta,0.5777777777777777
idem,idem,0.0
urgente,urgent,0.022222222222222143
creer,crede,0.18666666666666676
para el,pentru,0.5777777777777777
adaptar,potrivi,0.49523809523809526
celo,zel,0.3555555555555556
el vino,el a venit,0.2952380952380952
pude,am putut,0.5166666666666666
todo,toate,0.45000000000000007
mas,mai mult,0.4222222222222223
malo,rau,0.6444444444444445
area,zona,0.6333333333333333
amar,dragoste,0.7166666666666668
brusco,nepoliticos,0.6222222222222222
aburrido,schiop,0.6000000000000001
cuota,cota,0.033333333333333326
para,pentru,0.5
sonido,sunet,0.5466666666666666
tierra,teren,0.3733333333333334
sera,va fi,0.6666666666666667
fase,faza,0.43333333333333335
ser,fiind,0.8888888888888888
ser,de sine,0.4222222222222223
detras,in spate,0.7222222222222222
dulce,dulce,0.0
moda,voga,0.4666666666666667
pronto,curand,0.6000000000000001
donde,unde,0.25
escarcha,bruma,0.5733333333333334
dios,dumnezeu,0.7
para el,pentru,0.5777777777777777
antes,inainte de,0.28
temprano,din timp,0.5333333333333334
yugo,jug,0.3555555555555556
bastante,destul de,0.5416666666666667
arte,arta,0.2333333333333334
alma,suflet,0.7
meta,poarta,0.4666666666666667
cuyo,a caror,0.5166666666666666
sillin,sa,0.6000000000000001
trae,aduce,0.45000000000000007
en,in,0.4666666666666667
celula,celula,0.0
contenido,continut,0.33333333333333337
estado,fost,0.4833333333333334
noya,noia,0.2333333333333334
rostro,fata,0.7
asco,dezgust,0.7166666666666668
asco,dezgust,0.7166666666666668
objetivo,tinta,0.56
enfocar,se concentreze,0.4666666666666667
eso,acea,0.6222222222222222
pose,poza,0.43333333333333335
salir,a iesi afara,0.4666666666666667
base,baza,0.43333333333333335
de acuerdo,bine,0.75
odiar,ura,0.6444444444444445
acto,act,0.04444444444444451
el tuvo,el a avut,0.38095238095238104
alto,inalt,0.25
todo,toate,0.45000000000000007
ocio,agrement,0.9
rito,rit,0.04444444444444451
dios mio,naiba,0.7333333333333334
voluntad,voi,0.4222222222222223
nuevo,nou,0.3555555555555555
agil,agil,0.0
amanecer,zorii,0.72
tesis,teza,0.45000000000000007
alto,inalt,0.25
bulto,umflatura,0.44000000000000006
nexo,legatura,0.7333333333333334
costa,tarm,0.45000000000000007
sagaz,sagace,0.19999999999999996
centro,miez,0.7
negro,negru,0.18666666666666676
termino,termen,0.1777777777777778
exito,succes,0.6933333333333334
mezclar,a amesteca,0.4190476190476191
noble,nobil,0.18666666666666676
sentido,sens,0.28333333333333355
afecto,afectiune,0.18888888888888877
verdugo,calau,0.7066666666666668
etica,etica,0.0
lleno,deplin,0.5466666666666666
mutual,reciproc,0.8444444444444446
tenue,tenue,0.0
hacer,a face,0.3733333333333334
asi,ca aceasta,0.48888888888888893
sutil,subtil,0.026666666666666727
fuerza,forta,0.3866666666666667
aqui,aici,0.43333333333333335
sin embargo,in orice caz,0.4787878787878789
seccion,sectiune,0.2857142857142858
eran,au fost,0.7
sanar,vindeca,0.56
fuerza,putere,0.4555555555555556
atrevido,indraznet,0.6333333333333333
idea,idee,0.2333333333333334
centro,miez,0.7
innato,innascut,0.1777777777777778
moral,morala,0.026666666666666727
acerca de,despre,0.47777777777777786
desde,de cand,0.3866666666666667
muy,foarte,0.9111111111111111
justo,corect,0.6933333333333334
honor,onora,0.18666666666666676
tal vez,poate,0.5466666666666666
torpe,neindemanatic,0.7866666666666666
sueno,vis,0.6222222222222222
razon,motiv,0.6933333333333334
futil,zadarnic,0.7333333333333334
etnicidad,etnie,0.2400000000000001
icono,pictograma,0.44000000000000006
adjunto,atasament,0.5047619047619047
amigo,prieten,0.72
egida,egida,0.0
tange,tange,0.0
lapso,interval,0.7066666666666668
haber,fi,0.9666666666666667
exponer,expune,0.1777777777777778
mutual,reciproc,0.8444444444444446
dengo,dengo,0.0
tiempo,timp,0.06666666666666676
pareja,cuplu,0.6933333333333334
entonces,apoi,0.7333333333333334
habil,abil,0.033333333333333326
cosecha,recolta,0.48571428571428565
bocal,bocal,0.0
ardid,siretlic,0.6000000000000001
en vivo,trai,0.7
pesar,a cantari,0.5733333333333334
saber,a sti,0.6799999999999999
causa,cauza,0.18666666666666676
gracia,gratie,0.3111111111111112
decir,a zice,0.6933333333333334
genero,gen,0.08888888888888902
obstaculo,obstacol,0.125
posesion,detinere,0.55
coser,a coase,0.22666666666666668
paria,paria,0.0
deber,datorie,0.5333333333333333
gritar,strigat,0.4555555555555555
tenaz,tenace,0.19999999999999996
descendencia,descendenti,0.09696969696969682
tamiz,sita,0.45000000000000007
ser,fiind,0.8888888888888888
buho,bufnita,0.4833333333333334
comun,uzual,0.6799999999999999
miedo,frica,0.6933333333333334
sostiene,tine,0.09999999999999998
todavia,inca,0.4833333333333333
alegria,ridica moralul,0.5523809523809524
apendice,apex,0.30000000000000016
afan,nerabdare,0.5666666666666667
ceda el paso,ceda,0.15000000000000002
ser,fi,0.9
valioso,vrednic,0.6095238095238096
cronograma,programa,0.1416666666666666
bonito,frumos,0.7
xibiu,xibiu,0.0
culto,cult,0.033333333333333326
mundo,lume,0.6666666666666667
atroz,atroce,0.19999999999999996
fugaz,trecatoare,0.76
censo,recensamant,0.28
tierra,teren,0.3733333333333334
fuerte,puternic,0.4666666666666668
adiccion,dependenta,0.6499999999999999
alias,aka,0.37777777777777777
hornear,coace,0.5733333333333334
valer,in valoare de,0.30666666666666675
denso,dens,0.033333333333333326
excepto,cu exceptia,0.18095238095238098
cinico,cinic,0.026666666666666727
adecuado,potrivit,0.7250000000000001
alcance,domeniul de aplicare,0.4
not(c)miembro,nu(c)membre,0.18787878787878776
naturaleza,natura,0.05555555555555558
senor,domnule,0.7066666666666667
camino,cale,0.4666666666666667
apogeo,ziua de glorie,0.5444444444444445
inofensivo,inofensiv,0.014814814814814725
trajes,costume,0.5888888888888889
utopia,utopie,0.15555555555555556
sadico,sadic,0.026666666666666727
alcance,domeniul de aplicare,0.4
enfasis,accent,0.5777777777777777
estupido,idiot,0.4
casual,casual,0.0
merito,merit,0.026666666666666727
alusion,aluzie,0.3222222222222223
hostil,ostil,0.026666666666666727
desear,dori,0.4833333333333334
esceptico,sceptic,0.03809523809523818
legado,mostenire,0.7333333333333334
derecho,drept,0.3866666666666667
apurarse,graba,0.5733333333333334
amable,bland,0.5333333333333333
extraterrestre,strain,0.5222222222222223
danino,daunatoare,0.3555555555555556
infame,infam,0.026666666666666727
cliche,cliseu,0.30000000000000016
pasion,pasiune,0.1777777777777778
excelente,excelent,0.016666666666666607
afable,afabil,0.15555555555555556
definir,defini,0.022222222222222143
adorno,podoaba,0.5888888888888889
regalo,cadou,0.56
extasis,extaz,0.21333333333333337
sobrio,sobru,0.19999999999999996
afiliacion,calitatea de membru,0.5733333333333335
bocadillos,gustari,0.6476190476190476
evaluar,evalua,0.022222222222222143
astuto,viclean,0.711111111111111
tambien,de asemenea,0.4285714285714286
ventosa,fraier,0.711111111111111
sesion,sesiune,0.1777777777777778
limite,prag,0.8666666666666667
solemne,solemn,0.022222222222222143
juzgar,a judeca,0.4666666666666667
gloria,glorie,0.15555555555555556
labaro,labaro,0.0
formal,formal,0.0
habito,obicei,0.5777777777777777
apreciacion,apreciere,0.29629629629629617
a pesar de,cu toate ca,0.6
oportunidad,oportunitate,0.17575757575757567
impulso,impuls,0.022222222222222143
alguien mas,altcineva,0.41481481481481497
eficaz,efectiv,0.44444444444444453
inactivo,inactiv,0.01904761904761898
jubilo,jubilare,0.1777777777777777
disponer,dispune,0.1523809523809525
difuso,difuz,0.19999999999999996
aliento,suflare,0.6095238095238096
hojas perennes,vesnic verde,0.5166666666666667
matiz,nuanta,0.56
faccion,factiune,0.2857142857142858
disculpar,scuza,0.2666666666666667
exilio,exil,0.050000000000000155
asignacion,misiune,0.5333333333333333
jugueton,jucaus,0.4666666666666667
abstenerse,se abtine,0.4
inferencia,deducere,0.5416666666666667
jurisdiccion,jurisdictie,0.17575757575757567
objeto,obiect,0.3111111111111112
acceso,acces,0.026666666666666727
acento,accent,0.15555555555555556
deseo,dorinta,0.5333333333333333
axioma,axioma,0.0
sancion,sanctiune,0.17142857142857149
gratis,gratuit,0.1777777777777778
tacito,tacit,0.026666666666666727
etereo,eteric,0.288888888888889
buscar,cautare,0.4444444444444444
mujer,femeie,0.5466666666666666
cortes,politicos,0.4555555555555555
codicia,lacomie,0.5047619047619049
enfermedad,boala,0.7466666666666668
grave,serios,0.6933333333333334
promesa,angajament,0.638095238095238
eximir,scuti,0.6933333333333334
codicia,lacomie,0.5047619047619049
miedo,frica,0.6933333333333334
vulgar,vulgar,0.0
remoto,la distanta,0.7666666666666667
placer,placere,0.022222222222222143
factual,faptice,0.48571428571428577
cuando,cand,0.06666666666666676
alguna vez,vreodata,0.6499999999999999
no me des,nu-mi da,0.45833333333333337
limpieza,curatenie,0.6333333333333333
empatia,empatie,0.13333333333333341
aurelio,aurelio,0.0
conyuge,sotie,0.56
estafa,inselatorie,0.6333333333333333
excepcion,exceptie,0.2416666666666667
personaje,caracter,0.5583333333333333
efimero,efemer,0.1777777777777778
prolijo,prelungit,0.4095238095238096
entrada,intrare,0.38095238095238104
idilico,idilic,0.022222222222222143
termino analogo,analogic,0.2833333333333333
genuino,autentic,0.5238095238095238
historia,poveste,0.6190476190476191
sublime,sublim,0.022222222222222143
familia,familie,0.13333333333333341
condolencias,condoleante,0.24242424242424243
inferir,deduce,0.711111111111111
apatico,apatic,0.022222222222222143
sucinto,succint,0.13333333333333341
significado,sens,0.5833333333333333
para redimir,a rascumpara,0.5000000000000001
astuto,viclean,0.711111111111111
prodigo,risipitor,0.5238095238095238
cultura,cultura,0.0
audacia,indrazneala,0.5428571428571429
estigma,stigmatizarea,0.19047619047619035
receso,pauza,0.8400000000000001
virtud,virtute,0.16666666666666663
refutar,respinge,0.6
iconico,simbolic,0.4095238095238096
magnifico,superb,0.8555555555555556
cinismo,cinism,0.022222222222222143
estable,grajd,0.72
urgir,indemn,0.6933333333333334
morbido,morbid,0.022222222222222143
trivial,banal,0.5333333333333333
mitigar,atenua,0.6000000000000001
sintesis,sinteza,0.2571428571428571
aspecto,aspect,0.022222222222222143
lujuria,pofta,0.6933333333333334
amigable,prietenos,0.6416666666666666
exito,succes,0.6933333333333334
felicidad,fericire,0.3416666666666667
imputar,imputa,0.022222222222222143
escoria,gunoi,0.56
surgir,apar,0.6666666666666667
anatema,anatema,0.0
ademas,in plus,0.7
candor,candoare,0.04444444444444451
libertinaje,depravare,0.5037037037037038
orgullo,mandrie,0.7238095238095238
extracto,extras,0.1777777777777777
litigio,litigii,0.13333333333333341
ansiar,a pofti,0.5777777777777777
a traves de,prin,0.7833333333333333
sin embargo,in orice caz,0.4787878787878789
frivolo,frivol,0.022222222222222143
coraje,curaj,0.21333333333333337
anhelo,dor,0.6666666666666667
nativo,nativ,0.026666666666666727
apodo,porecla,0.5466666666666666
ambiguo,ambiguu,0.13333333333333341
sano,sanatos,0.08333333333333337
austero,auster,0.022222222222222143
escroto,scrot,0.053333333333333344
amistad,prietenie,0.6476190476190476
sensitivo,sensibil,0.2416666666666667
quimera,himera,0.16666666666666663
ambicion,ambitie,0.2761904761904762
exceso,exces,0.026666666666666727
racismo,rasism,0.1777777777777778
relacion,relatie,0.2761904761904762
promocion,promovare,0.37037037037037024
erudito,erudit,0.022222222222222143
inmersion,imersiune,0.20740740740740748
modesto,modest,0.022222222222222143
parcial,partial,0.13333333333333341
coloso,colos,0.026666666666666727
demanda,cerere,0.7111111111111111
exotico,exotic,0.022222222222222143
conciso,concis,0.022222222222222143
ciencia,stiinta,0.49523809523809526
piedad,pietate,0.3222222222222223
volatil,volatil,0.0
notorio,notoriu,0.13333333333333341
extrano,bizar,0.7066666666666667
exencion,scutire,0.6285714285714286
actual,actual,0.0
sufrir,suferi,0.15555555555555556
hibrido,hibrid,0.022222222222222143
ganar,castiga,0.5333333333333333
intenso,intens,0.022222222222222143
inercia,inertie,0.2666666666666667
emocional,emotional,0.10370370370370374
ansioso,nerabdator,0.638095238095238
despota,despot,0.022222222222222143
sentido,sens,0.28333333333333355
claro,clar,0.033333333333333326
profano,profan,0.022222222222222143
difusion,difuziune,0.25
inherente,inerent,0.03809523809523818
respeto,respect,0.13333333333333341
peculiar,ciudat,0.47777777777777786
denigrar,denigra,0.01904761904761898
genocida,genocid,0.01904761904761898
consentir,consimtamant,0.311111111111111
diferido,amanata,0.8285714285714286
equidad,capitaluri proprii,0.7142857142857143
prudente,prudent,0.01904761904761898
pandemia,pandemic,0.1166666666666667
inminente,iminent,0.03809523809523818
esencia,esenta,0.16666666666666663
misogino,misogin,0.01904761904761898
desgracia,rusine,0.6222222222222222
invasor,invaziv,0.36190476190476195
alienado,instrainat,0.45833333333333337
eminente,eminent,0.01904761904761898
abstracto,abstract,0.016666666666666607
premisa,premisa,0.0
extension,extensie,0.125
empirico,empiric,0.01904761904761898
concepto,concept,0.01904761904761898
talarico,talaric,0.01904761904761898
astuto,viclean,0.711111111111111
elevar,crestere,0.47777777777777775
chica,fata,0.6499999999999999
reiterar,reitereaza,0.1333333333333333
lujuria,pofta,0.6933333333333334
ensueno,visarea cu ochii deschisi,0.6857142857142857
relativo,relativ,0.01904761904761898
prodigio,minune,0.7333333333333334
pasable,acceptabil,0.4190476190476191
reparar,reparatie,0.1523809523809524
gratitud,recunostinta,0.4833333333333334
analogia,analogie,0.1166666666666667
insercion,inserare,0.32499999999999984
modestia,modestie,0.1166666666666667
disculpa,scuze,0.4
activista,activist,0.016666666666666607
remision,iertare,0.6
inhospito,neospitalier,0.32592592592592584
por lo tanto,prin urmare,0.5515151515151515
mediocre,mediocru,0.1166666666666667
monotono,monoton,0.01904761904761898
despecho,ciuda,0.72
fomentar,fomenteaza,0.1333333333333333
inefable,inefabil,0.1166666666666667
apoyo,a sustine,0.72
retorica,retorica,0.0
preocupaciones,preocupari,0.1266666666666666
base,fundatie,0.5333333333333334
sinonimo,sinonim,0.01904761904761898
proceder,continua,0.7250000000000001
metodico,metodic,0.01904761904761898
primacia,primatul,0.31666666666666654
perfidia,perfidie,0.1166666666666667
rechazar,respinge,0.6166666666666667
historia,istorie,0.1523809523809525
por lo tanto,prin urmare,0.5515151515151515
demagogo,demagog,0.01904761904761898
complejo,complex,0.1428571428571429
consiste,consta,0.188888888888889
criterio,criteriu,0.1166666666666667
notivago,nuivago,0.1428571428571429
distinto,distinct,0.1166666666666667
espectro,spectru,0.1523809523809525
sucumbir,sucomba,0.2761904761904762
desinteresado,altruista,0.5259259259259259
amalgama,amalgam,0.01904761904761898
resultado,rezultat,0.2416666666666667
singular,singular,0.0
despertar,trezi,0.5733333333333334
paradoja,paradox,0.1428571428571429
mofa,bataie de joc,0.8
contexto,context,0.01904761904761898
proceso,proces,0.022222222222222143
elegible,eligibil,0.2333333333333334
comunion,comuniune,0.13333333333333341
palabra,cuvant,0.7111111111111111
meta,poarta,0.4666666666666667
reflejar,reflectati,0.25
valiente,neinfricat,0.5583333333333333
maestria,maiestrie,0.13333333333333341
sin embargo,cu toate acestea,0.6424242424242423
endemico,endemice,0.1166666666666667
diseno,proiecta,0.6111111111111112
legal,legale,0.026666666666666727
problema,problema,0.0
util,util,0.0
instigar,instiga,0.01904761904761898
increible,incredibil,0.11851851851851858
epifania,epifanie,0.1166666666666667
redencion,rascumparare,0.6592592592592592
a traves de,prin,0.7833333333333333
paralelo,paralel,0.01904761904761898
insipido,lipsit de gust,0.5
resuelto,hotarat,0.6190476190476191
inmanente,imanent,0.03809523809523818
generico,generic,0.01904761904761898
cordura,sanatate psihica,0.6761904761904762
perspicaz,profund,0.6190476190476191
reciproco,reciproc,0.016666666666666607
concesion,concesiune,0.11851851851851858
impresion,imprimare,0.37037037037037035
escrupulo,scrupul,0.03809523809523818
superfluo,de prisos,0.5777777777777777
rectificar,rectifica,0.014814814814814725
paradigma,paradigma,0.0
dicotomia,dihotomie,0.20740740740740748
objetivo,scop,0.7166666666666668
presuncion,prezumtie,0.40740740740740755
diseno,proiecta,0.6111111111111112
hipocrita,ipocrit,0.03809523809523818
ratificar,ratifica,0.016666666666666607
implicito,implicit,0.016666666666666607
plenitud,plenitudine,0.033333333333333215
basico,esential,0.6111111111111112
hegemonia,hegemonie,0.10370370370370374
corolario,corolar,0.028571428571428692
incidente,incident,0.016666666666666607
extrano,ciudat,0.711111111111111
altruismo,altruism,0.016666666666666607
vagabundo,vagabond,0.13333333333333341
altruista,altruist,0.016666666666666607
hermetico,ermetic,0.03809523809523818
aleatorio,aleatoriu,0.10370370370370374
esperanza,speranta,0.13333333333333341
promiscuo,promiscuu,0.10370370370370374
persuadir,convinge,0.7333333333333334
confianza,incredere,0.6518518518518519
adrede,delibera,0.47777777777777775
sapiencia,intelepciune,0.5037037037037038
indeleble,de nesters,0.49629629629629635
tambien,de asemenea,0.4285714285714286
insignificante,mic,0.5777777777777777
diligente,harnic,0.7444444444444445
impetuoso,impetuos,0.016666666666666607
descripcion,descriere,0.29629629629629617
alegrarse,bucura,0.6000000000000001
renunciar,demisionat,0.5851851851851853
inusual,neobisnuit,0.523809523809524
eminencia,eminenta,0.125
compasion,compasiune,0.11851851851851858
prudencia,prudenta,0.125
pretension,pretensionare,0.026666666666666616
discrecion,discretie,0.2148148148148148
analitico,analitic,0.016666666666666607
explicito,explicit,0.016666666666666607
comun,comun,0.0
percepcion,perceptie,0.2148148148148148
factible,fezabil,0.39047619047619053
nostalgia,nostalgie,0.10370370370370374
subjetivo,subiectiv,0.20740740740740748
autonomia,autonomie,0.10370370370370374
autoctono,autohton,0.13333333333333341
resolucion,rezolutie,0.31851851851851853
compania,companie,0.1166666666666667
desden,dispret,0.47777777777777786
confiable,demn de incredere,0.6370370370370371
disension,disensiuni,0.11851851851851858
expresion,expresie,0.125
constante,constant,0.016666666666666607
supresion,suprimare,0.37037037037037035
taciturno,taciturn,0.016666666666666607
imparcial,impartial,0.10370370370370374
autentico,autentic,0.016666666666666607
paciencia,rabdare,0.638095238095238
ignorante,ignorant,0.016666666666666607
arrogante,arogant,0.03809523809523818
execrable,execrabil,0.10370370370370374
de lo contrario,in caz contrar,0.3142857142857144
discurso,discurs,0.01904761904761898
restriccion,restrictie,0.19333333333333336
degradante,injositoare,0.5933333333333334
obstinado,incapatanat,0.5777777777777777
consonante,consoana,0.1333333333333333
presumir,lauda,0.7333333333333334
estructura,cadru,0.5866666666666667
cognitivo,cognitive,0.10370370370370374
adyacente,adiacent,0.13333333333333341
elocuente,elocvent,0.13333333333333341
instancia,instanta,0.125
interes,interes,0.0
limite,la limita,0.20000000000000007
sintetico,sintetic,0.016666666666666607
inminencia,iminenta,0.1416666666666666
sumision,supunere,0.5250000000000001
presagio,augur,0.5733333333333334
importante,relevante,0.3851851851851852
irascible,irascibil,0.10370370370370374
obstaculo,impiedicare,0.7555555555555555
excelente,grozav,0.8555555555555556
libertad,libertate,0.125
enganar,insela,0.5888888888888889
adquisicion,achizitie,0.5185185185185186
ambicioso,ambitios,0.13333333333333341
plausible,plauzibil,0.20740740740740748
humildad,umilinta,0.33333333333333337
conviccion,condamnare,0.5000000000000001
primeros frutos,primele fructe,0.257142857142857
diccionario,dictionar,0.12592592592592589
intrinseco,intrinsec,0.014814814814814725
hacer sin,fa fara,0.638095238095238
presuntuoso,prezumtios,0.29333333333333345
diligencia,diligenta,0.11111111111111116
corroborar,coroboreaza,0.18666666666666676
clima,vreme,0.6933333333333334
detrimento,in detriment,0.10666666666666669
madurez,maturitate,0.2952380952380953
parsimonia,parcimonie,0.18666666666666676
referencia,referinta,0.19999999999999996
inspiracion,inspiratie,0.19333333333333336
inexorable,inexorabil,0.09333333333333327
pragmatico,pragmatic,0.014814814814814725
arrogante,arogant,0.03809523809523818
incipiente,incipient,0.014814814814814725
disruptivo,perturbatoare,0.5466666666666666
hermandad de mujeres,sorority,0.75
serenidad,seninatate,0.4
arbitrario,arbitrar,0.025000000000000022
indulgente,indulgent,0.014814814814814725
propicio,de bun augur,0.7583333333333333
iniquidad,nelegiuirea,0.41481481481481497
importante,relevante,0.3851851851851852
ingenio,spirit,0.6000000000000001
resignacion,demisie,0.5428571428571429
hipocresia,ipocrizie,0.2962962962962963
defensor,avocat,0.7333333333333334
precedente,precedent,0.014814814814814725
vistazo,o privire,0.6190476190476191
incidencia,incidenta,0.11111111111111116
halagada,flatat,0.47777777777777775
susceptible,susceptibil,0.08484848484848473
sin embargo,cu toate acestea,0.6424242424242423
disposicion,dispozitie,0.28666666666666674
excentrico,excentric,0.014814814814814725
subestimar,subestima,0.014814814814814725
preliminar,preliminar,0.0
tribulacion,necazul,0.638095238095238
deducir,deduce,0.16666666666666663
flematico,flegmatic,0.10370370370370374
anacronico,anacronic,0.014814814814814725
equivocado,gresit,0.6333333333333333
escrutinio,examinare,0.5703703703703704
retrogrado,retrograd,0.014814814814814725
indolencia,indolenta,0.11111111111111116
excelencia,excelenta,0.11111111111111116
interferencia,interferenta,0.08333333333333337
democracia,democratie,0.18666666666666676
desgracia,ghinion,0.638095238095238
compasivo,milos,0.43999999999999995
contemplar,contempla,0.014814814814814725
importante,important,0.014814814814814725
peyorativo,peiorativ,0.11851851851851858
restringir,restrange,0.2148148148148148
sintetizar,sintetiza,0.014814814814814725
proposicion,propozitie,0.28666666666666674
signatario,semnatar,0.24166666666666659
primordial,primordial,0.0
situacion,situatie,0.2416666666666667
coactivo,coercitiv,0.2416666666666667
resolucion,rezolutie,0.31851851851851853
intrinseco,intrinsec,0.014814814814814725
subyacente,subiacent,0.11851851851851858
meta,poarta,0.4666666666666667
itinerario,itinerar,0.025000000000000022
esplendido,splendid,0.033333333333333326
alteridad,alteritate,0.2148148148148148
pecuniario,pecuniara,0.11111111111111116
espontaneo,spontan,0.04761904761904767
designacion,desemnare,0.4
transeunte,trecator,0.45000000000000007
necesario,necesar,0.028571428571428692
constancia,constanta,0.11111111111111116
sarcastico,sarcastic,0.014814814814814725
pusilC/nime,pusilC/nime,0.0
idoneidad,adecvarea,0.5777777777777777
privilegio,privilegiu,0.09333333333333327
vacio,lipsit,0.7066666666666668
creible,credibil,0.1523809523809525
pernostico,pernostic,0.014814814814814725
exacerbado,exacerbata,0.17333333333333334
felicidad,fericire,0.3416666666666667
relevancia,relevanta,0.11111111111111116
divergente,divergente,0.0
disciplina,disciplina,0.0
inferencia,deducere,0.5416666666666667
pernicioso,pernicios,0.014814814814814725
diseminar,diseminati,0.11111111111111116
satisfaccion,satisfactie,0.17575757575757567
meticuloso,meticulos,0.014814814814814725
reverberar,reverbera,0.014814814814814725
esporadico,sporadic,0.033333333333333326
influencia,influenta,0.11111111111111116
militancia,militantism,0.19333333333333336
rotundo,rasunator,0.4095238095238096
consolidar,consolida,0.014814814814814725
fornicacion,curvie,0.6333333333333333
subversivo,subversiv,0.014814814814814725
significado,sens,0.5833333333333333
perspectiva,perspectiva,0.0
resiliencia,rezistenta,0.36
disfrazado,deghizat,0.45000000000000007
vicisitud,vicisitudine,0.02962962962962956
suficiente,multumit,0.5666666666666667
desafilado,bont,0.75
perentorio,peremptorie,0.19333333333333336
comorbilidad,comorbiditate,0.22777777777777763
comprension,intelegere,0.6666666666666667
conocimiento,perspicacitate,0.5777777777777777
expectativa,asteptare,0.49629629629629635
suposicion,presupunere,0.5133333333333334
beneplacito,beneplacito,0.0
subterfugio,subterfugiu,0.08484848484848473
prejuicio,prejudecata,0.311111111111111
experiencia,experienta,0.09999999999999998
indiferente,indiferent,0.013333333333333308
consonancia,consonanta,0.09999999999999998
pretencioso,pretentios,0.10666666666666669
trascender,transcende,0.09333333333333327
inconmensurable,nemasurata,0.3933333333333332
intensidad,intensitate,0.19333333333333336
cuota,cota,0.033333333333333326
beligerante,beligerant,0.013333333333333308
prominente,proeminent,0.09333333333333327
necesidad,nevoie,0.4666666666666668
superficial,superficial,0.0
sobre,cu privire la,0.6266666666666667
amabilidad,bunatate,0.6583333333333334
litigio,litigii,0.13333333333333341
