es,fr,Alignment Score
incidente,incident,0.016666666666666607
extrano,etrange,0.2571428571428571
altruismo,altruisme,0.10370370370370374
vagabundo,clochard,0.6499999999999999
altruista,altruiste,0.10370370370370374
hermetico,hermetique,0.19999999999999996
aleatorio,aleatoire,0.19999999999999996
esperanza,espoir,0.3333333333333335
promiscuo,promiscuite,0.11851851851851847
persuadir,persuader,0.10370370370370374
confianza,confiance,0.19259259259259254
adrede,volontaire,0.48888888888888893
sapiencia,sapience,0.125
indeleble,indelebile,0.014814814814814725
tambien,aussi,0.56
insignificante,petit,0.64
diligente,diligent,0.016666666666666607
impetuoso,impetueux,0.28148148148148144
descripcion,description,0.08484848484848484
alegrarse,rejouir,0.6190476190476191
renunciar,resigne,0.5047619047619049
inusual,inhabituel,0.40000000000000013
eminencia,eminence,0.125
compasion,compassion,0.014814814814814725
prudencia,prudence,0.125
pretension,pretention,0.09333333333333338
discrecion,discretion,0.09333333333333338
analitico,analytique,0.3037037037037037
explicito,explicite,0.10370370370370374
comun,ordinaire,0.5866666666666667
percepcion,perception,0.09333333333333338
factible,realisable,0.3583333333333334
nostalgia,nostalgie,0.10370370370370374
subjetivo,subjectif,0.19999999999999996
autonomia,autonomie,0.10370370370370374
autoctono,autochtone,0.11851851851851858
resolucion,resolution,0.09333333333333338
compania,entreprise,0.6583333333333334
desden,mepris,0.5777777777777777
confiable,digne de confiance,0.2666666666666666
disension,dissension,0.014814814814814725
expresion,expression,0.014814814814814725
constante,constante,0.0
supresion,suppression,0.029629629629629672
taciturno,taciturne,0.10370370370370374
imparcial,impartial,0.10370370370370374
autentico,authentique,0.21481481481481468
paciencia,patience,0.2416666666666667
ignorante,ignorant,0.016666666666666607
arrogante,arrogant,0.016666666666666607
execrable,execrable,0.0
de lo contrario,sinon,0.6533333333333333
discurso,discours,0.1166666666666667
restriccion,restriction,0.08484848484848484
degradante,humiliant,0.562962962962963
obstinado,obstine,0.1523809523809524
consonante,consonne,0.033333333333333326
presumir,se vanter,0.6333333333333333
estructura,cadre,0.5866666666666667
cognitivo,cognitif,0.125
adyacente,adjacent,0.13333333333333341
elocuente,eloquent,0.13333333333333341
instancia,exemple,0.8380952380952381
interes,interet,0.13333333333333341
limite,limite,0.0
sintetico,synthetique,0.31851851851851853
inminencia,imminence,0.2148148148148148
sumision,soumission,0.033333333333333326
presagio,presage,0.1428571428571429
importante,pertinent,0.40740740740740744
irascible,irascible,0.0
obstaculo,obstacle,0.13333333333333341
excelente,super,0.7333333333333334
libertad,liberte,0.1428571428571429
enganar,tromper,0.5904761904761905
adquisicion,acquisition,0.1696969696969698
ambicioso,ambitieux,0.3851851851851852
plausible,plausible,0.0
humildad,humilite,0.31666666666666654
conviccion,conviction,0.09333333333333338
primeros frutos,premiers fruits,0.18222222222222217
diccionario,dictionnaire,0.2606060606060606
intrinseco,intrinseque,0.17999999999999994
hacer sin,faire sans,0.4222222222222223
presuntuoso,presomptueux,0.3939393939393939
diligencia,diligence,0.11111111111111116
corroborar,corroborer,0.09333333333333338
clima,meteo,0.6799999999999999
detrimento,detriment,0.014814814814814725
madurez,maturite,0.2761904761904762
parsimonia,parcimonie,0.18666666666666676
referencia,reference,0.11111111111111116
inspiracion,inspiration,0.08484848484848484
inexorable,inexorable,0.0
pragmatico,pragmatique,0.17999999999999994
arrogante,arrogant,0.016666666666666607
incipiente,naissant,0.4666666666666667
disruptivo,perturbateur,0.6200000000000001
hermandad de mujeres,sororite,0.6499999999999999
serenidad,serenite,0.22499999999999998
arbitrario,arbitraire,0.17999999999999994
indulgente,indulgent,0.014814814814814725
propicio,de bon augure,0.7666666666666667
iniquidad,iniquite,0.22499999999999998
importante,pertinent,0.40740740740740744
ingenio,esprit,0.6000000000000001
resignacion,demission,0.4
hipocresia,hypocrisie,0.28
defensor,avocat,0.7333333333333334
precedente,precedent,0.014814814814814725
vistazo,apercu,0.7111111111111111
incidencia,incidence,0.11111111111111116
halagada,flatte,0.6000000000000001
susceptible,sensible,0.25
sin embargo,neanmoins,0.49629629629629635
disposicion,disposition,0.08484848484848484
excentrico,excentrique,0.17999999999999994
subestimar,sous-estimer,0.20666666666666678
preliminar,preliminaire,0.026666666666666616
tribulacion,tribulations,0.09696969696969693
deducir,deduire,0.13333333333333341
flematico,flegmatique,0.21481481481481468
anacronico,anachronique,0.19333333333333325
equivocado,trompe,0.7333333333333334
escrutinio,examen minutieux,0.5466666666666666
retrogrado,retrograde,0.09333333333333327
indolencia,indolence,0.11111111111111116
excelencia,excellence,0.17999999999999994
interferencia,ingerence,0.23703703703703694
democracia,democratie,0.18666666666666676
desgracia,malheur,0.638095238095238
compasivo,compatissant,0.311111111111111
contemplar,contempler,0.09333333333333338
importante,important,0.014814814814814725
peyorativo,pejoratif,0.2148148148148148
restringir,limiter,0.5333333333333333
sintetizar,synthetiser,0.2799999999999999
proposicion,proposition,0.08484848484848484
signatario,signataire,0.17999999999999994
primordial,primordial,0.0
situacion,situation,0.10370370370370374
coactivo,coercitif,0.3500000000000001
resolucion,resolution,0.09333333333333338
intrinseco,intrinseque,0.17999999999999994
subyacente,sous-jacent,0.27333333333333343
meta,but,0.6222222222222222
itinerario,itineraire,0.17999999999999994
esplendido,splendide,0.11851851851851858
alteridad,alterite,0.22499999999999998
pecuniario,pecuniaire,0.17999999999999994
espontaneo,spontane,0.033333333333333326
designacion,designation,0.08484848484848484
transeunte,passant,0.4285714285714286
necesario,necessaire,0.2148148148148148
constancia,constance,0.11111111111111116
sarcastico,sarcastique,0.17999999999999994
pusilC/nime,pusilC/nime,0.0
idoneidad,pertinence,0.5703703703703704
privilegio,privilege,0.11111111111111116
vacio,depourvu,0.72
creible,croyable,0.2571428571428571
pernostico,pernostique,0.17999999999999994
exacerbado,exacerbe,0.1333333333333333
felicidad,bonheur,0.7428571428571429
relevancia,pertinence,0.5133333333333334
divergente,divergent,0.014814814814814725
disciplina,discipline,0.09333333333333327
inferencia,inference,0.11111111111111116
pernicioso,pernicieux,0.2533333333333333
diseminar,disseminer,0.11851851851851858
satisfaccion,satisfaction,0.07777777777777772
meticuloso,meticuleux,0.2533333333333333
reverberar,reverberer,0.09333333333333338
esporadico,sporadique,0.2599999999999999
influencia,influence,0.11111111111111116
militancia,militantisme,0.19999999999999996
rotundo,retentissant,0.5619047619047619
consolidar,consolider,0.09333333333333338
fornicacion,fornication,0.08484848484848484
subversivo,subversif,0.11111111111111116
significado,signification,0.10303030303030292
perspectiva,perspective,0.08484848484848473
resiliencia,resilience,0.09999999999999987
disfrazado,deguise,0.5142857142857143
vicisitud,vicissitudes,0.03703703703703687
suficiente,complaisant,0.52
desafilado,emousse,0.638095238095238
perentorio,peremptoire,0.2799999999999999
comorbilidad,comorbidite,0.23636363636363633
comprension,comprehension,0.018181818181818188
conocimiento,apercu,0.7666666666666667
expectativa,attente,0.638095238095238
suposicion,hypothese,0.5777777777777778
beneplacito,beneplacito,0.0
subterfugio,subterfuge,0.09999999999999987
prejuicio,prejuge,0.2666666666666666
experiencia,experience,0.09999999999999987
indiferente,indifferent,0.08484848484848473
consonancia,consonance,0.09999999999999987
pretencioso,pretentieux,0.31515151515151507
trascender,transcender,0.013333333333333308
inconmensurable,incommensurable,0.06222222222222218
intensidad,intensite,0.19999999999999996
cuota,quota,0.18666666666666676
beligerante,belligerant,0.08484848484848473
prominente,eminent,0.17142857142857149
necesidad,besoin,0.48888888888888893
superficial,superficiel,0.08484848484848473
sobre,concernant,0.6133333333333333
amabilidad,gentillesse,0.6733333333333333
litigio,litige,0.16666666666666663
indecible,indicible,0.10370370370370374
animosidad,animosite,0.19999999999999996
intervencion,intervention,0.07777777777777772
tarea,tache,0.36
vocabulario,vocabulaire,0.16363636363636347
antagonismo,antagonisme,0.08484848484848473
saludo,salutation,0.21111111111111125
resistencia,resistance,0.19333333333333336
indiferencia,indifference,0.1499999999999999
afirmar,reclamer,0.5047619047619049
comprender,comprendre,0.09333333333333327
citado,susmentionne,0.6444444444444445
