en,ro,Alignment Score
genre,gen,0.06666666666666687
obstacle,obstacol,0.1166666666666667
possession,detinere,0.5666666666666667
sew,a coase,0.3999999999999999
pariah,paria,0.026666666666666727
duty,datorie,0.5166666666666666
shout,strigat,0.5333333333333333
tenacious,tenace,0.18888888888888877
offspring,descendenti,0.674074074074074
sieve,sita,0.45000000000000007
being,fiind,0.5333333333333333
owl,bufnita,0.9333333333333333
common,uzual,0.8400000000000001
fear,frica,0.45000000000000007
holds,tine,0.85
yet,inca,0.8666666666666667
cheer,ridica moralul,0.6533333333333333
apex,apex,0.0
eagerness,nerabdare,0.4814814814814815
give way,ceda,0.55
be,fi,0.8666666666666667
worthy,vrednic,0.7222222222222222
schedule,programa,0.8166666666666668
pretty,frumos,0.7111111111111111
xibiu,xibiu,0.0
cult,cult,0.0
world,lume,0.6666666666666667
atrocious,atroce,0.18888888888888877
fleeting,trecatoare,0.6499999999999999
census,recensamant,0.3555555555555556
land,teren,0.6666666666666667
strong,puternic,0.48888888888888893
addiction,dependenta,0.5777777777777777
aka,aka,0.0
bake,coace,0.4833333333333334
worth,in valoare de,0.6533333333333333
dense,dens,0.033333333333333326
except,cu exceptia,0.07777777777777772
cynical,cinic,0.2266666666666668
suitable,potrivit,0.625
scope,domeniul de aplicare,0.5733333333333334
not(c)member,nu(c)membre,0.17575757575757567
nature,natura,0.15555555555555556
mister,domnule,0.5888888888888889
path,cale,0.6666666666666667
heyday,ziua de glorie,0.7888888888888889
harmless,inofensiv,0.6499999999999999
suits,costume,0.56
utopia,utopie,0.15555555555555556
sadist,sadic,0.19999999999999996
scope,domeniul de aplicare,0.5733333333333334
emphasis,accent,0.7222222222222222
idiot,idiot,0.0
casual,casual,0.0
merit,merit,0.0
allusion,aluzie,0.34444444444444455
hostile,ostil,0.053333333333333344
wish,dori,0.6500000000000001
skeptical,sceptic,0.16190476190476188
legacy,mostenire,0.7333333333333334
straight,drept,0.5733333333333334
hurry,graba,0.6933333333333334
gentle,bland,0.7066666666666668
alien,strain,0.3733333333333333
harmful,daunatoare,0.638095238095238
infamous,infam,0.05333333333333323
cliche,cliseu,0.30000000000000016
passion,pasiune,0.2666666666666667
excellent,excelent,0.016666666666666607
affable,afabil,0.1777777777777778
define,defini,0.15555555555555556
adornment,podoaba,0.6285714285714286
gift,cadou,0.85
ecstasy,extaz,0.4
sober,sobru,0.18666666666666676
membership,calitatea de membru,0.4866666666666667
munchies,gustari,0.6190476190476191
assess,evalua,0.6888888888888889
cunning,viclean,0.6095238095238096
too,de asemenea,1.0222222222222221
sucker,fraier,0.5555555555555556
session,sesiune,0.2666666666666667
threshold,prag,0.75
solemn,solemn,0.0
to judge,a judeca,0.33333333333333337
glory,glorie,0.19999999999999996
labaro,labaro,0.0
formal,formal,0.0
habit,obicei,0.5466666666666666
appreciation,apreciere,0.311111111111111
although,cu toate ca,0.6583333333333334
opportunity,oportunitate,0.16969696969696957
momentum,impuls,0.6111111111111112
someone else,altcineva,0.674074074074074
effective,efectiv,0.03809523809523818
idle,inactiv,0.6833333333333333
jubilation,jubilare,0.23333333333333328
dispose,dispune,0.24761904761904763
diffuse,difuz,0.2266666666666668
breath,suflare,0.5777777777777777
evergreen,vesnic verde,0.41481481481481486
nuance,nuanta,0.288888888888889
faction,factiune,0.1523809523809525
excuse,scuza,0.5466666666666666
exile,exil,0.033333333333333326
assignment,misiune,0.4285714285714286
playful,jucaus,0.6000000000000001
abstain,se abtine,0.2857142857142857
inference,deducere,0.5333333333333334
jurisdiction,jurisdictie,0.09090909090909083
object,obiect,0.15555555555555556
access,acces,0.026666666666666727
accent,accent,0.0
desire,dorinta,0.5888888888888888
axiom,axioma,0.026666666666666727
sanction,sanctiune,0.13333333333333341
free,gratuit,0.7166666666666668
tacit,tacit,0.0
ethereal,eteric,0.3222222222222223
search,cautare,0.5888888888888889
woman,femeie,0.7066666666666668
courteous,politicos,0.49629629629629635
greed,lacomie,0.7066666666666667
ailment,boala,0.56
serious,serios,0.022222222222222143
pledge,angajament,0.6222222222222222
exempt,scuti,0.6933333333333334
greed,lacomie,0.7066666666666667
fear,frica,0.45000000000000007
vulgar,vulgar,0.0
remote,la distanta,0.7666666666666667
pleasure,placere,0.2571428571428571
factual,faptice,0.48571428571428577
when,cand,0.6499999999999999
ever,vreodata,0.5166666666666668
do not give me,nu-mi da,0.6000000000000001
cleanliness,curatenie,0.41481481481481497
empathy,empatie,0.24761904761904763
aurelio,aurelio,0.0
spouse,sotie,0.3733333333333334
scam,inselatorie,0.6000000000000001
exception,exceptie,0.125
character,caracter,0.016666666666666607
ephemeral,efemer,0.19999999999999996
long-winded,prelungit,0.5037037037037038
entry,intrare,0.40000000000000013
idyllic,idilic,0.16666666666666663
analogue,analogic,0.21666666666666667
genuine,autentic,0.5238095238095238
story,poveste,0.5466666666666666
sublime,sublim,0.022222222222222143
family,familie,0.16666666666666663
condolences,condoleante,0.1696969696969698
infer,deduce,0.6933333333333334
apathetic,apatic,0.04444444444444451
succinct,succint,0.01904761904761898
meaning,sens,0.5333333333333334
to redeem,a rascumpara,0.5925925925925926
cunning,viclean,0.6095238095238096
prodigal,risipitor,0.6333333333333333
culture,cultura,0.13333333333333341
audacity,indrazneala,0.6583333333333334
stigma,stigmatizarea,0.08888888888888857
recess,pauza,0.8400000000000001
virtue,virtute,0.022222222222222143
refute,respinge,0.4444444444444444
iconic,simbolic,0.34444444444444444
superb,superb,0.0
cynicism,cinism,0.18888888888888888
stable,grajd,0.7066666666666668
urge,indemn,0.6833333333333333
morbid,morbid,0.0
trivial,banal,0.5333333333333333
mitigate,atenua,0.4444444444444444
synthesis,sinteza,0.4095238095238096
aspect,aspect,0.0
lust,pofta,0.6666666666666667
friendly,prietenos,0.45000000000000007
success,succes,0.022222222222222143
happiness,fericire,0.6499999999999999
impute,imputa,0.15555555555555556
scum,gunoi,0.6833333333333333
emerge,apar,0.6833333333333333
anathema,anatema,0.01904761904761898
in addition,in plus,0.5142857142857145
candor,candoare,0.04444444444444451
debauchery,depravare,0.48888888888888904
pride,mandrie,0.3866666666666667
excerpt,extras,0.43333333333333335
litigation,litigii,0.17142857142857149
to crave,a pofti,0.7238095238095238
through,prin,0.7166666666666668
however,in orice caz,0.6571428571428571
frivolous,frivol,0.04444444444444429
courage,curaj,0.2266666666666668
longing,dor,0.7111111111111111
native,nativ,0.026666666666666727
nickname,porecla,0.6285714285714286
ambiguous,ambiguu,0.03809523809523818
wholesome,sanatos,0.6285714285714286
austere,auster,0.022222222222222143
scrotum,scrot,0.039999999999999925
friendship,prietenie,0.40740740740740744
sensible,sensibil,0.1166666666666667
chimera,himera,0.022222222222222143
ambition,ambitie,0.1428571428571429
excess,exces,0.026666666666666727
racism,rasism,0.15555555555555556
relationship,relatie,0.18095238095238086
promotion,promovare,0.37037037037037024
erudite,erudit,0.022222222222222143
immersion,imersiune,0.20740740740740748
modest,modest,0.0
partial,partial,0.0
colossus,colos,0.05333333333333323
demand,cerere,0.7
exotic,exotic,0.0
concise,concis,0.022222222222222143
science,stiinta,0.5047619047619049
piety,pietate,0.21333333333333337
volatile,volatil,0.01904761904761898
notorious,notoriu,0.03809523809523818
bizarre,bizar,0.039999999999999925
exemption,scutire,0.6285714285714286
current,actual,0.5777777777777777
suffer,suferi,0.15555555555555556
hybrid,hibrid,0.15555555555555556
earn,castiga,0.7
intense,intens,0.022222222222222143
inertia,inertie,0.13333333333333341
emotional,emotional,0.0
anxious,nerabdator,0.6476190476190476
despot,despot,0.0
sense,sens,0.033333333333333326
clear,clar,0.033333333333333326
profane,profan,0.022222222222222143
diffusion,difuziune,0.3111111111111112
inherent,inerent,0.01904761904761898
respect,respect,0.0
peculiar,ciudat,0.47777777777777786
denigrate,denigra,0.028571428571428692
genocidal,genocid,0.028571428571428692
consent,consimtamant,0.18095238095238098
deferred,amanata,0.8285714285714286
equity,capitaluri proprii,0.711111111111111
prudent,prudent,0.0
pandemic,pandemic,0.0
imminent,iminent,0.01904761904761898
essence,esenta,0.3111111111111112
misogynist,misogin,0.17142857142857149
disgrace,rusine,0.5888888888888889
invasive,invaziv,0.1523809523809525
alienated,instrainat,0.3925925925925926
eminent,eminent,0.0
abstract,abstract,0.0
premise,premisa,0.13333333333333341
extension,extensie,0.125
empirical,empiric,0.028571428571428692
concept,concept,0.0
talaric,talaric,0.0
cunning,viclean,0.6095238095238096
rise,crestere,0.33333333333333337
girl,fata,0.8333333333333334
reiterate,reitereaza,0.19999999999999996
lust,pofta,0.6666666666666667
daydream,visarea cu ochii deschisi,0.5833333333333335
relative,relativ,0.01904761904761898
prodigy,minune,0.7222222222222222
passable,acceptabil,0.45833333333333337
repair,reparatie,0.18888888888888877
gratitude,recunostinta,0.5111111111111111
analogy,analogie,0.1428571428571429
insertion,inserare,0.32499999999999984
modesty,modestie,0.1428571428571429
apology,scuze,0.8533333333333334
activist,activist,0.0
remission,iertare,0.6095238095238096
inhospitable,neospitalier,0.23333333333333328
therefore,prin urmare,0.5777777777777777
mediocre,mediocru,0.1166666666666667
monotonous,monoton,0.03809523809523796
spite,ciuda,0.6933333333333334
foment,fomenteaza,0.05555555555555558
ineffable,inefabil,0.13333333333333341
support,a sustine,0.5142857142857143
rhetoric,retorica,0.1166666666666667
concerns,preocupari,0.575
foundation,fundatie,0.1416666666666666
synonym,sinonim,0.2666666666666667
proceed,continua,0.7238095238095238
methodical,metodic,0.04761904761904767
primacy,primatul,0.2571428571428571
perfidy,perfidie,0.1428571428571429
reject,respinge,0.4555555555555556
history,istorie,0.2571428571428571
therefore,prin urmare,0.5777777777777777
demagogue,demagog,0.028571428571428692
complex,complex,0.0
it consists,consta,0.2333333333333334
criterion,criteriu,0.125
notivago,nuivago,0.1428571428571429
distinct,distinct,0.0
spectrum,spectru,0.01904761904761898
succumb,sucomba,0.2571428571428571
selfless,altruista,0.6499999999999999
amalgam,amalgam,0.0
outcome,rezultat,0.6190476190476191
singular,singular,0.0
arouse,trezi,0.5466666666666667
paradox,paradox,0.0
mockery,bataie de joc,0.6571428571428571
context,context,0.0
process,proces,0.022222222222222143
eligible,eligibil,0.1166666666666667
communion,comuniune,0.20740740740740748
word,cuvant,0.8666666666666667
goal,poarta,0.5
reflect,reflectati,0.03809523809523796
fearless,neinfricat,0.6500000000000001
mastery,maiestrie,0.2761904761904761
nevertheless,cu toate acestea,0.5944444444444446
endemic,endemice,0.01904761904761898
design,proiecta,0.7333333333333334
legal,legale,0.026666666666666727
problem,problema,0.01904761904761898
helpful,util,0.4833333333333333
instigate,instiga,0.028571428571428692
incredible,incredibil,0.09333333333333327
epiphany,epifanie,0.33333333333333337
redemption,rascumparare,0.6000000000000001
through,prin,0.7166666666666668
parallel,paralel,0.01904761904761898
tasteless,lipsit de gust,0.5333333333333333
resolute,hotarat,0.6190476190476191
immanent,imanent,0.01904761904761898
generic,generic,0.0
sanity,sanatate psihica,0.4111111111111112
insightful,profund,0.638095238095238
reciprocal,reciproc,0.025000000000000022
concession,concesiune,0.18666666666666676
printing,imprimare,0.5333333333333334
scruple,scrupul,0.13333333333333341
superfluous,de prisos,0.5037037037037038
rectify,rectifica,0.1523809523809524
paradigm,paradigma,0.016666666666666607
dichotomy,dihotomie,0.19999999999999996
purpose,scop,0.6833333333333333
presumption,prezumtie,0.22962962962962974
design,proiecta,0.7333333333333334
hypocrite,ipocrit,0.16190476190476188
ratify,ratifica,0.1777777777777777
implicit,implicit,0.0
fullness,plenitudine,0.5583333333333333
essential,esential,0.016666666666666607
hegemony,hegemonie,0.125
corollary,corolar,0.03809523809523818
incident,incident,0.0
strange,ciudat,0.7111111111111111
altruism,altruism,0.0
tramp,vagabond,0.7333333333333334
altruistic,altruist,0.025000000000000022
airtight,ermetic,0.5142857142857143
random,aleatoriu,0.6222222222222222
hope,speranta,0.5166666666666666
promiscuous,promiscuu,0.02962962962962956
persuade,convinge,0.7166666666666668
trust,incredere,0.7466666666666667
deliberate,delibera,0.025000000000000022
sapience,intelepciune,0.4666666666666667
indelible,de nesters,0.5703703703703704
too,de asemenea,1.0222222222222221
petty,mic,0.8888888888888888
diligent,harnic,0.7333333333333334
impetuous,impetuos,0.016666666666666607
description,descriere,0.29629629629629617
rejoice,bucura,0.7111111111111111
resigned,demisionat,0.4750000000000001
unusual,neobisnuit,0.5428571428571429
eminence,eminenta,0.21666666666666667
compassion,compasiune,0.18666666666666676
prudence,prudenta,0.21666666666666667
pretension,pretensionare,0.026666666666666616
discretion,discretie,0.11111111111111116
analytical,analitic,0.1416666666666666
explicit,explicit,0.0
ordinary,comun,0.5733333333333334
perception,perceptie,0.11111111111111116
feasible,fezabil,0.2761904761904763
nostalgia,nostalgie,0.10370370370370374
subjective,subiectiv,0.11851851851851858
autonomy,autonomie,0.125
autochthonous,autohton,0.06666666666666676
resolution,rezolutie,0.2148148148148148
company,companie,0.1428571428571429
disdain,dispret,0.4761904761904763
trustworthy,demn de incredere,0.7272727272727273
dissension,disensiuni,0.18666666666666676
expression,expresie,0.1416666666666666
constant,constant,0.0
suppression,suprimare,0.3925925925925926
taciturn,taciturn,0.0
impartial,impartial,0.0
authentic,autentic,0.016666666666666607
patience,rabdare,0.6190476190476191
ignorant,ignorant,0.0
arrogant,arogant,0.01904761904761898
execrable,execrabil,0.10370370370370374
otherwise,in caz contrar,0.6074074074074074
discourse,discurs,0.03809523809523818
restriction,restrictie,0.09999999999999987
demeaning,injositoare,0.6592592592592592
obstinate,incapatanat,0.4814814814814815
consonant,consoana,0.125
boast,lauda,0.6799999999999999
framework,cadru,0.6133333333333334
cognitive,cognitive,0.0
adjacent,adiacent,0.1166666666666667
eloquent,elocvent,0.21666666666666679
instance,instanta,0.21666666666666667
interest,interes,0.01904761904761898
borderline,la limita,0.6592592592592592
synthetic,sintetic,0.13333333333333341
imminence,iminenta,0.2333333333333334
submission,supunere,0.5416666666666667
omen,augur,0.85
relevant,relevante,0.016666666666666607
irascible,irascibil,0.10370370370370374
hindrance,impiedicare,0.49629629629629635
great,grozav,0.3866666666666667
freedom,libertate,0.6285714285714286
deceive,insela,0.5888888888888889
acquisition,achizitie,0.32592592592592595
ambitious,ambitios,0.016666666666666607
plausible,plauzibil,0.20740740740740748
humility,umilinta,0.2333333333333334
conviction,condamnare,0.5000000000000001
firstfruits,primele fructe,0.503030303030303
dictionary,dictionar,0.014814814814814725
intrinsic,intrinsec,0.10370370370370374
do without,fa fara,0.7523809523809524
presumptuous,prezumtios,0.21333333333333337
diligence,diligenta,0.19259259259259254
corroborate,coroboreaza,0.23636363636363633
weather,vreme,0.5733333333333334
detriment,in detriment,0.029629629629629672
maturity,maturitate,0.1333333333333333
parsimony,parcimonie,0.2148148148148148
reference,referinta,0.2962962962962963
inspiration,inspiratie,0.09999999999999987
inexorable,inexorabil,0.09333333333333327
pragmatic,pragmatic,0.0
arrogant,arogant,0.01904761904761898
incipient,incipient,0.0
disruptive,perturbatoare,0.5466666666666666
sorority,sorority,0.0
serenity,seninatate,0.35
arbitrary,arbitrar,0.016666666666666607
indulgent,indulgent,0.0
auspicious,de bun augur,0.6066666666666667
iniquity,nelegiuirea,0.4666666666666668
relevant,relevante,0.016666666666666607
wit,spirit,0.37777777777777777
resignation,demisie,0.5428571428571429
hypocrisy,ipocrizie,0.3851851851851852
advocate,avocat,0.04444444444444451
precedent,precedent,0.0
glimpse,o privire,0.6285714285714286
incidence,incidenta,0.19259259259259254
flattered,flatat,0.18888888888888877
susceptible,susceptibil,0.08484848484848473
nonetheless,cu toate acestea,0.5212121212121212
disposition,dispozitie,0.19333333333333336
eccentric,excentric,0.10370370370370374
underestimate,subestima,0.23703703703703694
preliminary,preliminar,0.013333333333333308
tribulation,necazul,0.638095238095238
deduce,deduce,0.0
phlegmatic,flegmatic,0.11111111111111116
anachronistic,anacronic,0.0444444444444444
mistaken,gresit,0.6000000000000001
scrutiny,examinare,0.6416666666666666
retrograde,retrograd,0.014814814814814725
indolence,indolenta,0.19259259259259254
excellence,excelenta,0.20740740740740748
interference,interferenta,0.14444444444444438
democracy,democratie,0.19999999999999996
misfortune,ghinion,0.5333333333333333
compassionate,milos,0.4933333333333334
contemplate,contempla,0.022222222222222143
important,important,0.0
pejorative,peiorativ,0.11851851851851858
restrict,restrange,0.32499999999999984
synthesize,sintetiza,0.32592592592592606
proposition,propozitie,0.19333333333333336
signatory,semnatar,0.3500000000000001
primordial,primordial,0.0
situation,situatie,0.125
coercive,coercitiv,0.125
resolution,rezolutie,0.2148148148148148
intrinsic,intrinsec,0.10370370370370374
underlying,subiacent,0.5851851851851853
goal,poarta,0.5
itinerary,itinerar,0.016666666666666607
splendid,splendid,0.0
alterity,alteritate,0.1333333333333333
pecuniary,pecuniara,0.10370370370370374
spontaneous,spontan,0.04761904761904767
designation,desemnare,0.4
passerby,trecator,0.6333333333333333
necessary,necesar,0.03809523809523818
constancy,constanta,0.19259259259259254
sarcastic,sarcastic,0.0
pusilC/nime,pusilC/nime,0.0
suitability,adecvarea,0.7481481481481482
privilege,privilegiu,0.11111111111111116
devoid,lipsit,0.7111111111111111
believable,credibil,0.475
pernostic,pernostic,0.0
exacerbated,exacerbata,0.09999999999999987
happiness,fericire,0.6499999999999999
relevance,relevanta,0.19259259259259254
divergent,divergente,0.014814814814814725
discipline,disciplina,0.09333333333333327
inference,deducere,0.5333333333333334
pernicious,pernicios,0.014814814814814725
disseminate,diseminati,0.10666666666666658
satisfaction,satisfactie,0.09090909090909083
meticulous,meticulos,0.014814814814814725
reverberate,reverbera,0.022222222222222143
sporadic,sporadic,0.0
influence,influenta,0.19259259259259254
militancy,militantism,0.20740740740740737
resounding,rasunator,0.48888888888888904
consolidate,consolida,0.022222222222222143
fornication,curvie,0.6444444444444445
subversive,subversiv,0.014814814814814725
meaning,sens,0.5333333333333334
perspective,perspectiva,0.08484848484848473
resilience,rezistenta,0.43333333333333335
disguised,deghizat,0.5583333333333333
vicissitude,vicisitudine,0.09090909090909083
complacent,multumit,0.5583333333333333
blunt,bont,0.25
peremptory,peremptorie,0.09999999999999987
comorbidity,comorbiditate,0.09696969696969682
understanding,intelegere,0.6
insight,perspicacitate,0.5714285714285714
expectation,asteptare,0.49629629629629635
assumption,presupunere,0.5266666666666666
beneplacito,beneplacito,0.0
subterfuge,subterfugiu,0.09999999999999987
prejudice,prejudecata,0.20740740740740737
experience,experienta,0.17333333333333334
indifferent,indiferent,0.013333333333333308
consonance,consonanta,0.17333333333333334
pretentious,pretentios,0.013333333333333308
transcend,transcende,0.014814814814814725
immeasurable,nemasurata,0.3666666666666667
intensity,intensitate,0.11851851851851847
quota,cota,0.25
belligerent,beligerant,0.1066666666666668
prominent,proeminent,0.014814814814814725
need,nevoie,0.2666666666666667
superficial,superficial,0.0
concerning,cu privire la,0.6133333333333333
kindness,bunatate,0.6333333333333333
litigation,litigii,0.17142857142857149
unspeakable,de nespus,0.5851851851851853
animosity,animozitate,0.2222222222222222
intervention,interventie,0.09090909090909083
task,sarcina,0.7
vocabulary,vocabular,0.014814814814814725
antagonism,antagonism,0.0
greeting,salut,0.72
resistance,rezistenta,0.34666666666666657
indifference,indiferenta,0.16969696969696957
claim,revendicare,0.6133333333333334
to understand,a intelege,0.6266666666666667
aforementioned,mentionate mai sus,0.3809523809523808
subsequent,ulterior,0.6499999999999999
stereotype,stereotip,0.11851851851851858
integrity,integritate,0.11851851851851847
diversity,diversitate,0.11851851851851847
ambiguity,ambiguitate,0.11851851851851847
release,eliberare,0.2952380952380953
speculation,speculatie,0.09999999999999987
indulgence,indulgenta,0.17333333333333334
originating,originara,0.20740740740740737
divergence,divergenta,0.17333333333333334
lucubration,elucubratia,0.16363636363636347
indubitable,indubitabil,0.08484848484848473
austerity,austeritate,0.11851851851851847
prognosis,prognoza,0.22499999999999998
importance,importanta,0.17333333333333334
heterogeneous,eterogen,0.05833333333333324
quibble,echivoc,0.7047619047619048
benevolent,binevoitor,0.3533333333333334
careless,neglijent,0.5583333333333333
negligence,neglijenta,0.2666666666666667
opportunist,oportunist,0.013333333333333308
identify,identifica,0.1333333333333333
to establish,a stabili,0.23703703703703694
