es,gl,Alignment Score
alcance,ambito,0.7
enfasis,enfase,0.16666666666666663
estupido,idiota,0.4555555555555555
casual,casual,0.0
merito,merito,0.0
alusion,alusion,0.0
hostil,hostis,0.15555555555555556
desear,desexo,0.288888888888889
esceptico,esceptico,0.0
legado,legado,0.0
derecho,recto,0.22666666666666668
apurarse,presa,0.41333333333333333
amable,manso,0.5333333333333334
extraterrestre,alleo,0.6533333333333333
danino,prexudicial,0.6333333333333333
infame,infame,0.0
cliche,cliche,0.0
pasion,paixon,0.15555555555555556
excelente,excelente,0.0
afable,afable,0.0
definir,definir,0.0
adorno,adorno,0.0
regalo,agasallo,0.3222222222222223
extasis,extase,0.16666666666666663
sobrio,sobrio,0.0
afiliacion,adhesion,0.43333333333333335
bocadillos,empanadas,0.5703703703703704
evaluar,avaliar,0.2666666666666667
astuto,astucia,0.30000000000000016
tambien,tamen,0.04000000000000015
ventosa,ventosa,0.0
sesion,sesion,0.0
limite,limite,0.0
solemne,solemne,0.0
juzgar,para xulgar,0.3666666666666667
gloria,gloria,0.0
labaro,labaro,0.0
formal,formais,0.16666666666666663
habito,habito,0.0
apreciacion,aprecio,0.05714285714285716
a pesar de,ainda que,0.4888888888888888
oportunidad,oportunidade,0.012121212121212088
impulso,impulso,0.0
alguien mas,alguen mais,0.08484848484848473
eficaz,eficaz,0.0
inactivo,ocioso,0.47777777777777775
jubilo,xubilo,0.15555555555555556
disponer,dispor,0.03333333333333344
difuso,difusa,0.15555555555555556
aliento,alento,0.022222222222222143
hojas perennes,perenne,0.08571428571428574
matiz,matiz,0.0
faccion,faccion,0.0
disculpar,escusa,0.3555555555555556
exilio,exilio,0.0
asignacion,asignacion,0.0
jugueton,xogueton,0.21666666666666667
abstenerse,absterse,0.025000000000000022
inferencia,conclusion,0.5933333333333334
jurisdiccion,xurisdiccion,0.07777777777777772
objeto,obxecto,0.1777777777777777
acceso,acceso,0.0
acento,acento,0.0
deseo,desexo,0.026666666666666727
axioma,axioma,0.0
sancion,sancion,0.0
gratis,gratuito,0.18888888888888888
tacito,tacito,0.0
etereo,etereo,0.0
buscar,buscar,0.0
mujer,muller,0.19999999999999996
cortes,cortes,0.0
codicia,cobiza,0.3111111111111112
enfermedad,doenza,0.48888888888888893
grave,grave,0.0
promesa,prenda,0.3111111111111112
eximir,exentos,0.5666666666666667
codicia,cobiza,0.3111111111111112
miedo,medo,0.033333333333333326
vulgar,vulgar,0.0
remoto,remoto,0.0
placer,pracer,0.15555555555555556
factual,factual,0.0
cuando,cando,0.026666666666666727
alguna vez,nunca,0.44000000000000006
no me des,non me deas,0.029629629629629672
limpieza,limpeza,0.01904761904761898
empatia,empatia,0.0
aurelio,aurelio,0.0
conyuge,conxuxe,0.2666666666666667
estafa,estafa,0.0
excepcion,excepcion,0.0
personaje,personaxe,0.10370370370370374
efimero,efemero,0.13333333333333341
prolijo,longo vento,0.638095238095238
entrada,entrada,0.0
idilico,idilico,0.0
termino analogo,analoxico,0.33333333333333337
genuino,xenuino,0.13333333333333341
historia,historia,0.0
sublime,sublime,0.0
familia,familia,0.0
condolencias,condolencias,0.0
inferir,inferir,0.0
apatico,apatico,0.0
sucinto,sucinto,0.0
significado,significado,0.0
para redimir,para redimir,0.0
astuto,astucia,0.30000000000000016
prodigo,prodigo,0.0
cultura,cultura,0.0
audacia,audacia,0.0
estigma,estigma,0.0
receso,recreo,0.15555555555555556
virtud,virtude,0.022222222222222143
refutar,refutar,0.0
iconico,iconico,0.0
magnifico,xenial,0.6111111111111112
cinismo,cinismo,0.0
estable,estable,0.0
urgir,urxe,0.45000000000000007
morbido,morboso,0.24761904761904763
trivial,trivial,0.0
mitigar,mitigar,0.0
sintesis,sintese,0.1428571428571429
aspecto,aspecto,0.0
lujuria,luxuria,0.13333333333333341
amigable,amigable,0.0
exito,exito,0.0
felicidad,felicidade,0.014814814814814725
imputar,imputar,0.0
escoria,escoria,0.0
surgir,xurdir,0.3111111111111111
anatema,anatema,0.0
ademas,ademais,0.022222222222222143
candor,candor,0.0
libertinaje,libertinaxe,0.08484848484848473
orgullo,orgullo,0.0
extracto,extracto,0.0
litigio,litixio,0.13333333333333341
ansiar,anhelar,0.30000000000000004
a traves de,a traves,0.033333333333333215
sin embargo,con todo,0.5583333333333333
frivolo,frivolo,0.0
coraje,coraxe,0.15555555555555556
anhelo,saudade,0.5888888888888889
nativo,nativo,0.0
apodo,alcume,0.6799999999999999
ambiguo,ambiguo,0.0
sano,saudable,0.5
austero,austero,0.0
escroto,escroto,0.0
amistad,amizade,0.2571428571428571
sensitivo,sensato,0.16190476190476188
quimera,quimera,0.0
ambicion,ambicion,0.0
exceso,exceso,0.0
racismo,racismo,0.0
relacion,relacion,0.0
promocion,promocion,0.0
erudito,erudito,0.0
inmersion,inmersion,0.0
modesto,modesto,0.0
parcial,parcial,0.0
coloso,coloso,0.0
demanda,demanda,0.0
exotico,exotico,0.0
conciso,conciso,0.0
ciencia,ciencia,0.0
piedad,piedade,0.022222222222222143
volatil,volatil,0.0
notorio,notorio,0.0
extrano,estrano,0.13333333333333341
exencion,exencion,0.0
actual,actual,0.0
sufrir,sufrir,0.0
hibrido,hibrido,0.0
ganar,ganar,0.0
intenso,intenso,0.0
inercia,inercia,0.0
emocional,emocional,0.0
ansioso,ansioso,0.0
despota,despota,0.0
sentido,sentido,0.0
claro,claro,0.0
profano,profano,0.0
difusion,difusion,0.0
inherente,inherente,0.0
respeto,respecto,0.01904761904761898
peculiar,peculiar,0.0
denigrar,denigrar,0.0
genocida,xenocida,0.1166666666666667
consentir,consentimento,0.1333333333333333
diferido,aprazado,0.5333333333333334
equidad,equidade,0.01904761904761898
prudente,prudente,0.0
pandemia,pandemia,0.0
inminente,inminente,0.0
esencia,esencia,0.0
misogino,misoxina,0.2333333333333334
desgracia,deshonra,0.33333333333333337
invasor,invasivo,0.1428571428571429
alienado,alienado,0.0
eminente,eminente,0.0
abstracto,abstracto,0.0
premisa,premisa,0.0
extension,extension,0.0
empirico,empirico,0.0
concepto,concepto,0.0
talarico,talarico,0.0
astuto,astucia,0.30000000000000016
elevar,subir,0.6799999999999999
chica,rapaza,0.6799999999999999
reiterar,reiterar,0.0
lujuria,luxuria,0.13333333333333341
ensueno,sonar despierto,0.47619047619047616
relativo,achegada,0.6416666666666666
prodigio,prodixio,0.1166666666666667
pasable,transitable,0.19047619047619047
reparar,reparacion,0.16190476190476188
gratitud,gratitude,0.016666666666666607
analogia,analoxia,0.1166666666666667
insercion,insercion,0.0
modestia,modestia,0.0
disculpa,desculpas,0.13333333333333341
activista,activista,0.0
remision,remision,0.0
inhospito,inhospito,0.0
por lo tanto,polo tanto,0.020000000000000018
mediocre,mediocres,0.016666666666666607
monotono,monotono,0.0
despecho,despecho,0.0
fomentar,fomentar,0.0
inefable,inefable,0.0
apoyo,apoiar,0.36
retorica,retorica,0.0
preocupaciones,preocupacions,0.01025641025641022
base,fundacion,0.75
sinonimo,sinonimo,0.0
proceder,proceder,0.0
metodico,metodico,0.0
primacia,primacia,0.0
perfidia,perfidia,0.0
rechazar,rexeitar,0.41666666666666663
historia,historia,0.0
por lo tanto,polo tanto,0.020000000000000018
demagogo,demagogo,0.0
complejo,complexo,0.1166666666666667
consiste,consiste,0.0
criterio,criterio,0.0
notivago,nonivago,0.1166666666666667
distinto,distinto,0.0
espectro,espectro,0.0
sucumbir,sucumbir,0.0
desinteresado,desinteresado,0.0
amalgama,amalgama,0.0
resultado,resultado,0.0
singular,singular,0.0
despertar,espertar,0.016666666666666607
paradoja,paradoxo,0.21666666666666667
mofa,burla,0.6499999999999999
contexto,contexto,0.0
proceso,proceso,0.0
elegible,elixibles,0.2333333333333334
comunion,comunon,0.01904761904761898
palabra,palabra,0.0
meta,obxectivo,0.5666666666666667
reflejar,reflexo,0.2571428571428571
valiente,sen medo,0.5416666666666667
maestria,mestria,0.01904761904761898
sin embargo,con todo,0.5583333333333333
endemico,endemica,0.1166666666666667
diseno,deseno,0.15555555555555556
legal,legal,0.0
problema,problema,0.0
util,util,0.0
instigar,instigar,0.0
increible,incrible,0.016666666666666607
epifania,epifania,0.0
redencion,redencion,0.0
a traves de,a traves,0.033333333333333215
paralelo,paralelo,0.0
insipido,insipido,0.0
resuelto,resolto,0.1428571428571429
inmanente,inmanente,0.0
generico,xenerico,0.1166666666666667
cordura,cordura,0.0
perspicaz,perspicaz,0.0
reciproco,reciproco,0.0
concesion,concesion,0.0
impresion,impresion,0.0
escrupulo,escrupulo,0.0
superfluo,superfluo,0.0
rectificar,rectificar,0.0
paradigma,paradigma,0.0
dicotomia,dicotomia,0.0
objetivo,proposito,0.5416666666666667
presuncion,presuncion,0.0
diseno,deseno,0.15555555555555556
hipocrita,hipocrita,0.0
ratificar,ratificar,0.0
implicito,implicito,0.0
plenitud,plenitude,0.016666666666666607
basico,esencial,0.6111111111111112
hegemonia,hexemonia,0.10370370370370374
corolario,corolario,0.0
incidente,incidente,0.0
extrano,estrano,0.13333333333333341
altruismo,altruismo,0.0
vagabundo,vagabundo,0.0
altruista,altruista,0.0
hermetico,hermetico,0.0
aleatorio,aleatoria,0.10370370370370374
esperanza,esperanza,0.0
promiscuo,promiscuo,0.0
persuadir,persuadir,0.0
confianza,confiar,0.1523809523809524
adrede,deliberado,0.5
sapiencia,sapiencia,0.0
indeleble,indeleble,0.0
tambien,tamen,0.04000000000000015
insignificante,mesquino,0.6000000000000001
diligente,dilixente,0.10370370370370374
impetuoso,impetuoso,0.0
descripcion,descricion,0.013333333333333308
alegrarse,alegrarse,0.0
renunciar,dimitido,0.7416666666666667
inusual,rara,0.7
eminencia,eminencia,0.0
compasion,compaixon,0.10370370370370374
prudencia,prudencia,0.0
pretension,pretension,0.0
discrecion,discrecion,0.0
analitico,analitico,0.0
explicito,explicito,0.0
comun,ordinario,0.5866666666666667
percepcion,percepcion,0.0
factible,factible,0.0
nostalgia,nostalxia,0.10370370370370374
subjetivo,subxectivo,0.11851851851851858
autonomia,autonomia,0.0
autoctono,autoctona,0.10370370370370374
resolucion,resolucion,0.0
compania,empresa,0.5047619047619049
desden,desprezo,0.3333333333333335
confiable,de confianza,0.311111111111111
disension,disension,0.0
expresion,expresion,0.0
constante,constante,0.0
supresion,supresion,0.0
taciturno,taciturno,0.0
imparcial,imparcial,0.0
autentico,autentico,0.0
paciencia,paciencia,0.0
ignorante,ignorante,0.0
arrogante,arrogante,0.0
execrable,execrable,0.0
de lo contrario,en caso contrario,0.1333333333333333
discurso,discurso,0.0
restriccion,restricion,0.013333333333333308
degradante,degradante,0.0
obstinado,obstinado,0.0
consonante,consoante,0.014814814814814725
presumir,presumir,0.0
estructura,marco,0.6133333333333333
cognitivo,cognitivo,0.0
adyacente,adxacentes,0.11851851851851858
elocuente,elocuente,0.0
instancia,instancia,0.0
interes,interese,0.01904761904761898
limite,limite,0.0
sintetico,sintetica,0.10370370370370374
inminencia,inminencia,0.0
sumision,presentacion,0.45833333333333337
presagio,presaxio,0.1166666666666667
importante,relevantes,0.42666666666666664
irascible,irascible,0.0
obstaculo,atranco,0.4095238095238095
excelente,xenial,0.47777777777777786
libertad,liberdade,0.13333333333333341
enganar,enganar,0.0
adquisicion,adquisicion,0.0
ambicioso,ambicioso,0.0
plausible,plausible,0.0
humildad,humildade,0.016666666666666607
conviccion,conviccion,0.0
primeros frutos,primicias,0.41481481481481497
diccionario,dicionario,0.013333333333333308
intrinseco,intrinseca,0.09333333333333327
hacer sin,prescindir,0.48888888888888893
presuntuoso,presuntuoso,0.0
diligencia,dilixencia,0.09333333333333338
corroborar,corroborar,0.0
clima,tempo,0.6933333333333334
detrimento,prexuizo,0.5583333333333333
madurez,madurez,0.0
parsimonia,parsimonia,0.0
referencia,referencia,0.0
inspiracion,inspiracion,0.0
inexorable,inexorable,0.0
pragmatico,pragmatico,0.0
arrogante,arrogante,0.0
incipiente,incipiente,0.0
disruptivo,perturbador,0.6
hermandad de mujeres,irmandade,0.19999999999999984
serenidad,serenidade,0.014814814814814725
arbitrario,arbitrario,0.0
indulgente,indulxente,0.09333333333333338
propicio,auspicioso,0.3416666666666667
iniquidad,iniquidade,0.014814814814814725
importante,relevantes,0.42666666666666664
ingenio,enxeno,0.33333333333333337
resignacion,dimision,0.45000000000000007
hipocresia,hipocrisia,0.09333333333333338
defensor,avogado,0.6095238095238096
precedente,precedente,0.0
vistazo,albiscar,0.5238095238095238
incidencia,incidencia,0.0
halagada,halagado,0.1166666666666667
susceptible,susceptibles,0.012121212121212088
sin embargo,con todo,0.5583333333333333
disposicion,disposicion,0.0
excentrico,excentrico,0.0
subestimar,subestimar,0.0
preliminar,preliminar,0.0
tribulacion,tribulacion,0.0
deducir,deducir,0.0
flematico,flematico,0.0
anacronico,anacronico,0.0
equivocado,equivocado,0.0
escrutinio,escrutinio,0.0
retrogrado,retrogrado,0.0
indolencia,indolencia,0.0
excelencia,excelencia,0.0
interferencia,interferencia,0.0
democracia,democracia,0.0
desgracia,desgraza,0.125
compasivo,compasivo,0.0
contemplar,contemplar,0.0
importante,importante,0.0
peyorativo,pexorativo,0.09333333333333338
restringir,restrinxir,0.09333333333333338
sintetizar,sintetizar,0.0
proposicion,proposicion,0.0
signatario,asinante,0.3583333333333334
primordial,primordial,0.0
situacion,situacion,0.0
coactivo,coercitivo,0.1416666666666666
resolucion,resolucion,0.0
intrinseco,intrinseca,0.09333333333333327
subyacente,subxacente,0.09333333333333338
meta,obxectivo,0.5666666666666667
itinerario,itinerario,0.0
esplendido,esplendido,0.0
alteridad,alteridade,0.014814814814814725
pecuniario,pecuniario,0.0
espontaneo,espontanea,0.09333333333333327
designacion,designacion,0.0
transeunte,transeunte,0.0
necesario,necesario,0.0
constancia,constancia,0.0
sarcastico,sarcastico,0.0
pusilC/nime,pusilC/nime,0.0
idoneidad,idoneidade,0.014814814814814725
privilegio,privilexio,0.09333333333333338
vacio,carente,0.7066666666666668
creible,crible,0.022222222222222143
pernostico,pernostico,0.0
exacerbado,exacerbado,0.0
felicidad,felicidade,0.014814814814814725
relevancia,relevancia,0.0
divergente,diverxente,0.09333333333333338
disciplina,disciplina,0.0
inferencia,conclusion,0.5933333333333334
pernicioso,perniciosa,0.09333333333333327
diseminar,difundir,0.43333333333333335
satisfaccion,satisfaccion,0.0
meticuloso,meticuloso,0.0
reverberar,reverberar,0.0
esporadico,esporadicos,0.013333333333333308
influencia,influencia,0.0
militancia,militancia,0.0
rotundo,rotundo,0.0
consolidar,consolidar,0.0
fornicacion,fornicacion,0.0
subversivo,subversivo,0.0
significado,significado,0.0
perspectiva,perspectiva,0.0
resiliencia,resiliencia,0.0
disfrazado,disfrazado,0.0
vicisitud,vicisitude,0.014814814814814725
suficiente,compracente,0.42666666666666664
desafilado,contundente,0.6666666666666667
perentorio,perentorio,0.0
comorbilidad,comorbilidade,0.011111111111111072
comprension,comprension,0.0
conocimiento,perspicacia,0.6181818181818182
expectativa,expectativa,0.0
suposicion,suposicion,0.0
beneplacito,beneplacito,0.0
subterfugio,subterfuxio,0.08484848484848484
prejuicio,prexuizo,0.2416666666666667
experiencia,experiencia,0.0
indiferente,indiferente,0.0
consonancia,consonancia,0.0
pretencioso,pretencioso,0.0
trascender,transcender,0.013333333333333308
inconmensurable,inconmensurable,0.0
intensidad,intensidade,0.013333333333333308
cuota,cota,0.033333333333333326
beligerante,belixerante,0.08484848484848484
prominente,destacado,0.674074074074074
necesidad,necesidade,0.014814814814814725
superficial,superficial,0.0
sobre,referente,0.56
amabilidad,bondade,0.4095238095238096
litigio,litixio,0.13333333333333341
indecible,indicible,0.10370370370370374
animosidad,animosidade,0.013333333333333308
intervencion,intervencion,0.0
tarea,tarefa,0.026666666666666727
vocabulario,vocabulario,0.0
antagonismo,antagonismo,0.0
saludo,saudo,0.026666666666666727
resistencia,resistencia,0.0
indiferencia,indiferenza,0.09090909090909083
afirmar,reclamacion,0.5333333333333334
comprender,entender,0.33333333333333337
citado,mencionado anteriormente,0.377777777777778
subsecuente,posterior,0.5703703703703704
estereotipo,estereotipo,0.0
integridad,integridade,0.013333333333333308
diversidad,diversidade,0.013333333333333308
ambiguedad,ambiguidade,0.10666666666666669
liberar,liberar,0.0
especulacion,especulacion,0.0
indulgencia,indulxencia,0.08484848484848484
originario,orixinaria,0.18666666666666676
divergencia,diverxencia,0.08484848484848484
elucubracion,elucubracion,0.0
indudable,indubidable,0.022222222222222254
austeridad,austeridade,0.013333333333333308
pronostico,prognostico,0.013333333333333308
importancia,importancia,0.0
heterogeneo,heteroxeneo,0.08484848484848484
sutileza,cabreo,0.7222222222222222
benevolente,benevolente,0.0
descuidado,descoidado,0.09333333333333338
negligencia,neglixencia,0.08484848484848484
oportunista,oportunista,0.0
identificar,identificar,0.0
establecer,establecer,0.0
conveniente,conveniente,0.0
redundancia,redundancia,0.0
congruencia,congruencia,0.0
discriminar,discriminar,0.0
conciencia,consciencia,0.013333333333333308
sustantivo,substantivo,0.013333333333333308
pragmatismo,pragmatismo,0.0
providencia,providencia,0.0
excepcional,excepcional,0.0
amonestacion,advertencia,0.49090909090909096
conferencia,conferencia,0.0
opcional,opcional,0.0
sistematico,sistematico,0.0
obligatorio,obrigatoria,0.16969696969696968
verbosidad,verborrea,0.2962962962962963
longitud,lonxitude,0.13333333333333341
interseccion,interseccion,0.0
subordinar,subordinado,0.09999999999999987
intelectual,intelectual,0.0
melancolia,melancolia,0.0
contradiccion,contradicion,0.011111111111111072
generalizar,xeneralizar,0.08484848484848484
relativizar,relativizar,0.0
desarrollar,desenvolver,0.38787878787878804
sustancial,substancial,0.013333333333333308
honestidad,honestidade,0.013333333333333308
dificultad,dificultade,0.013333333333333308
rectificacion,rectificacion,0.0
conservador,conservador,0.0
origen,orixe,0.21333333333333337
autoritario,autoritario,0.0
determinado,determinado,0.0
amabilidad,bondade,0.4095238095238096
antagonista,antagonista,0.0
perserverancia,perseveranza,0.09444444444444422
condolencias,condolencias,0.0
restante,restante,0.0
prerrogativa,prerrogativa,0.0
extrovertido,extrovertido,0.0
complacencia,compracencia,0.07777777777777772
aplazar,procrastinar,0.4380952380952381
discrepancia,discrepancia,0.0
determinacion,determinacion,0.0
independiente,independente,0.011111111111111072
consecuencia,consecuencia,0.0
intermitente,intermitente,0.0
conveniencia,conveniencia,0.0
benevolencia,benevolencia,0.0
para compartir,compartir,0.0444444444444444
estilo eclesial!,estilo eclesial,0.008888888888888835
contingencia,continxencia,0.07777777777777772
transgresion,transgresion,0.0
felicidades,parabens,0.5666666666666667
consideracion,consideracion,0.0
concomitante,concomitante,0.0
convergencia,converxencia,0.07777777777777772
cordialidad,cordialidade,0.012121212121212088
conocimiento,conecemento,0.18181818181818177
complicidad,complicidade,0.012121212121212088
convencional,convencional,0.0
subsistencia,subsistencia,0.0
diseminacion,difusion,0.25
proselitismo,proselitismo,0.0
sistematizar,sistematizar,0.0
complejidad,complexidade,0.09696969696969693
coincidencia,coincidencia,0.0
dispensable,prescindible,0.4
controversia,polemica,0.4916666666666667
impredecible,impredicible,0.07777777777777772
travieso,impertinente,0.5666666666666667
increible,incrible,0.016666666666666607
