es,it,Alignment Score
para el,per il,0.33333333333333337
antes,prima,0.6666666666666667
temprano,presto,0.4555555555555555
yugo,giogo,0.45000000000000007
bastante,abbastanza,0.24166666666666659
arte,arte,0.0
alma,anima,0.25
meta,obiettivo,0.55
cuyo,di chi,0.6833333333333333
sillin,sella,0.3866666666666667
trae,porta,0.4666666666666667
en,in,0.4666666666666667
celula,cellula,0.022222222222222143
contenido,contenuto,0.19259259259259254
estado,stato,0.21333333333333337
noya,noia,0.2333333333333334
rostro,viso,0.4833333333333334
asco,disgusto,0.5333333333333334
asco,disgusto,0.5333333333333334
objetivo,bersaglio,0.45000000000000007
enfocar,messa a fuoco,0.4571428571428572
eso,quello,0.3999999999999999
pose,posa,0.2333333333333334
salir,uscire,0.3866666666666667
base,base,0.0
de acuerdo,ok,0.7333333333333334
odiar,odio,0.25
acto,atto,0.2333333333333334
el tuvo,lui aveva,0.5238095238095238
alto,alto,0.0
todo,tutto,0.45000000000000007
ocio,tempo libero,0.4
rito,rito,0.0
dios mio,cavolo,0.6000000000000001
voluntad,volere,0.44444444444444453
nuevo,nuovo,0.18666666666666676
agil,agile,0.033333333333333326
amanecer,alba,0.5166666666666666
tesis,tesi,0.033333333333333326
alto,alto,0.0
bulto,rigonfiamento,0.6133333333333333
nexo,nesso,0.25
costa,costa,0.0
sagaz,sagace,0.19999999999999996
centro,nucleo,0.43333333333333335
negro,nero,0.033333333333333326
termino,termine,0.13333333333333341
exito,successo,0.56
mezclar,mescolare,0.17142857142857149
noble,nobile,0.026666666666666727
sentido,senso,0.21333333333333337
afecto,affetto,0.1777777777777778
verdugo,boia,0.7
etica,etica,0.0
lleno,pieno,0.34666666666666657
mutual,reciproco,0.8555555555555556
tenue,tenue,0.0
hacer,fare,0.4833333333333334
asi,come questo,0.8
sutil,impercettibile,0.4933333333333334
fuerza,forza,0.19999999999999996
aqui,qui,0.04444444444444451
sin embargo,tuttavia,0.6583333333333334
seccion,sezione,0.2571428571428571
eran,erano,0.033333333333333326
sanar,guarire,0.5466666666666666
fuerza,energia,0.4555555555555555
atrevido,audace,0.5888888888888888
idea,idea,0.0
centro,nucleo,0.43333333333333335
innato,innato,0.0
moral,morale,0.026666666666666727
acerca de,di,0.7333333333333334
desde,da,0.5666666666666667
muy,molto,0.6222222222222222
justo,giusto,0.19999999999999996
honor,onore,0.18666666666666676
tal vez,forse,0.7066666666666668
torpe,goffo,0.6799999999999999
sueno,sogno,0.34666666666666657
razon,motivo,0.6933333333333334
futil,inutile,0.22666666666666668
etnicidad,etnia,0.08000000000000007
icono,icona,0.18666666666666676
adjunto,attaccamento,0.4095238095238095
amigo,amico,0.18666666666666676
egida,egida,0.0
tange,tangente,0.05333333333333323
lapso,periodo,0.5466666666666666
haber,essere,0.5333333333333333
exponer,esporre,0.38095238095238104
mutual,reciproco,0.8555555555555556
dengo,dengo,0.0
tiempo,tempo,0.026666666666666727
pareja,coppia,0.5666666666666667
entonces,poi,0.7333333333333334
habil,abile,0.18666666666666676
cosecha,raccolto,0.6095238095238096
bocal,bocal,0.0
ardid,stratagemma,0.7466666666666666
en vivo,vivere,0.4444444444444444
pesar,pesare,0.026666666666666727
saber,sapere,0.21333333333333326
causa,causa,0.0
gracia,adornare,0.6000000000000001
decir,dire,0.25
genero,genere,0.15555555555555556
obstaculo,ostacolo,0.13333333333333341
posesion,possesso,0.2333333333333334
coser,cucire,0.5333333333333333
paria,paria,0.0
deber,dovere,0.3733333333333334
gritar,gridare,0.1777777777777778
tenaz,tenace,0.19999999999999996
descendencia,prole,0.7733333333333333
tamiz,setaccio,0.42666666666666664
ser,essendo,0.4222222222222223
buho,gufo,0.4666666666666667
comun,comune,0.026666666666666727
miedo,paura,0.8266666666666667
sostiene,tiene,0.053333333333333344
todavia,ancora,0.5777777777777777
alegria,allegria,0.01904761904761898
apendice,apice,0.053333333333333344
afan,entusiasmo,0.75
ceda el paso,far passare,0.47878787878787876
ser,essere,0.11111111111111116
valioso,degno,0.6933333333333334
cronograma,programma,0.2148148148148148
bonito,bello,0.52
xibiu,xibiu,0.0
culto,culto,0.0
mundo,mondo,0.18666666666666676
atroz,atroce,0.19999999999999996
fugaz,fugace,0.19999999999999996
censo,censimento,0.08000000000000007
tierra,terra,0.026666666666666727
fuerte,forte,0.19999999999999996
adiccion,dipendenza,0.55
alias,ovvero,0.8400000000000001
hornear,cottura al forno,0.48571428571428577
valer,di valore,0.2533333333333334
denso,denso,0.0
excepto,tranne,0.7
cinico,cinico,0.0
adecuado,adatto,0.3222222222222223
alcance,scopo,0.72
not(c)miembro,non(c)membro,0.08888888888888902
naturaleza,natura,0.05555555555555558
senor,signore,0.22666666666666668
camino,sentiero,0.5888888888888888
apogeo,periodo d'oro,0.5111111111111111
inofensivo,innocuo,0.40000000000000013
trajes,abiti,0.6933333333333334
utopia,utopia,0.0
sadico,sadico,0.0
alcance,scopo,0.72
enfasis,enfasi,0.022222222222222143
estupido,idiota,0.4555555555555555
casual,casuale,0.022222222222222143
merito,merito,0.0
alusion,allusione,0.03809523809523818
hostil,ostile,0.15555555555555556
desear,desiderio,0.19999999999999996
esceptico,scettico,0.13333333333333341
legado,eredita,0.5888888888888889
derecho,dritto,0.4444444444444444
apurarse,fretta,0.6000000000000001
amable,gentile,0.5666666666666667
extraterrestre,alieno,0.6666666666666667
danino,dannoso,0.16666666666666663
infame,infame,0.0
cliche,cliche,0.0
pasion,passione,0.04444444444444451
excelente,eccellente,0.11851851851851858
afable,affabile,0.04444444444444451
definir,definire,0.01904761904761898
adorno,ornamento,0.3222222222222223
regalo,regalo,0.0
extasis,estasi,0.1777777777777778
sobrio,sobrio,0.0
afiliacion,appartenenza,0.6066666666666667
bocadillos,munchies,0.5666666666666667
evaluar,valutare,0.1523809523809525
astuto,astuzia,0.30000000000000016
tambien,pure,0.7
ventosa,ventosa,0.0
sesion,sessione,0.04444444444444451
limite,soglia,0.5666666666666667
solemne,solenne,0.13333333333333341
juzgar,giudicare,0.4666666666666667
gloria,gloria,0.0
labaro,labaro,0.0
formal,formale,0.022222222222222143
habito,abitudine,0.3333333333333335
apreciacion,apprezzamento,0.4121212121212121
a pesar de,sebbene,0.6285714285714286
oportunidad,opportunita,0.1696969696969698
impulso,quantita di moto,0.5809523809523809
alguien mas,qualcun altro,0.4181818181818182
eficaz,efficace,0.18888888888888888
inactivo,oziare,0.6
jubilo,giubilo,0.16666666666666663
disponer,smaltire,0.6333333333333333
difuso,diffondere,0.34444444444444455
aliento,respiro,0.6095238095238096
hojas perennes,sempreverde,0.49090909090909096
matiz,sfumatura,0.41333333333333344
faccion,fazione,0.2571428571428571
disculpar,scusa,0.2666666666666667
exilio,esilio,0.15555555555555556
asignacion,incarico,0.3666666666666667
jugueton,giocoso,0.6190476190476191
abstenerse,astenersi,0.11851851851851858
inferencia,inferenza,0.11111111111111116
jurisdiccion,giurisdizione,0.23333333333333328
objeto,oggetto,0.3111111111111111
acceso,accesso,0.022222222222222143
acento,accento,0.022222222222222143
deseo,desiderio,0.08000000000000007
axioma,assioma,0.16666666666666663
sancion,sanzione,0.1523809523809525
gratis,gratuito,0.18888888888888888
tacito,tacito,0.0
etereo,etereo,0.0
buscar,ricerca,0.5777777777777777
mujer,donna,0.8266666666666667
cortes,cortese,0.022222222222222143
codicia,avidita,0.49523809523809526
enfermedad,malattia,0.6499999999999999
grave,serio,0.6799999999999999
promesa,impegno,0.6095238095238096
eximir,esonerare,0.6
codicia,avidita,0.49523809523809526
miedo,paura,0.8266666666666667
vulgar,volgare,0.1777777777777778
remoto,a distanza,0.7555555555555555
placer,piacere,0.1777777777777778
factual,effettivo,0.638095238095238
cuando,quando,0.15555555555555556
alguna vez,mai,0.7555555555555555
no me des,non darmi,0.4740740740740741
limpieza,pulizia,0.38095238095238093
empatia,empatia,0.0
aurelio,aurelio,0.0
conyuge,sposa,0.72
estafa,truffa,0.43333333333333335
excepcion,eccezione,0.2962962962962963
personaje,carattere,0.5555555555555556
efimero,effimero,0.01904761904761898
prolijo,prolisso,0.1428571428571429
entrada,iscrizione,0.7333333333333334
idilico,idilliaco,0.03809523809523818
termino analogo,analogico,0.23703703703703694
genuino,genuino,0.0
historia,storia,0.03333333333333344
sublime,sublime,0.0
familia,famiglia,0.01904761904761898
condolencias,condoglianze,0.28888888888888886
inferir,dedurre,0.5047619047619047
apatico,apatico,0.0
sucinto,conciso,0.49523809523809526
significado,senso,0.45333333333333337
para redimir,riscattare,0.52
astuto,astuzia,0.30000000000000016
prodigo,prodigo,0.0
cultura,cultura,0.0
audacia,audacia,0.0
estigma,stigma,0.022222222222222143
receso,recesso,0.022222222222222143
virtud,virtu,0.026666666666666727
refutar,confutare,0.2761904761904762
iconico,iconico,0.0
magnifico,superbo,0.7238095238095239
cinismo,cinismo,0.0
estable,stabile,0.13333333333333341
urgir,sollecitare,0.6133333333333333
morbido,morboso,0.24761904761904763
trivial,banale,0.5777777777777777
mitigar,mitigare,0.01904761904761898
sintesis,sintesi,0.01904761904761898
aspecto,aspetto,0.13333333333333341
lujuria,lussuria,0.1428571428571429
amigable,amichevole,0.33333333333333337
exito,successo,0.56
felicidad,felicita,0.13333333333333341
imputar,imputare,0.01904761904761898
escoria,feccia,0.3222222222222223
surgir,emergere,0.47777777777777775
anatema,anatema,0.0
ademas,inoltre,0.711111111111111
candor,candore,0.022222222222222143
libertinaje,dissolutezza,0.6181818181818182
orgullo,orgoglio,0.2666666666666667
extracto,estratto,0.2333333333333334
litigio,contenzioso,0.5428571428571429
ansiar,bramare,0.4555555555555556
a traves de,attraverso,0.2799999999999999
sin embargo,tuttavia,0.6583333333333334
frivolo,frivolo,0.0
coraje,coraggio,0.3111111111111112
anhelo,desiderio,0.6111111111111112
nativo,nativo,0.0
apodo,soprannome,0.6
ambiguo,ambiguo,0.0
sano,sano,0.0
austero,austero,0.0
escroto,scroto,0.022222222222222143
amistad,amicizia,0.38095238095238093
sensitivo,sensato,0.16190476190476188
quimera,chimera,0.24761904761904763
ambicion,ambizione,0.13333333333333341
exceso,eccesso,0.1777777777777778
racismo,razzismo,0.1428571428571429
relacion,relazione,0.13333333333333341
promocion,promozione,0.11851851851851858
erudito,erudito,0.0
inmersion,immersione,0.11851851851851858
modesto,modesto,0.0
parcial,parziale,0.1523809523809525
coloso,colosso,0.022222222222222143
demanda,richiesta,0.6285714285714286
exotico,esotico,0.13333333333333341
conciso,conciso,0.0
ciencia,scienza,0.25714285714285723
piedad,pieta,0.21333333333333337
volatil,volatile,0.01904761904761898
notorio,famigerato,0.6285714285714286
extrano,bizzarro,0.6095238095238096
exencion,esenzione,0.25
actual,attuale,0.1777777777777778
sufrir,soffrire,0.18888888888888888
hibrido,ibrido,0.022222222222222143
ganar,guadagnare,0.10666666666666669
intenso,intenso,0.0
inercia,inerzia,0.13333333333333341
emocional,emotivo,0.2857142857142857
ansioso,ansioso,0.0
despota,despota,0.0
sentido,senso,0.21333333333333337
claro,chiaro,0.19999999999999996
profano,profano,0.0
difusion,diffusione,0.033333333333333326
inherente,inerente,0.016666666666666607
respeto,rispetto,0.1523809523809525
peculiar,peculiare,0.016666666666666607
denigrar,denigrare,0.016666666666666607
genocida,genocida,0.0
consentir,consenso,0.22499999999999998
diferido,differito,0.13333333333333341
equidad,equita,0.1777777777777778
prudente,prudente,0.0
pandemia,pandemia,0.0
inminente,imminente,0.10370370370370374
esencia,essenza,0.25714285714285723
misogino,misogino,0.0
desgracia,disgrazia,0.20740740740740748
invasor,invasivo,0.1428571428571429
alienado,alienato,0.1166666666666667
eminente,eminente,0.0
abstracto,astratto,0.13333333333333341
premisa,premessa,0.1428571428571429
extension,estensione,0.11851851851851858
empirico,empirico,0.0
concepto,concetto,0.1166666666666667
talarico,talarico,0.0
astuto,astuzia,0.30000000000000016
elevar,salita,0.5888888888888889
chica,ragazza,0.6933333333333334
reiterar,ribadire,0.44166666666666676
lujuria,lussuria,0.1428571428571429
ensueno,sognare ad occhi aperti,0.6571428571428571
relativo,parente,0.5142857142857143
prodigio,prodigio,0.0
pasable,accettabile,0.3047619047619048
reparar,riparazione,0.3047619047619047
gratitud,gratitudine,0.033333333333333215
analogia,analogia,0.0
insercion,inserimento,0.21481481481481468
modestia,modestia,0.0
disculpa,scuse,0.4
activista,attivista,0.10370370370370374
remision,remissione,0.033333333333333326
inhospito,inospitale,0.20740740740740748
por lo tanto,percio,0.5111111111111111
mediocre,mediocre,0.0
monotono,monotono,0.0
despecho,dispetto,0.33333333333333337
fomentar,fomentare,0.016666666666666607
inefable,ineffabile,0.033333333333333326
apoyo,supporto,0.41333333333333333
retorica,retorica,0.0
preocupaciones,preoccupazioni,0.19523809523809532
base,fondazione,0.5666666666666667
sinonimo,sinonimo,0.0
proceder,procedere,0.016666666666666607
metodico,metodico,0.0
primacia,primato,0.2571428571428571
perfidia,perfidia,0.0
rechazar,rifiutare,0.5333333333333334
historia,storia,0.03333333333333344
por lo tanto,percio,0.5111111111111111
demagogo,demagogo,0.0
complejo,complesso,0.125
consiste,consiste,0.0
criterio,criterio,0.0
notivago,notivago,0.0
distinto,distinto,0.0
espectro,spettro,0.1523809523809525
sucumbir,soccombere,0.375
desinteresado,altruista,0.5259259259259259
amalgama,amalgama,0.0
resultado,risultato,0.20740740740740748
singular,singolare,0.13333333333333341
despertar,suscitare,0.4740740740740741
paradoja,paradosso,0.22499999999999998
mofa,beffa,0.45000000000000007
contexto,contesto,0.1166666666666667
proceso,processi,0.1428571428571429
elegible,idoneo,0.6000000000000001
comunion,comunione,0.016666666666666607
palabra,parola,0.30000000000000004
meta,obiettivo,0.55
reflejar,riflettere,0.3583333333333334
valiente,impavido,0.6333333333333333
maestria,padronanza,0.5666666666666667
sin embargo,tuttavia,0.6583333333333334
endemico,endemico,0.0
diseno,progetto,0.6000000000000001
legal,legale,0.026666666666666727
problema,problema,0.0
util,utile,0.033333333333333326
instigar,istigare,0.1166666666666667
increible,incredibile,0.029629629629629672
epifania,epifania,0.0
redencion,redenzione,0.11851851851851858
a traves de,attraverso,0.2799999999999999
paralelo,parallelo,0.016666666666666607
insipido,insapore,0.3333333333333335
resuelto,risoluto,0.33333333333333337
inmanente,immanente,0.10370370370370374
generico,generico,0.0
cordura,sanita mentale,0.780952380952381
perspicaz,perspicace,0.11111111111111116
reciproco,reciproco,0.0
concesion,concessione,0.02962962962962956
impresion,stampa,0.6111111111111112
escrupulo,scrupolo,0.13333333333333341
superfluo,superfluo,0.0
rectificar,rettificare,0.10666666666666669
paradigma,paradigma,0.0
dicotomia,dicotomia,0.0
objetivo,scopo,0.56
presuncion,presunzione,0.10666666666666669
diseno,progetto,0.6000000000000001
hipocrita,ipocrita,0.016666666666666607
ratificar,ratificare,0.014814814814814725
implicito,implicito,0.0
plenitud,pienezza,0.5333333333333334
basico,essenziale,0.6333333333333333
hegemonia,egemonia,0.016666666666666607
corolario,corollario,0.014814814814814725
incidente,incidente,0.0
extrano,strano,0.16666666666666663
altruismo,altruismo,0.0
vagabundo,vagabondo,0.10370370370370374
altruista,altruistico,0.11851851851851847
hermetico,ermetico,0.016666666666666607
aleatorio,casuale,0.49523809523809537
esperanza,speranza,0.016666666666666607
promiscuo,promiscuo,0.0
persuadir,persuadere,0.11851851851851858
confianza,fiducia,0.5047619047619047
adrede,deliberato,0.5
sapiencia,sapienza,0.125
indeleble,indelebile,0.014814814814814725
tambien,pure,0.7
insignificante,trascurabile,0.5777777777777777
diligente,diligente,0.0
impetuoso,impetuoso,0.0
descripcion,descrizione,0.16363636363636358
alegrarse,rallegrarsi,0.13333333333333341
renunciar,rassegnato,0.48888888888888893
inusual,insolito,0.39047619047619064
eminencia,eminenza,0.125
compasion,compassione,0.02962962962962956
prudencia,prudenza,0.125
pretension,pretesa,0.17142857142857149
discrecion,riservatezza,0.54
analitico,analitico,0.0
explicito,esplicito,0.10370370370370374
comun,ordinario,0.5866666666666667
percepcion,percezione,0.17999999999999994
factible,fattibile,0.13333333333333341
nostalgia,nostalgia,0.0
subjetivo,soggettivo,0.2962962962962963
autonomia,autonomia,0.0
autoctono,autoctono,0.0
resolucion,risoluzione,0.19999999999999996
compania,azienda,0.5047619047619049
desden,disprezzo,0.5
confiable,affidabile,0.3037037037037038
disension,dissenso,0.13333333333333341
expresion,espressione,0.13333333333333341
constante,costante,0.016666666666666607
supresion,soppressione,0.14074074074074072
taciturno,taciturno,0.0
imparcial,imparziale,0.11851851851851858
autentico,autentico,0.0
paciencia,pazienza,0.2416666666666667
ignorante,ignorante,0.0
arrogante,arrogante,0.0
execrable,esecrabile,0.11851851851851858
de lo contrario,altrimenti,0.5466666666666666
discurso,discorso,0.1166666666666667
restriccion,restrizione,0.16363636363636358
degradante,umiliante,0.4666666666666667
obstinado,ostinato,0.13333333333333341
consonante,consonante,0.0
presumir,vantarsi,0.5416666666666667
estructura,struttura,0.11851851851851858
cognitivo,cognitivo,0.0
adyacente,adiacente,0.10370370370370374
elocuente,eloquente,0.10370370370370374
instancia,esempio,0.6476190476190476
interes,interesse,0.028571428571428692
limite,borderline,0.47777777777777786
sintetico,sintetico,0.0
inminencia,imminenza,0.2148148148148148
sumision,sottomissione,0.17500000000000016
presagio,presagio,0.0
importante,pertinente,0.3533333333333334
irascible,irascibile,0.014814814814814725
obstaculo,ostacolo,0.13333333333333341
excelente,grande,0.6111111111111112
libertad,liberta,0.01904761904761898
enganar,ingannare,0.17142857142857149
adquisicion,acquisizione,0.18181818181818177
ambicioso,ambizioso,0.10370370370370374
plausible,plausibile,0.014814814814814725
humildad,umilta,0.20000000000000007
conviccion,convinzione,0.18666666666666676
primeros frutos,primizie,0.375
diccionario,dizionario,0.09999999999999998
intrinseco,intrinseco,0.0
hacer sin,fare senza,0.41481481481481497
presuntuoso,presuntuoso,0.0
diligencia,diligenza,0.11111111111111116
corroborar,corroborare,0.013333333333333308
clima,tempo atmosferico,0.6933333333333334
detrimento,danno,0.42666666666666664
madurez,scadenza,0.4
parsimonia,parsimonia,0.0
referencia,riferimento,0.36
inspiracion,ispirazione,0.1696969696969698
inexorable,inesorabile,0.1066666666666668
pragmatico,pragmatico,0.0
arrogante,arrogante,0.0
incipiente,nascente,0.2416666666666667
disruptivo,dirompente,0.44000000000000006
hermandad de mujeres,sorellanza,0.5933333333333335
serenidad,serenita,0.13333333333333341
arbitrario,arbitrario,0.0
indulgente,indulgente,0.0
propicio,di buon auspicio,0.29166666666666663
iniquidad,iniquita,0.13333333333333341
importante,pertinente,0.3533333333333334
ingenio,spirito,0.49523809523809526
resignacion,dimissioni,0.5133333333333334
hipocresia,ipocrisia,0.11851851851851858
defensor,avvocato,0.7250000000000001
precedente,precedente,0.0
vistazo,occhiata,0.5142857142857143
incidencia,incidenza,0.11111111111111116
halagada,lusingato,0.55
susceptible,suscettibile,0.09696969696969704
sin embargo,cio nonostante,0.6303030303030304
disposicion,disposizione,0.09696969696969693
excentrico,eccentrico,0.09333333333333338
subestimar,sottovalutare,0.44666666666666666
preliminar,preliminare,0.013333333333333308
tribulacion,tribolazione,0.18181818181818177
deducir,dedurre,0.24761904761904763
flematico,flemmatico,0.014814814814814725
anacronico,anacronistico,0.026666666666666616
equivocado,sbagliato,0.5777777777777777
escrutinio,scrutinio,0.014814814814814725
retrogrado,retrogrado,0.0
indolencia,indolenza,0.11111111111111116
excelencia,eccellenza,0.27333333333333343
interferencia,interferenza,0.08333333333333337
democracia,democrazia,0.09333333333333338
desgracia,sfortuna,0.55
compasivo,compassionevole,0.06666666666666654
contemplar,contemplare,0.013333333333333308
importante,importante,0.0
peyorativo,peggiorativo,0.10666666666666669
restringir,limitare,0.5666666666666667
sintetizar,sintetizzare,0.026666666666666616
proposicion,proposizione,0.09696969696969693
signatario,firmatario,0.2666666666666667
primordial,primordiale,0.013333333333333308
situacion,situazione,0.11851851851851858
coactivo,coercitivo,0.1416666666666666
resolucion,risoluzione,0.19999999999999996
intrinseco,intrinseco,0.0
subyacente,sottostante,0.42666666666666664
meta,obiettivo,0.55
itinerario,itinerario,0.0
esplendido,splendida,0.11851851851851858
alteridad,alterita,0.13333333333333341
pecuniario,pecuniario,0.0
espontaneo,spontaneo,0.014814814814814725
designacion,designazione,0.09696969696969693
transeunte,passante,0.3583333333333334
necesario,necessario,0.014814814814814725
constancia,costanza,0.1416666666666666
sarcastico,sarcastico,0.0
pusilC/nime,pusilC/nime,0.0
idoneidad,adeguatezza,0.5925925925925926
privilegio,privilegio,0.0
vacio,privo,0.5066666666666666
creible,credibile,0.03809523809523818
pernostico,pernostico,0.0
exacerbado,esasperato,0.3666666666666667
felicidad,felicita,0.13333333333333341
relevancia,pertinenza,0.5133333333333334
divergente,divergente,0.0
disciplina,disciplina,0.0
inferencia,inferenza,0.11111111111111116
pernicioso,pernicioso,0.0
diseminar,diffondere,0.4814814814814815
satisfaccion,soddisfazione,0.30000000000000016
meticuloso,meticoloso,0.09333333333333338
reverberar,riverberare,0.10666666666666669
esporadico,sporadico,0.014814814814814725
influencia,influenza,0.11111111111111116
militancia,militanza,0.11111111111111116
rotundo,clamoroso,0.5047619047619047
consolidar,consolidare,0.013333333333333308
fornicacion,fornicazione,0.09696969696969693
subversivo,sovversivo,0.17333333333333334
significado,senso,0.45333333333333337
perspectiva,prospettiva,0.1696969696969698
resiliencia,resilienza,0.09999999999999998
disfrazado,mascherato,0.52
vicisitud,vicenda,0.39047619047619064
suficiente,compiacente,0.34666666666666657
desafilado,smussare,0.6499999999999999
perentorio,perentorio,0.0
comorbilidad,comorbilita,0.09696969696969682
comprension,comprensione,0.012121212121212088
conocimiento,intuizione,0.52
expectativa,aspettativa,0.24242424242424243
suposicion,assunzione,0.42666666666666664
beneplacito,beneplacito,0.0
subterfugio,sotterfugio,0.1575757575757576
prejuicio,pregiudizio,0.22962962962962974
experiencia,esperienza,0.19333333333333336
indiferente,indifferente,0.012121212121212088
consonancia,consonanza,0.09999999999999998
pretencioso,pretenzioso,0.08484848484848484
trascender,trascendere,0.013333333333333308
inconmensurable,incommensurabile,0.07111111111111112
intensidad,intensita,0.11851851851851858
cuota,quota,0.18666666666666676
beligerante,belligerante,0.012121212121212088
prominente,prominente,0.0
necesidad,bisogno,0.7333333333333334
superficial,superficiale,0.012121212121212088
sobre,riguardante,0.5866666666666667
amabilidad,gentilezza,0.5933333333333334
litigio,contenzioso,0.5428571428571429
indecible,indicibile,0.11851851851851858
animosidad,animosita,0.11851851851851858
intervencion,intervento,0.11333333333333329
tarea,compito,0.7066666666666667
vocabulario,vocabolario,0.08484848484848484
antagonismo,antagonismo,0.0
saludo,saluto,0.15555555555555556
resistencia,resistenza,0.09999999999999998
indiferencia,indifferenza,0.1499999999999999
afirmar,reclamo,0.6095238095238096
comprender,capire,0.3555555555555556
citado,suddetto,0.5888888888888888
subsecuente,successivo,0.5133333333333334
estereotipo,stereotipo,0.013333333333333308
integridad,integrita,0.11851851851851858
diversidad,diversita,0.11851851851851858
ambiguedad,ambiguita,0.20740740740740748
liberar,pubblicazione,0.5523809523809524
especulacion,speculazione,0.15555555555555556
indulgencia,indulgenza,0.09999999999999998
originario,originario,0.0
divergencia,divergenza,0.09999999999999998
