en,es,Alignment Score
hustle,ajetreo,0.6000000000000001
pair,par,0.04444444444444451
for,para,0.6222222222222222
river,rio,0.3555555555555556
hence,por eso,0.7066666666666668
hello,hola,0.45000000000000007
cia,cia,0.0
jus,jus,0.0
home,hogar,0.45000000000000007
your,su,0.5666666666666667
he did,el hizo,0.47777777777777775
will,voluntad,0.7166666666666668
via,a traves de,0.7555555555555555
sound,sonido,0.21333333333333337
ship,barco,0.85
yes,si,0.5
i love,amo,0.6666666666666667
king,rey,0.8666666666666667
he has,el tiene,0.6000000000000001
good,bien,0.8333333333333334
but,pero,0.8666666666666667
use,usar,0.33333333333333337
month,mes,0.6222222222222222
gone,desaparecido,0.7833333333333333
lies,mentiras,0.5166666666666666
wing,ala,0.8666666666666667
some,alguno,0.6833333333333333
him,a el,0.8666666666666667
echo,eco,0.04444444444444451
pal,camarada,0.711111111111111
clan,clan,0.0
love,amar,0.8333333333333334
fact,hecho,0.6833333333333333
myth,mito,0.4666666666666667
bias,inclinacion,0.5833333333333333
you,tu,0.5
as,como,0.9333333333333333
chaos,caos,0.033333333333333326
haphazardly,al azar,0.3047619047619049
panache,estilo,0.7
see,ver,0.6000000000000001
action,accion,0.15555555555555556
thirst,sed,0.6666666666666667
after,despues,0.72
then,entonces,0.5
life,vida,0.6666666666666667
house,casa,0.6833333333333333
peak,cima,0.6499999999999999
saga,saga,0.0
fear,miedo,0.6833333333333333
anus,ano,0.33333333333333337
wilderness,desierto,0.5416666666666667
sum,suma,0.04444444444444451
grandma,abuela,0.5777777777777777
motto,lema,0.6666666666666667
beyond,mas alla de,0.7555555555555555
fool,tonto,0.4833333333333334
fate,destino,0.7
idem,idem,0.0
urgent,urgente,0.022222222222222143
believe,creer,0.56
for the,para el,0.5047619047619047
fit,adaptar,0.6888888888888889
zeal,celo,0.4666666666666667
he came,el vino,0.6095238095238096
i could,pude,0.5166666666666666
all,todo,0.8666666666666667
more,mas,0.6000000000000001
bad,malo,0.6444444444444445
area,area,0.0
love,amar,0.8333333333333334
rude,brusco,0.4833333333333334
lame,aburrido,0.7166666666666668
quota,cuota,0.18666666666666676
for,para,0.6222222222222222
sound,sonido,0.21333333333333337
land,tierra,0.6833333333333333
it will be,sera,0.75
phase,fase,0.25
being,ser,0.6666666666666667
self,ser,0.33333333333333337
behind,detras,0.6888888888888889
sweet,dulce,0.6799999999999999
vogue,moda,0.6833333333333333
soon,pronto,0.4833333333333334
where,donde,0.6666666666666667
rime,escarcha,0.7
god,dios,0.6000000000000001
for the,para el,0.5047619047619047
before,antes,0.6933333333333334
early,temprano,0.5733333333333334
yoke,yugo,0.43333333333333335
quite,bastante,0.5466666666666666
art,arte,0.04444444444444451
soul,alma,0.6500000000000001
goal,meta,0.6499999999999999
whose,cuyo,0.6666666666666667
saddle,sillin,0.5777777777777777
brings,trae,0.7
in,en,0.4666666666666667
cell,celula,0.06666666666666676
content,contenido,0.1523809523809524
been,estado,0.6833333333333333
noia,noya,0.2333333333333334
face,rostro,0.8666666666666667
disgust,asco,0.7166666666666668
disgust,asco,0.7166666666666668
target,objetivo,0.5888888888888888
focus,enfocar,0.3866666666666667
that,eso,0.8666666666666667
pose,pose,0.0
to go out,salir,0.88
base,base,0.0
ok,de acuerdo,0.7333333333333334
hate,odiar,0.6833333333333333
act,acto,0.04444444444444451
he had,el tuvo,0.5888888888888889
high,alto,0.8333333333333334
all,todo,0.8666666666666667
leisure,ocio,0.7166666666666668
rite,rito,0.2333333333333334
jeez,dios mio,0.9
will,voluntad,0.7166666666666668
new,nuevo,0.37777777777777777
agile,agil,0.033333333333333326
dawn,amanecer,0.5333333333333334
thesis,tesis,0.026666666666666727
high,alto,0.8333333333333334
bulge,bulto,0.3466666666666668
nexus,nexo,0.25
shore,costa,0.6799999999999999
sagacious,sagaz,0.2400000000000001
core,centro,0.4666666666666667
black,negro,0.8266666666666667
term,termino,0.06666666666666676
success,exito,0.7066666666666668
to mix,mezclar,0.7111111111111111
noble,noble,0.0
sense,sentido,0.3733333333333334
affection,afecto,0.06666666666666687
executioner,verdugo,0.5523809523809524
ethics,etica,0.21333333333333337
full,lleno,0.45000000000000007
mutual,mutual,0.0
tenuous,tenue,0.21333333333333337
to do,hacer,0.8266666666666667
like this,asi,0.7333333333333334
subtle,sutil,0.21333333333333337
force,fuerza,0.5333333333333333
here,aqui,0.8333333333333334
however,sin embargo,0.6476190476190476
section,seccion,0.13333333333333341
were,eran,0.45000000000000007
heal,sanar,0.6833333333333333
power,fuerza,0.5333333333333333
daring,atrevido,0.47777777777777786
idea,idea,0.0
core,centro,0.4666666666666667
innate,innato,0.15555555555555556
moral,moral,0.0
about,acerca de,0.72
since,desde,0.52
very,muy,0.6000000000000001
fair,justo,0.85
honor,honor,0.0
perhaps,tal vez,0.7238095238095238
clumsy,torpe,0.8400000000000001
dream,sueno,0.6933333333333334
reason,razon,0.21333333333333326
futile,futil,0.026666666666666727
ethnicity,etnicidad,0.28888888888888875
icon,icono,0.033333333333333326
attachment,adjunto,0.5142857142857143
friend,amigo,0.7066666666666668
aegis,egida,0.3600000000000001
tange,tange,0.0
lapse,lapso,0.18666666666666676
be,haber,0.16666666666666663
expose,exponer,0.1777777777777778
mutual,mutual,0.0
dengo,dengo,0.0
time,tiempo,0.2666666666666667
couple,pareja,0.5777777777777777
then,entonces,0.5
skillful,habil,0.56
harvest,cosecha,0.5904761904761905
bocal,bocal,0.0
ruse,ardid,0.6666666666666667
live,en vivo,0.5166666666666666
to weight,pesar,0.7466666666666667
to know,saber,0.8533333333333334
cause,causa,0.18666666666666676
grace,gracia,0.19999999999999996
to say,decir,0.8400000000000001
genre,genero,0.19999999999999996
obstacle,obstaculo,0.13333333333333341
possession,posesion,0.033333333333333326
sew,coser,0.37777777777777777
pariah,paria,0.026666666666666727
duty,deber,0.6499999999999999
shout,gritar,0.6933333333333334
tenacious,tenaz,0.2400000000000001
offspring,descendencia,0.6888888888888889
sieve,tamiz,0.6933333333333334
being,ser,0.6666666666666667
owl,buho,0.6000000000000001
common,comun,0.19999999999999996
fear,miedo,0.6833333333333333
holds,sostiene,0.5733333333333333
yet,todavia,0.6666666666666667
cheer,alegria,0.56
apex,apendice,0.30000000000000016
eagerness,afan,0.55
give way,ceda el paso,0.5916666666666666
be,ser,0.5333333333333334
worthy,valioso,0.711111111111111
schedule,cronograma,0.7416666666666667
pretty,bonito,0.7111111111111111
xibiu,xibiu,0.0
cult,culto,0.033333333333333326
world,mundo,0.6799999999999999
atrocious,atroz,0.2400000000000001
fleeting,fugaz,0.56
census,censo,0.19999999999999996
land,tierra,0.6833333333333333
strong,fuerte,0.7111111111111111
addiction,adiccion,0.13333333333333341
aka,alias,0.37777777777777777
bake,hornear,0.7
worth,valer,0.6799999999999999
dense,denso,0.18666666666666676
except,excepto,0.022222222222222143
cynical,cinico,0.3222222222222223
suitable,adecuado,0.6333333333333333
scope,alcance,0.5466666666666666
not(c)member,not(c)miembro,0.0888888888888888
nature,naturaleza,0.06666666666666665
mister,senor,0.3733333333333333
path,camino,0.7
heyday,apogeo,0.7
harmless,inofensivo,0.6583333333333334
suits,trajes,0.52
utopia,utopia,0.0
sadist,sadico,0.288888888888889
scope,alcance,0.5466666666666666
emphasis,enfasis,0.2571428571428571
idiot,estupido,0.4
casual,casual,0.0
merit,merito,0.026666666666666727
allusion,alusion,0.01904761904761898
hostile,hostil,0.022222222222222143
wish,desear,0.7
skeptical,esceptico,0.3037037037037037
legacy,legado,0.288888888888889
straight,derecho,0.638095238095238
hurry,apurarse,0.42666666666666664
gentle,amable,0.5555555555555556
alien,extraterrestre,0.6533333333333333
harmful,danino,0.7222222222222222
infamous,infame,0.1777777777777777
cliche,cliche,0.0
passion,pasion,0.022222222222222143
excellent,excelente,0.10370370370370374
affable,afable,0.022222222222222143
define,definir,0.16666666666666663
adornment,adorno,0.18888888888888877
gift,regalo,0.6833333333333333
ecstasy,extasis,0.38095238095238093
sober,sobrio,0.19999999999999996
membership,afiliacion,0.7466666666666667
munchies,bocadillos,0.5666666666666667
assess,evaluar,0.711111111111111
cunning,astuto,0.7222222222222222
too,tambien,0.6666666666666667
sucker,ventosa,0.711111111111111
session,sesion,0.022222222222222143
threshold,limite,0.6000000000000001
solemn,solemne,0.022222222222222143
to judge,juzgar,0.47777777777777775
glory,gloria,0.19999999999999996
labaro,labaro,0.0
formal,formal,0.0
habit,habito,0.026666666666666727
appreciation,apreciacion,0.09696969696969704
although,a pesar de,0.7333333333333334
opportunity,oportunidad,0.23636363636363633
momentum,impulso,0.6095238095238096
someone else,alguien mas,0.5575757575757576
effective,eficaz,0.4666666666666667
idle,inactivo,0.7
jubilation,jubilo,0.06666666666666665
dispose,disponer,0.1523809523809525
diffuse,difuso,0.1777777777777778
breath,aliento,0.5888888888888889
evergreen,hojas perennes,0.5111111111111111
nuance,matiz,0.7066666666666668
faction,faccion,0.13333333333333341
excuse,disculpar,0.6111111111111112
exile,exilio,0.19999999999999996
assignment,asignacion,0.34666666666666657
playful,jugueton,0.7333333333333334
abstain,abstenerse,0.2857142857142856
inference,inferencia,0.11111111111111116
jurisdiction,jurisdiccion,0.07777777777777772
object,objeto,0.15555555555555556
access,acceso,0.15555555555555556
accent,acento,0.15555555555555556
desire,deseo,0.19999999999999996
axiom,axioma,0.026666666666666727
sanction,sancion,0.01904761904761898
free,gratis,0.7
tacit,tacito,0.026666666666666727
ethereal,etereo,0.18888888888888888
search,buscar,0.4444444444444444
woman,mujer,0.6799999999999999
courteous,cortes,0.05555555555555558
greed,codicia,0.7066666666666668
ailment,enfermedad,0.6285714285714286
serious,grave,0.7066666666666668
pledge,promesa,0.5777777777777777
exempt,eximir,0.4444444444444444
greed,codicia,0.7066666666666668
fear,miedo,0.6833333333333333
vulgar,vulgar,0.0
remote,remoto,0.15555555555555556
pleasure,placer,0.3222222222222223
factual,factual,0.0
when,cuando,0.6833333333333333
ever,alguna vez,0.5666666666666667
do not give me,no me des,0.3555555555555556
cleanliness,limpieza,0.5583333333333333
empathy,empatia,0.24761904761904763
aurelio,aurelio,0.0
spouse,conyuge,0.4666666666666667
scam,estafa,0.5
exception,excepcion,0.10370370370370374
character,personaje,0.5777777777777777
ephemeral,efimero,0.40000000000000013
long-winded,prolijo,0.638095238095238
entry,entrada,0.21333333333333337
idyllic,idilico,0.2571428571428571
analogue,termino analogo,0.2833333333333333
genuine,genuino,0.13333333333333341
story,historia,0.2400000000000001
sublime,sublime,0.0
family,familia,0.16666666666666663
condolences,condolencias,0.09090909090909083
infer,inferir,0.039999999999999925
apathetic,apatico,0.1523809523809525
succinct,sucinto,0.1523809523809525
meaning,significado,0.6476190476190476
to redeem,para redimir,0.41481481481481486
cunning,astuto,0.7222222222222222
prodigal,prodigo,0.1428571428571429
culture,cultura,0.13333333333333341
audacity,audacia,0.1428571428571429
stigma,estigma,0.022222222222222143
recess,receso,0.15555555555555556
virtue,virtud,0.15555555555555556
refute,refutar,0.16666666666666663
iconic,iconico,0.022222222222222143
superb,magnifico,0.8555555555555556
cynicism,cinismo,0.2761904761904762
stable,estable,0.022222222222222143
urge,urgir,0.25
morbid,morbido,0.022222222222222143
trivial,trivial,0.0
mitigate,mitigar,0.1428571428571429
synthesis,sintesis,0.13333333333333341
aspect,aspecto,0.022222222222222143
lust,lujuria,0.4833333333333334
friendly,amigable,0.6333333333333333
success,exito,0.7066666666666668
happiness,felicidad,0.7407407407407407
impute,imputar,0.16666666666666663
scum,escoria,0.5
emerge,surgir,0.5777777777777777
anathema,anatema,0.01904761904761898
in addition,ademas,0.6222222222222222
candor,candor,0.0
debauchery,libertinaje,0.6
pride,orgullo,0.72
excerpt,extracto,0.38095238095238104
litigation,litigio,0.04761904761904767
to crave,ansiar,0.7222222222222222
through,a traves de,0.6476190476190476
however,sin embargo,0.6476190476190476
frivolous,frivolo,0.028571428571428692
courage,coraje,0.1777777777777778
longing,anhelo,0.5666666666666667
native,nativo,0.15555555555555556
nickname,apodo,0.72
ambiguous,ambiguo,0.028571428571428692
wholesome,sano,0.5333333333333334
austere,austero,0.13333333333333341
scrotum,escroto,0.2571428571428571
friendship,amistad,0.6476190476190476
sensible,sensitivo,0.32499999999999984
chimera,quimera,0.24761904761904763
ambition,ambicion,0.1166666666666667
excess,exceso,0.15555555555555556
racism,racismo,0.022222222222222143
relationship,relacion,0.15833333333333321
promotion,promocion,0.10370370370370374
erudite,erudito,0.13333333333333341
immersion,inmersion,0.10370370370370374
modest,modesto,0.022222222222222143
partial,parcial,0.13333333333333341
colossus,coloso,0.1777777777777777
demand,demanda,0.022222222222222143
exotic,exotico,0.022222222222222143
concise,conciso,0.13333333333333341
science,ciencia,0.2571428571428571
piety,piedad,0.3600000000000001
volatile,volatil,0.01904761904761898
notorious,notorio,0.028571428571428692
bizarre,extrano,0.7047619047619048
exemption,exencion,0.2250000000000001
current,actual,0.5777777777777777
suffer,sufrir,0.288888888888889
hybrid,hibrido,0.1777777777777778
earn,ganar,0.4666666666666667
intense,intenso,0.13333333333333341
inertia,inercia,0.13333333333333341
emotional,emocional,0.10370370370370374
anxious,ansioso,0.2666666666666666
despot,despota,0.022222222222222143
sense,sentido,0.3733333333333334
clear,claro,0.18666666666666676
profane,profano,0.13333333333333341
diffusion,difusion,0.016666666666666607
inherent,inherente,0.016666666666666607
respect,respeto,0.13333333333333341
peculiar,peculiar,0.0
denigrate,denigrar,0.125
genocidal,genocida,0.016666666666666607
consent,consentir,0.028571428571428692
deferred,diferido,0.3416666666666667
equity,equidad,0.30000000000000016
prudent,prudente,0.01904761904761898
pandemic,pandemia,0.1166666666666667
imminent,inminente,0.13333333333333341
essence,esencia,0.2571428571428571
misogynist,misogino,0.24166666666666659
disgrace,desgracia,0.2416666666666667
invasive,invasor,0.2571428571428571
alienated,alienado,0.125
eminent,eminente,0.01904761904761898
abstract,abstracto,0.016666666666666607
premise,premisa,0.13333333333333341
extension,extension,0.0
empirical,empirico,0.125
concept,concepto,0.01904761904761898
talaric,talarico,0.01904761904761898
cunning,astuto,0.7222222222222222
rise,elevar,0.6666666666666667
girl,chica,0.6833333333333333
reiterate,reiterar,0.125
lust,lujuria,0.4833333333333334
daydream,ensueno,0.7238095238095238
relative,relativo,0.1166666666666667
prodigy,prodigio,0.1428571428571429
passable,pasable,0.01904761904761898
repair,reparar,0.16666666666666663
gratitude,gratitud,0.016666666666666607
analogy,analogia,0.1428571428571429
insertion,insercion,0.10370370370370374
modesty,modestia,0.1428571428571429
apology,disculpa,0.7142857142857143
activist,activista,0.016666666666666607
remission,remision,0.016666666666666607
inhospitable,inhospito,0.12592592592592589
therefore,por lo tanto,0.6666666666666667
mediocre,mediocre,0.0
monotonous,monotono,0.025000000000000022
spite,despecho,0.4
foment,fomentar,0.03333333333333344
ineffable,inefable,0.016666666666666607
support,apoyo,0.56
rhetoric,retorica,0.1166666666666667
concerns,preocupaciones,0.3833333333333333
foundation,base,0.7666666666666667
synonym,sinonimo,0.2857142857142858
proceed,proceder,0.1428571428571429
methodical,metodico,0.1416666666666666
primacy,primacia,0.1428571428571429
perfidy,perfidia,0.1428571428571429
reject,rechazar,0.4555555555555556
history,historia,0.1428571428571429
therefore,por lo tanto,0.6666666666666667
demagogue,demagogo,0.125
complex,complejo,0.1428571428571429
it consists,consiste,0.15000000000000002
criterion,criterio,0.016666666666666607
notivago,notivago,0.0
distinct,distinto,0.1166666666666667
spectrum,espectro,0.22499999999999998
succumb,sucumbir,0.1428571428571429
selfless,desinteresado,0.4916666666666667
amalgam,amalgama,0.01904761904761898
outcome,resultado,0.5333333333333334
singular,singular,0.0
arouse,despertar,0.5888888888888889
paradox,paradoja,0.1428571428571429
mockery,mofa,0.4833333333333334
context,contexto,0.01904761904761898
process,proceso,0.13333333333333341
eligible,elegible,0.1166666666666667
communion,comunion,0.016666666666666607
word,palabra,0.7166666666666667
goal,meta,0.6499999999999999
reflect,reflejar,0.2571428571428571
fearless,valiente,0.5416666666666667
mastery,maestria,0.2761904761904762
nevertheless,sin embargo,0.6242424242424243
endemic,endemico,0.01904761904761898
design,diseno,0.43333333333333335
legal,legal,0.0
problem,problema,0.01904761904761898
helpful,util,0.4833333333333333
instigate,instigar,0.125
incredible,increible,0.014814814814814725
epiphany,epifania,0.33333333333333337
redemption,redencion,0.20000000000000007
through,a traves de,0.6476190476190476
parallel,paralelo,0.1166666666666667
tasteless,insipido,0.7333333333333334
resolute,resuelto,0.32499999999999984
immanent,inmanente,0.13333333333333341
generic,generico,0.01904761904761898
sanity,cordura,0.711111111111111
insightful,perspicaz,0.6666666666666667
reciprocal,reciproco,0.11111111111111116
concession,concesion,0.014814814814814725
printing,impresion,0.44166666666666676
scruple,escrupulo,0.17142857142857149
superfluous,superfluo,0.022222222222222143
rectify,rectificar,0.16190476190476188
paradigm,paradigma,0.016666666666666607
dichotomy,dicotomia,0.19999999999999996
purpose,objetivo,0.6190476190476191
presumption,presuncion,0.17999999999999994
design,diseno,0.43333333333333335
hypocrite,hipocrita,0.20740740740740748
ratify,ratificar,0.18888888888888877
implicit,implicito,0.016666666666666607
fullness,plenitud,0.6416666666666666
essential,basico,0.6222222222222222
hegemony,hegemonia,0.125
corollary,corolario,0.19999999999999996
incident,incidente,0.016666666666666607
strange,extrano,0.38095238095238093
altruism,altruismo,0.016666666666666607
tramp,vagabundo,0.7466666666666667
altruistic,altruista,0.11111111111111116
airtight,hermetico,0.55
random,aleatorio,0.6111111111111112
hope,esperanza,0.5333333333333334
promiscuous,promiscuo,0.022222222222222143
persuade,persuadir,0.125
trust,confianza,0.88
deliberate,adrede,0.48888888888888893
sapience,sapiencia,0.125
indelible,indeleble,0.10370370370370374
too,tambien,0.6666666666666667
petty,insignificante,0.8
diligent,diligente,0.016666666666666607
impetuous,impetuoso,0.10370370370370374
description,descripcion,0.08484848484848484
rejoice,alegrarse,0.6190476190476191
resigned,renunciar,0.5333333333333334
unusual,inusual,0.13333333333333341
eminence,eminencia,0.125
compassion,compasion,0.014814814814814725
prudence,prudencia,0.125
pretension,pretension,0.0
discretion,discrecion,0.09333333333333338
analytical,analitico,0.2148148148148148
explicit,explicito,0.016666666666666607
ordinary,comun,0.5733333333333334
perception,percepcion,0.09333333333333338
feasible,factible,0.22499999999999998
nostalgia,nostalgia,0.0
subjective,subjetivo,0.11851851851851858
autonomy,autonomia,0.125
autochthonous,autoctono,0.051851851851851816
resolution,resolucion,0.09333333333333338
company,compania,0.1428571428571429
disdain,desden,0.3222222222222223
trustworthy,confiable,0.7555555555555555
dissension,disension,0.014814814814814725
expression,expresion,0.014814814814814725
constant,constante,0.016666666666666607
suppression,supresion,0.029629629629629672
taciturn,taciturno,0.016666666666666607
impartial,imparcial,0.10370370370370374
authentic,autentico,0.10370370370370374
patience,paciencia,0.2416666666666667
ignorant,ignorante,0.016666666666666607
arrogant,arrogante,0.016666666666666607
execrable,execrable,0.0
otherwise,de lo contrario,0.5407407407407407
discourse,discurso,0.13333333333333341
restriction,restriccion,0.08484848484848484
demeaning,degradante,0.4814814814814815
obstinate,obstinado,0.19259259259259254
consonant,consonante,0.014814814814814725
boast,presumir,0.7333333333333334
framework,estructura,0.6518518518518519
cognitive,cognitivo,0.10370370370370374
adjacent,adyacente,0.13333333333333341
eloquent,elocuente,0.13333333333333341
instance,instancia,0.125
interest,interes,0.01904761904761898
borderline,limite,0.47777777777777786
synthetic,sintetico,0.20740740740740748
imminence,inminencia,0.2148148148148148
submission,sumision,0.033333333333333326
omen,presagio,0.7
relevant,importante,0.45000000000000007
irascible,irascible,0.0
hindrance,obstaculo,0.6592592592592592
great,excelente,0.5866666666666667
freedom,libertad,0.6190476190476191
deceive,enganar,0.7047619047619048
acquisition,adquisicion,0.1696969696969698
ambitious,ambicioso,0.20740740740740748
plausible,plausible,0.0
humility,humildad,0.31666666666666654
conviction,conviccion,0.09333333333333338
firstfruits,primeros frutos,0.290909090909091
dictionary,diccionario,0.19333333333333336
intrinsic,intrinseco,0.11851851851851858
do without,hacer sin,0.674074074074074
presumptuous,presuntuoso,0.17575757575757567
diligence,diligencia,0.11111111111111116
corroborate,corroborar,0.09999999999999987
weather,clima,0.7066666666666668
detriment,detrimento,0.014814814814814725
maturity,madurez,0.39047619047619053
parsimony,parsimonia,0.11111111111111116
reference,referencia,0.11111111111111116
inspiration,inspiracion,0.08484848484848484
inexorable,inexorable,0.0
pragmatic,pragmatico,0.014814814814814725
arrogant,arrogante,0.016666666666666607
incipient,incipiente,0.014814814814814725
disruptive,disruptivo,0.09333333333333327
sorority,hermandad de mujeres,0.75
serenity,serenidad,0.22499999999999998
arbitrary,arbitrario,0.11111111111111116
indulgent,indulgente,0.014814814814814725
auspicious,propicio,0.3416666666666667
iniquity,iniquidad,0.22499999999999998
relevant,importante,0.45000000000000007
wit,ingenio,0.6888888888888889
resignation,resignacion,0.08484848484848484
hypocrisy,hipocresia,0.311111111111111
advocate,defensor,0.625
precedent,precedente,0.014814814814814725
glimpse,vistazo,0.6190476190476191
incidence,incidencia,0.11111111111111116
flattered,halagada,0.55
susceptible,susceptible,0.0
nonetheless,sin embargo,0.6727272727272727
disposition,disposicion,0.08484848484848484
eccentric,excentrico,0.11851851851851858
underestimate,subestimar,0.29333333333333333
preliminary,preliminar,0.013333333333333308
tribulation,tribulacion,0.08484848484848484
deduce,deducir,0.16666666666666663
phlegmatic,flematico,0.2148148148148148
anachronistic,anacronico,0.11999999999999988
mistaken,equivocado,0.6666666666666667
scrutiny,escrutinio,0.1416666666666666
retrograde,retrogrado,0.09333333333333327
indolence,indolencia,0.11111111111111116
excellence,excelencia,0.17999999999999994
interference,interferencia,0.08333333333333337
democracy,democracia,0.11111111111111116
misfortune,desgracia,0.674074074074074
compassionate,compasivo,0.1407407407407406
contemplate,contemplar,0.09999999999999987
important,importante,0.014814814814814725
pejorative,peyorativo,0.18666666666666676
restrict,restringir,0.23333333333333328
synthesize,sintetizar,0.3666666666666667
proposition,proposicion,0.08484848484848484
signatory,signatario,0.19999999999999996
primordial,primordial,0.0
situation,situacion,0.10370370370370374
coercive,coactivo,0.3416666666666667
resolution,resolucion,0.09333333333333338
intrinsic,intrinseco,0.11851851851851858
underlying,subyacente,0.5933333333333334
goal,meta,0.6499999999999999
itinerary,itinerario,0.11111111111111116
splendid,esplendido,0.033333333333333326
alterity,alteridad,0.22499999999999998
pecuniary,pecuniario,0.11111111111111116
spontaneous,espontaneo,0.09999999999999987
designation,designacion,0.08484848484848484
passerby,transeunte,0.5666666666666667
necessary,necesario,0.19999999999999996
constancy,constancia,0.11111111111111116
sarcastic,sarcastico,0.014814814814814725
pusilC/nime,pusilC/nime,0.0
suitability,idoneidad,0.674074074074074
privilege,privilegio,0.11111111111111116
devoid,vacio,0.5333333333333333
believable,creible,0.2952380952380952
pernostic,pernostico,0.014814814814814725
exacerbated,exacerbado,0.09999999999999998
happiness,felicidad,0.7407407407407407
relevance,relevancia,0.11111111111111116
divergent,divergente,0.014814814814814725
discipline,disciplina,0.09333333333333327
inference,inferencia,0.11111111111111116
pernicious,pernicioso,0.09333333333333327
disseminate,diseminar,0.12592592592592589
satisfaction,satisfaccion,0.07777777777777772
meticulous,meticuloso,0.09333333333333327
reverberate,reverberar,0.09999999999999987
sporadic,esporadico,0.033333333333333326
influence,influencia,0.11111111111111116
militancy,militancia,0.11111111111111116
resounding,rotundo,0.2952380952380952
consolidate,consolidar,0.09999999999999987
fornication,fornicacion,0.08484848484848484
subversive,subversivo,0.09333333333333327
meaning,significado,0.6476190476190476
perspective,perspectiva,0.08484848484848473
resilience,resiliencia,0.09999999999999987
disguised,disfrazado,0.4740740740740742
vicissitude,vicisitud,0.02962962962962956
complacent,suficiente,0.5066666666666667
blunt,desafilado,0.76
peremptory,perentorio,0.2666666666666667
comorbidity,comorbilidad,0.23636363636363633
understanding,comprension,0.5575757575757576
insight,conocimiento,0.5428571428571429
expectation,expectativa,0.15757575757575748
assumption,suposicion,0.34666666666666657
beneplacito,beneplacito,0.0
subterfuge,subterfugio,0.09999999999999987
prejudice,prejuicio,0.19999999999999996
experience,experiencia,0.09999999999999987
indifferent,indiferente,0.08484848484848473
consonance,consonancia,0.09999999999999987
pretentious,pretencioso,0.1696969696969698
transcend,trascender,0.11111111111111116
immeasurable,inconmensurable,0.17222222222222228
intensity,intensidad,0.19999999999999996
quota,cuota,0.18666666666666676
belligerent,beligerante,0.1696969696969698
prominent,prominente,0.014814814814814725
need,necesidad,0.11666666666666681
superficial,superficial,0.0
concerning,sobre,0.6133333333333333
kindness,amabilidad,0.6583333333333334
litigation,litigio,0.04761904761904767
unspeakable,indecible,0.41481481481481475
animosity,animosidad,0.19999999999999996
intervention,intervencion,0.07777777777777772
task,tarea,0.45000000000000007
vocabulary,vocabulario,0.09999999999999987
antagonism,antagonismo,0.013333333333333308
greeting,saludo,0.8444444444444446
resistance,resistencia,0.19333333333333336
indifference,indiferencia,0.1499999999999999
claim,afirmar,0.4
to understand,comprender,0.45333333333333337
aforementioned,citado,0.6555555555555556
subsequent,subsecuente,0.10666666666666669
stereotype,estereotipo,0.19999999999999996
integrity,integridad,0.19999999999999996
diversity,diversidad,0.19999999999999996
ambiguity,ambiguedad,0.28888888888888875
release,liberar,0.5047619047619047
speculation,especulacion,0.09696969696969704
indulgence,indulgencia,0.09999999999999987
originating,originario,0.19333333333333336
divergence,divergencia,0.09999999999999987
lucubration,elucubracion,0.09696969696969704
indubitable,indudable,0.11851851851851858
austerity,austeridad,0.19999999999999996
prognosis,pronostico,0.2148148148148148
importance,importancia,0.09999999999999987
heterogeneous,heterogeneo,0.018181818181817966
quibble,sutileza,0.40000000000000013
benevolent,benevolente,0.013333333333333308
careless,descuidado,0.6499999999999999
negligence,negligencia,0.09999999999999987
opportunist,oportunista,0.08484848484848473
identify,identificar,0.1416666666666666
to establish,establecer,0.3533333333333333
