pt,en,es,fr,it,gl,ro
astuto,cunning,astuto,ruse,astuzia,astucia,viclean
elucubracao,lucubration,elucubracion,lucubration,elucubrazione,elucubracion,elucubratia
escopo,scope,alcance,portee,scopo,ambito,domeniul de aplicare
auto,self,ser,soi,se stesso,propio,de sine
alem,beyond,mas alla de,au-dela,al di la,mais alo,dincolo
inconsequente,inconsequential,inconsecuente,sans consequence,irrilevante,intranscendente,neinsemnata
contexto,context,contexto,contexte,contesto,contexto,context
humildade,humility,humildad,humilite,umilta,humildade,umilinta
imparcial,impartial,imparcial,impartial,imparziale,imparcial,impartial
pro,pro,pro,pro,pro,pro,pro
hipocrisia,hypocrisy,hipocresia,hypocrisie,ipocrisia,hipocrisia,ipocrizie
significado,meaning,significado,signification,senso,significado,sens
embora,although,a pesar de,bien que,sebbene,ainda que,cu toate ca
desprendimento,detachment,desapego,detachement,distacco,desprendemento,detasare
cota,quota,cuota,quota,quota,cota,cota
racismo,racism,racismo,racisme,razzismo,racismo,rasism
autonomia,autonomy,autonomia,autonomie,autonomia,autonomia,autonomie
asseio,cleanliness,limpieza,proprete,pulizia,limpeza,curatenie
indispensavel,indispensable,indispensable,indispensable,indispensabile,indispensable,indispensabil
remanescente,remaining,restante,restant,residuo,restante,ramas
anseio,wish,desear,souhait,desiderio,desexo,dori
dar,to give,dar,donner,dare,dar,a da
sintetico,synthetic,sintetico,synthetique,sintetico,sintetica,sintetic
ate,until,hasta,jusqu'a,fino a,ata que,pana cand
proeminente,prominent,prominente,eminent,prominente,destacado,proeminent
anuencia,consent,consentir,consentement,consenso,consentimento,consimtamant
concernente,concerning,sobre,concernant,riguardante,referente,cu privire la
implementacao,implementation,implementacion,mise en oeuvre,implementazione,implementacion,implementare
prolixo,long-winded,prolijo,verbeux,prolisso,longo vento,prelungit
consonancia,consonance,consonancia,consonance,consonanza,consonancia,consonanta
apologia,apology,disculpa,excuses,scuse,desculpas,scuze
primordial,primordial,primordial,primordial,primordiale,primordial,primordial
