pt,en,es,fr,it,gl,ro
ressentimento,resentment,resentimiento,ressentiment,risentimento,resentimento,resentiment
fornicacao,fornication,fornicacion,fornication,fornicazione,fornicacion,curvie
subsistencia,subsistence,subsistencia,subsistance,sussistenza,subsistencia,subzistenta
ideia,idea,idea,idee,idea,idea,idee
reu,defendant,acusado,defendeur,imputato,imputado,parat
ceder,give way,ceda el paso,laisser passer,far passare,deixa o paso,ceda
funcionalidade,functionality,funcionalidad,fonctionnalite,funzionalita,funcionalidade,functionalitate
sintese,synthesis,sintesis,la synthese,sintesi,sintese,sinteza
exequibilidade,feasibility,factibilidad,faisabilite,fattibilita,viabilidade,fezabilitate
nuance,nuance,matiz,nuancer,sfumatura,matiz,nuanta
sobre,about,acerca de,a propos,di,sobre,despre
por,per,por,par,per,por,pe
execravel,execrable,execrable,execrable,esecrabile,execrable,execrabil
infortunio,misfortune,desgracia,malheur,sfortuna,desgraza,ghinion
credenciamento,accreditation,acreditacion,accreditation,accreditamento,acreditacion,acreditare
acesso,access,acceso,acceder,accesso,acceso,acces
excesso,excess,exceso,exces,eccesso,exceso,exces
subordinado,subordinate,subordinar,subalterne,subordinare,subordinado,subordonat
papibaquigrafo,papibaquigrapher,papibaquigrafo,papibaquigraphe,papibaquigrafo,papibaquigrafo,papibaquigrapher
pressagio,omen,presagio,presage,presagio,presaxio,augur
mim,me,a mi,moi,me,eu,pe mine
atenciosamente,yours sincerely,tuyo sinceramente,cordialement,cordiali saluti,saudos,cu stima
subserviencia,subservience,subordinacion,asservissement,sottomissione,submision,supunere
alva,dawn,amanecer,aube,alba,amencer,zorii
condescendente,condescending,condescendiente,condescendant,condiscendente,condescendente,condescendent
consubstanciar,substantiate,justificar,justifier,sostanziare,fundamentar,fundamenta
displicencia,carelessness,descuido,negligence,disattenzione,descoido,nepasare
denegrir,denigrate,denigrar,denigrer,denigrare,denigrar,denigra
contingencia,contingency,contingencia,contingence,contingenza,continxencia,contingenta
promiscuidade,promiscuity,promiscuidad,la promiscuite,promiscuita,promiscuidade,promiscuitate
constantemente,constantly,constantemente,en permanence,costantemente,constantemente,in mod constant
incandescente,incandescent,incandescente,incandescent,incandescente,incandescente,incandescent
perspectiva,perspective,perspectiva,perspective,prospettiva,perspectiva,perspectiva
objetivo,goal,meta,but,obiettivo,obxectivo,poarta
jugo,yoke,yugo,joug,giogo,xugo,jug
eloquente,eloquent,elocuente,eloquent,eloquente,elocuente,elocvent
relacionamento,relationship,relacion,relation,relazione,relacion,relatie
arte,art,arte,art,arte,art,arta
intensidade,intensity,intensidad,intensite,intensita,intensidade,intensitate
corroborar,corroborate,corroborar,corroborer,corroborare,corroborar,coroboreaza
incolumidade,safety,seguridad,securite,sicurezza,seguridade,siguranta
sistematico,systematic,sistematico,systematique,sistematico,sistematico,sistematic
autoritario,authoritarian,autoritario,autoritaire,autoritario,autoritario,autoritar
compartilhar,to share,para compartir,partager,condividere,compartir,a impartasi
sobrecarregado,overloaded,sobrecargado,surcharge,sovraccarico,sobrecargado,supraincarcat
voga,vogue,moda,vogue,voga,moda,voga
introvertido,introvert,introvertido,introverti,introverso,introvertida,introvertit
depreciativo,derogatory,despectivo,desobligeant,dispregiativo,despectivo,peiorativ
pandemia,pandemic,pandemia,pandemie,pandemia,pandemia,pandemic
sede,thirst,sed,la soif,sete,sede,sete
cerne,core,centro,coeur,nucleo,nucleo,miez
estigmatizar,stigmatize,estigmatizar,stigmatiser,stigmatizzare,estigmatizar,stigmatiza
divergencia,divergence,divergencia,divergence,divergenza,diverxencia,divergenta
vies,bias,inclinacion,biais,pregiudizio,prexuizo,partinire
astucia,cunning,astuto,ruse,astuzia,astucia,viclean
acepcao,meaning,significado,signification,senso,significado,sens
hermetico,airtight,hermetico,hermetique,ermetico,hermetico,ermetic
