pt,en,es,fr,it,gl,ro
inercia,inertia,inercia,inertie,inerzia,inercia,inertie
isento,free,gratis,gratuit,gratuito,gratuito,gratuit
todo,all,todo,tous,tutto,todos,toate
subjacente,underlying,subyacente,sous-jacent,sottostante,subxacente,subiacent
sutil,subtle,sutil,subtil,impercettibile,sutil,subtil
reverberar,reverberate,reverberar,reverberer,riverberare,reverberar,reverbera
consciencioso,conscientious,concienzudo,consciencieux,coscienzioso,concienzudo,constiincios
compulsorio,compulsory,obligatorio,obligatoire,obbligatorio,obrigatoria,obligatoriu
sobrio,sober,sobrio,sobre,sobrio,sobrio,sobru
arbitrario,arbitrary,arbitrario,arbitraire,arbitrario,arbitrario,arbitrar
vicio,addiction,adiccion,dependance,dipendenza,adiccion,dependenta
perpendicular,perpendicular,perpendicular,perpendiculaire,perpendicolare,perpendicular,perpendicular
contudo,however,sin embargo,cependant,tuttavia,con todo,in orice caz
experiencia,experience,experiencia,experience,esperienza,experiencia,experienta
brado,shout,gritar,crier,gridare,berrar,strigat
sobremaneira,exceedingly,extremadamente,extremement,estremamente,excesivamente,extrem de
amago,core,centro,coeur,nucleo,nucleo,miez
meio,quite,bastante,assez,abbastanza,bastante,destul de
vislumbrar,glimpse,vistazo,apercu,occhiata,albiscar,o privire
aurelio,aurelio,aurelio,aurelio,aurelio,aurelio,aurelio
prescindir,do without,hacer sin,faire sans,fare senza,prescindir,fa fara
transcendencia,transcendence,trascendencia,transcendance,trascendenza,transcendencia,transcendenta
espectro,spectrum,espectro,spectre,spettro,espectro,spectru
possibilidade,possibility,posibilidad,possibilite,possibilita,posibilidade,posibilitate
preponderante,preponderant,preponderante,preponderant,preponderante,preponderante,preponderent
irrepreensivel,irreproachable,irreprochable,irreprochable,irreprensibile,irreprochable,ireprosabil
mexer,to mix,mezclar,melanger,mescolare,mesturar,a amesteca
lua,moon,luna,lune,luna,lua,luna
pusilanime,pusilC/nime,pusilC/nime,pusilC/nime,pusilC/nime,pusilC/nime,pusilC/nime
prudente,prudent,prudente,prudent,prudente,prudente,prudent
exclusivamente,exclusively,exclusivamente,exclusivement,esclusivamente,exclusivamente,exclusiv
mes,month,mes,mois,mese,mes,luna
amabilidade,kindness,amabilidad,gentillesse,gentilezza,bondade,bunatate
distinto,distinct,distinto,distinct,distinto,distinto,distinct
idoneidade,suitability,idoneidad,pertinence,adeguatezza,idoneidade,adecvarea
anexo,attachment,adjunto,piece jointe,attaccamento,anexo,atasament
mas,but,pero,mais,ma,pero,dar
idiota,idiot,estupido,idiot,idiota,idiota,idiot
perspicaz,insightful,perspicaz,perspicace,perspicace,perspicaz,profund
sisudo,serious,grave,serieux,serio,grave,serios
sela,saddle,sillin,selle,sella,sela,sa
compreender,to understand,comprender,comprendre,capire,entender,a intelege
ora,now,ahora,maintenant,ora,agora,acum
analitico,analytical,analitico,analytique,analitico,analitico,analitic
excentricidade,eccentricity,excentricidad,excentricite,eccentricita,excentricidade,excentricitate
animosidade,animosity,animosidad,animosite,animosita,animosidade,animozitate
criterio,criterion,criterio,critere,criterio,criterio,criteriu
individualismo,individualism,individualismo,individualisme,individualismo,individualismo,individualism
submissao,submission,sumision,soumission,sottomissione,presentacion,supunere
preeminencia,pre-eminence,preeminencia,preeminence,preminenza,preeminencia,preeminenta
rito,rite,rito,rite,rito,rito,rit
interessante,interesting,interesante,interessant,interessante,interesante,interesant
primicias,firstfruits,primeros frutos,premiers fruits,primizie,primicias,primele fructe
iminente,imminent,inminente,imminent,imminente,inminente,iminent
conscientizar,aware,consciente,conscient,consapevole,consciente,constient
imersao,immersion,inmersion,immersion,immersione,inmersion,imersiune
importancia,importance,importancia,importance,importanza,importancia,importanta
ingerencia,interference,interferencia,ingerence,interferenza,interferencia,interferenta
entao,then,entonces,alors,poi,enton,apoi
que,what,que,quoi,che cosa,que,ce
oriundo,native,nativo,indigene,nativo,nativo,nativ
temor,fear,miedo,peur,paura,medo,frica
maquiavelico,machiavellian,maquiavelico,machiavelique,machiavellico,maquiavelico,machiavelic
cobica,greed,codicia,avidite,avidita,cobiza,lacomie
contundente,blunt,desafilado,emousse,smussare,contundente,bont
otario,sucker,ventosa,ventouse,ventosa,ventosa,fraier
espontaneo,spontaneous,espontaneo,spontane,spontaneo,espontanea,spontan
pela,for the,para el,pour le,per il,para o,pentru
pragmatismo,pragmatism,pragmatismo,pragmatisme,pragmatismo,pragmatismo,pragmatism
arrependimento,repentance,arrepentimiento,repentir,pentimento,arrepentimento,pocainta
tem,he has,el tiene,il a,lui ha,el ten,el are
paixao,passion,pasion,passion,passione,paixon,pasiune
sensato,sensible,sensitivo,sensible,sensato,sensato,sensibil
suma,sum,suma,somme,somma,suma,suma
superestimado,overestimated,sobreestimado,surestime,sopravvalutato,sobreestimado,supraestimat
monocromatico,monochrome,monocromo,monochrome,monocromo,monocromo,monocrom
periodicamente,periodically,periodicamente,periodiquement,periodicamente,periodicamente,periodic
