pt,en,es,fr,it,gl,ro
num,on one,en uno,sur une,nessuno,nun,pe unu
proceder,proceed,proceder,proceder,procedere,proceder,continua
plena,full,lleno,complet,pieno,cheo,deplin
bem,good,bien,bien,bene,bo,bun
ciencia,science,ciencia,science,scienza,ciencia,stiinta
coercitivo,coercive,coactivo,coercitif,coercitivo,coercitivo,coercitiv
denso,dense,denso,dense,denso,densa,dens
pretensioso,pretentious,pretencioso,pretentieux,pretenzioso,pretencioso,pretentios
excepcional,exceptional,excepcional,exceptionnel,eccezionale,excepcional,exceptional
provavelmente,probably,probablemente,probablement,probabilmente,probablemente,probabil
alegria,happiness,felicidad,bonheur,felicita,felicidade,fericire
assintomatico,asymptomatic,asintomatico,asymptomatique,asintomatico,asintomatico,asimptomatica
proposicao,proposition,proposicion,proposition,proposizione,proposicion,propozitie
minuciosamente,thoroughly,minuciosamente,soigneusement,completamente,a fondo,temeinic
preponderancia,preponderance,preponderancia,preponderance,preponderanza,preponderancia,preponderenta
estavel,stable,estable,ecurie,stabile,estable,grajd
especificidade,specificity,especificidad,specificite,specificita,especificidade,specificitate
portanto,therefore,por lo tanto,donc,percio,polo tanto,prin urmare
iconico,iconic,iconico,iconique,iconico,iconico,simbolic
sendo,being,ser,etre,essendo,sendo,fiind
buscar,search,buscar,recherche,ricerca,buscar,cautare
razao,reason,razon,raison,motivo,razon,motiv
prazer,pleasure,placer,plaisir,piacere,pracer,placere
fel,gall,hiel,fiel,fiele,fel,fiere
sob,under,bajo,sous,sotto,baixo,sub
utopia,utopia,utopia,utopie,utopia,utopia,utopie
revolucionario,revolutionary,revolucionario,revolutionnaire,rivoluzionario,revolucionario,revolutionar
eximio,excellent,excelente,excellent,eccellente,excelente,excelent
salutar,wholesome,sano,sain,sano,saudable,sanatos
assim,like this,asi,comme ca,come questo,como isto,ca aceasta
vocabulo,word,palabra,mot,parola,palabra,cuvant
com,with,con,avec,con,con,cu
estelionatario,embezzler,desfalcador,detourneur de fonds,malversatore,malversador,delapidator
apreco,appreciation,apreciacion,appreciation,apprezzamento,aprecio,apreciere
emotivo,emotional,emocional,emotionnel,emotivo,emocional,emotional
pecuniaria,pecuniary,pecuniario,pecuniaire,pecuniario,pecuniario,pecuniara
ressarcimento,refund,reembolso,remboursement,rimborso,reembolso,restituire
indulgente,indulgent,indulgente,indulgent,indulgente,indulxente,indulgent
pertinente,relevant,importante,pertinent,pertinente,relevantes,relevante
devaneio,daydream,ensueno,reve,sognare ad occhi aperti,sonar despierto,visarea cu ochii deschisi
introspectivo,introspective,introspectivo,introspectif,introspettivo,introspectivo,introspectiv
genuino,genuine,genuino,authentique,genuino,xenuino,autentic
ardil,ruse,ardid,ruse,stratagemma,artimana,siretlic
fugaz,fleeting,fugaz,fugace,fugace,fugaz,trecatoare
nos,us,a nosotros,nous,noi,nos,s.u.a
extase,ecstasy,extasis,extase,estasi,extase,extaz
axioma,axiom,axioma,axiome,assioma,axioma,axioma
dia,day,dia,jour,giorno,dia,zi
alusao,allusion,alusion,allusion,allusione,alusion,aluzie
caos,chaos,caos,chaos,caos,caos,haos
disciplina,discipline,disciplina,discipline,disciplina,disciplina,disciplina
ode,ode,oda,ode,ode,oda,oda
sororidade,sorority,hermandad de mujeres,sororite,sorellanza,irmandade,sorority
tenue,tenuous,tenue,tenu,tenue,tenue,tenue
ermo,wilderness,desierto,region sauvage,natura selvaggia,deserto,pustie
primazia,primacy,primacia,primaute,primato,primacia,primatul
desumilde,demeaning,degradante,humiliant,umiliante,degradante,injositoare
desgraca,disgrace,desgracia,disgrace,disgrazia,deshonra,rusine
