pt,en,es,fr,it,gl,ro
arrogante,arrogant,arrogante,arrogant,arrogante,arrogante,arogant
precedente,precedent,precedente,precedent,precedente,precedente,precedent
retificacao,rectification,rectificacion,rectification,rettifica,rectificacion,rectificare
ocioso,idle,inactivo,inactif,oziare,ocioso,inactiv
impeto,momentum,impulso,elan,quantita di moto,impulso,impuls
complementar,additional,adicional,supplementaire,aggiuntivo,adicional,aditional
trivial,trivial,trivial,banal,banale,trivial,banal
contemporaneo,contemporary,contemporaneo,contemporain,contemporaneo,contemporaneo,contemporan
perene,evergreen,hojas perennes,a feuilles persistantes,sempreverde,perenne,vesnic verde
circunstancia,circumstance,circunstancia,circonstance,circostanza,circunstancia,circumstanta
intransigencia,intransigence,intransigencia,intransigeance,intransigenza,intransixencia,intransigenta
posteriormente,posteriorly,posteriormente,posterieurement,posteriormente,posteriormente,posterior
quintessencia,quintessence,quintaesencia,quintessence,quintessenza,quintaesencia,chintesenta
intempestivo,untimely,prematuro,premature,prematuro,intempestivo,intempestiv
heterogeneo,heterogeneous,heterogeneo,heterogene,eterogeneo,heteroxeneo,eterogen
ilacao,inference,inferencia,inference,inferenza,conclusion,deducere
ler,to read,leer,lire,leggere,ler,a citi
tenaz,tenacious,tenaz,tenace,tenace,tenaz,tenace
aquem,here,aqui,ici,qui,aqui,aici
resistencia,resistance,resistencia,resistance,resistenza,resistencia,rezistenta
tao,so,entonces,donc,cosi,asi,asa de
preliminar,preliminary,preliminar,preliminaire,preliminare,preliminar,preliminar
cordialidade,cordiality,cordialidad,cordialite,cordialita,cordialidade,cordialitate
inconveniencia,inconvenience,inconveniencia,desagrement,inconveniente,inconveniente,incomoda
solicito,helpful,util,utile,utile,util,util
persistencia,persistence,persistencia,persistance,persistenza,persistencia,persistenta
procedencia,origin,origen,origine,origine,orixe,origine
virtude,virtue,virtud,vertu,virtu,virtude,virtute
gratidao,gratitude,gratitud,gratitude,gratitudine,gratitude,recunostinta
demanda,demand,demanda,demande,richiesta,demanda,cerere
imprevisivel,unpredictable,impredecible,imprevisible,imprevedibile,impredicible,imprevizibile
jactancia,boast,presumir,se vanter,vantarsi,presumir,lauda
socioambiental,socio-environmental,socioambiental,socio-environnemental,socio-ambientale,socioambientais,socio-mediu
concupiscencia,lust,lujuria,luxure,lussuria,luxuria,pofta
orla,shore,costa,rive,costa,costa,tarm
plenitude,fullness,plenitud,plenitude,pienezza,plenitude,plenitudine
pois,then,entonces,alors,poi,enton,apoi
multifacetado,multifaceted,multifacetico,multiforme,multiforme,polifacetico,cu mai multe fatete
vide,see,ver,voir,vedere,ver,vedea
fato,fact,hecho,fait,fatto,feito,fapt
asco,disgust,asco,degouter,disgusto,noxo,dezgust
via,via,a traves de,via,attraverso,via,prin intermediul
redimir,to redeem,para redimir,de racheter,riscattare,para redimir,a rascumpara
instigar,instigate,instigar,susciter,istigare,instigar,instiga
concessao,concession,concesion,concession,concessione,concesion,concesiune
alento,breath,aliento,haleine,respiro,alento,suflare
honra,honor,honor,honneur,onore,honra,onora
comum,common,comun,commun,comune,comun,uzual
dissimulado,disguised,disfrazado,deguise,mascherato,disfrazado,deghizat
ante,before,antes,avant,prima,antes,inainte de
mundo,world,mundo,monde,mondo,mundo,lume
coser,sew,coser,coudre,cucire,coser,a coase
urge,urgent,urgente,urgent,urgente,urxente,urgent
epifania,epiphany,epifania,epiphanie,epifania,epifania,epifanie
hostil,hostile,hostil,hostile,ostile,hostis,ostil
ansioso,anxious,ansioso,anxieux,ansioso,ansioso,nerabdator
arrefecimento,cooling,enfriamiento,refroidissement,raffreddamento,arrefriamento,racire
aspecto,aspect,aspecto,aspect,aspetto,aspecto,aspect
almejar,to crave,ansiar,mourir d'envie,bramare,anhelar,a pofti
indulgencia,indulgence,indulgencia,indulgence,indulgenza,indulxencia,indulgenta
posse,possession,posesion,possession,possesso,posesion,detinere
nexo,nexus,nexo,lien,nesso,nexo,legatura
perseveranca,perseverance,perserverancia,perseverance,perseveranza,perseveranza,perseverenta
entendimento,understanding,comprension,comprehension,comprensione,comprension,intelegere
sem,without,sin,sans,senza,sen,fara
etereo,ethereal,etereo,ethere,etereo,etereo,eteric
bem-aventurado,blessed,bienaventurado,beni,benedetto,bendito,binecuvantat
consiste,it consists,consiste,il consiste,consiste,consiste,consta
heterossexual,heterosexual,heterosexual,heterosexuel,eterosessuale,heterosexual,heterosexual
supersticioso,superstitious,supersticioso,superstitieux,superstizioso,supersticioso,superstitios
luxuria,lust,lujuria,luxure,lussuria,luxuria,pofta
credibilidade,credibility,credibilidad,credibilite,credibilita,credibilidade,credibilitate
sintetizar,synthesize,sintetizar,synthetiser,sintetizzare,sintetizar,sintetiza
defina,define,definir,definir,definire,definir,defini
eis,behold,mirad,voir,ecco,velai,iata
